enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
21,1994,3415.026,4347.826,7.84,-5.73,-2.33,-4.29,-0.8,17.62,0,6.27,-5.15,5.21,5,-2.72,0.668,2.35,0.93,0.17,0.03,N/A,10.56,6.56,-0.33,-0.32,12.29,-152,229.79,0,432.308,435.59,0.01,11/17/94,11/17/94,,0,47000,1
21,1995,3294.368,4482.468,8.44,-7.33,-3.09,-5.51,-2.08,17.59,1.85,2.2,-6.71,5.41,7,-3.04,0.642,8.83,1.01,0.17,0.03,N/A,9.25,6.13,10.39,-0.12,19.36,230.77,-45.4,26.42,393.529,390.328,0.47,11/30/95,11/30/95,,0,52000,1
21,1996,3905.148,5164.548,9.94,-7.72,-3.32,-5.81,-1.88,17.36,15.35,7.78,-5.55,5.48,7,-2.84,0.684,7.44,1.03,0.18,0.06,N/A,10.81,7.19,-0.65,-0.46,5.43,79.41,136.34,29.89,388.75,392.872,0.04,11/10/97,11/08/96,,0,63000,1
21,1997,7702.164,8557.364,18.03,-6.63,-2.1,-4.66,1.19,15.1,18.18,9.65,-2.15,6.39,8,-2.65,0.677,4.84,1.07,0.22,0.09,N/A,19.22,9.56,-8.73,-0.8,8.08,21.31,12.94,38.29,410.789,427.186,0.83,11/25/98,11/10/97,,0,57000,1
21,1998,10239.738,10913.238,23.53,-6.74,-1.53,-4.54,2.49,15.11,23.24,12.29,1.19,6.8,7,-2.55,0.665,5.3,1.2,0.33,0.16,N/A,32.5,17.56,-1.87,-0.72,1.02,37.84,17.49,23.5,431.013,435.178,1.08,11/24/99,11/25/98,,0,63000,1
21,1999,16549.472,16891.872,37.38,-7.4,-1.48,-4.62,4.44,16.58,22.58,14.18,2.24,7.19,5,-2.85,0.619,5.47,1.16,0.39,0.24,N/A,46.25,22.16,-1.74,-0.37,11.27,-14.71,8.48,20.85,439.253,442.736,1.31,11/17/00,11/24/99,,0,70000,1
21,2000,15404.909,15740.788,34.44,-8.54,-2.06,-5.47,6.27,20.03,33.65,16.97,3.14,6.83,6,-2.65,0.61,7.03,1.02,0.29,0.17,N/A,58.44,30,-1.03,0.01,16.01,55.17,17.89,28.37,446.255,447.297,1.35,11/17/00,11/17/00,,0,78000,1
21,2001,16733.381,17295.572,37.41,-10.28,-2.96,-6.68,7.09,21.4,14.65,17.8,1.34,6.27,4,-1.93,0.631,9.01,0.94,0.28,0.15,N/A,46.25,30.63,0,-0.37,8.17,-4.44,0.15,11.27,449.631,447.297,1.1,11/16/01,11/16/01,,0,86000,1
21,2002,15212.408,15841.032,33.41,-11.25,-2.85,-7.03,8.61,30.21,15.78,20.41,2.41,5.81,5,-2.2,0.627,6.16,1.04,0.34,0.18,N/A,46.32,31.22,-1.79,-0.44,10.6,14.73,13.06,10.52,453.65,455.325,0.82,11/22/02,11/22/02,,0,104700,1
21,2003,14741.282,14659.03,32.25,-11.14,-2.02,-6.57,13.85,37.96,13.8,22.05,6.42,5.5,7,-2.64,0.557,0.03,1.14,0.47,0.31,N/A,37.47,27.24,-0.39,-0.24,11.63,3.38,6.86,9.15,455.956,457.094,0.73,11/12/04,11/21/03,,0,103000,1
21,2004,19046.765,17297.084,41.17,-9.38,-0.43,-4.9,20.3,42.39,17.06,26.2,12.68,5.26,7,-3.18,0.445,-1.11,1.18,0.59,0.51,N/A,42.89,30.71,-1.21,-0.65,10.45,20.92,15.25,9.19,459.223,462.637,0.77,11/10/05,11/12/04,,0,113000,1
21,2005,20505.632,17872.645,43.4,-9.15,0.96,-4.06,24.7,47.54,20.72,30.52,19.28,5.74,6,-2.19,0.414,8.03,1.22,0.62,0.51,N/A,49.74,39.99,-2.13,0.66,7.92,17.84,5.89,9.42,473.945,472.48,0.91,11/17/06,11/10/05,,0,118000,1
21,2006,21630.034,19425.549,46.79,-11.94,-0.26,-6.08,29.69,58.47,24.35,32.04,24.84,5.85,6,-2.59,0.416,2.45,1.05,0.47,0.36,N/A,57.58,41.36,2.16,4.95,16.36,5.5,11.45,10.55,469.718,462.279,1.06,11/17/06,11/17/06,,0,127000,1
21,2007,26985.553,25921.065,61.75,-17.45,-3.8,-10.56,35.65,66.15,23.03,32.57,26.16,5.47,7,-2.5,0.432,-1.73,1.09,0.52,0.39,N/A,64.95,47.65,5.47,6.19,12.37,3.04,6.38,9.64,447.659,437.013,0.59,10/25/07,10/25/07,,8257,127000,1
21,2008,29004.322,28157.53,67.06,-18.99,-4.69,-11.87,41.6,75.34,31.81,37.17,27.33,5.76,8,-2.67,0.426,3.84,1.07,0.5,0.37,19.12,74.66,57,1.03,1.97,15.95,21.94,31.05,10.96,434.442,432.513,0.49,10/18/10,10/16/08,,8303,137000,1
21,2009,22225.955,20804.955,50.98,-18.87,-3.71,-12.67,44.41,71.63,27.43,35.62,30.01,5.09,7,-2.69,0.416,0.43,1.11,0.53,0.4,16.45,70.37,38.44,-0.8,0.31,-0.62,-14.53,-6.58,11.06,433.988,435.974,0.78,10/14/11,10/16/09,,8459,142000,1
21,2010,24493.315,22012.315,56.5,-19,-2.95,-12.5,46.56,74.93,31.48,40.24,34.92,5.18,8,-2.72,0.38,2.26,1.16,0.6,0.47,18.71,61.74,50.65,0.57,2.25,7.79,18.22,14.06,10.78,438.611,433.51,0.73,10/19/12,10/18/10,10/06/10,8286,147000,1
21,2011,34107.252,31218.252,78.54,-21.06,-2.42,-13.42,53.2,84.53,35.29,45.21,41.08,5.52,6,-2.8,0.383,-2.08,1.14,0.59,0.47,21.03,83.86,57.79,-0.17,1.83,14.81,13.01,14.04,10.71,436.119,434.266,0.77,10/16/13,10/14/11,10/05/11,8198,164000,1
21,2012,42314.095,38998.095,97.87,-22.96,-2.9,-14.75,58.76,93.98,40.25,49.52,48.09,6.2,5,-2.64,0.338,-0.41,1.1,0.52,0.4,29.04,98.59,78.4,0.44,1.49,12.44,17.88,13.36,10.48,433.62,432.35,0.48,10/15/14,10/19/12,10/10/12,8154,174000,1
21,2013,48869.179,47922.179,111.87,-30.51,-8.26,-21.47,61.06,101.27,54.65,50.5,42.19,5.73,7,-2.98,0.364,2.82,1.19,0.6,0.46,30.84,120.07,94.47,-1.04,0.07,5.8,19.02,8.37,11.96,435.741,436.839,0.52,10/14/15,10/16/13,10/09/13,8198,184000,1
21,2014,52994.658,50984.658,121.08,-30.63,-7.16,-20.97,71.69,110.39,63.69,54.01,50.02,5.72,7,-2.75,0.34,0.51,1.22,0.63,0.51,28.5,125.43,110.18,-0.19,0.63,6.64,0.43,5.46,13.78,438.693,437.683,0.4,10/12/16,10/15/14,10/08/14,8315,195000,1
21,2015,61335.178,61277.178,140.05,-36.49,-12.83,-26.32,77.37,115.43,63.96,53.76,42.67,5.84,6,-2.92,0.32,1.73,1.01,0.48,0.39,29.23,155.92,121.35,-0.06,0.78,3.11,15.48,11.83,12.07,439.455,437.952,0.81,10/18/17,10/14/15,09/30/15,8527,205000,1
21,2016,70918.265,71603.265,162.09,-37.38,-13.41,-24.98,68.92,118.72,50.97,57.31,42.41,6.31,7,-2.51,0.387,4.23,0.98,0.4,0.3,27.61,169.04,138.3,0.1,0.69,2.51,-0.74,3.47,9.62,438.585,437.524,0.83,10/26/18,10/12/16,09/29/16,8572,218000,1
21,2017,68527.355,69622.355,156.74,-45.26,-18.87,-31.56,73.31,135.3,38.59,58.11,45.41,5.78,6,-2.96,0.358,-4.62,0.99,0.43,0.33,30.68,182.45,142.24,0.07,0.68,8.76,14.07,10.79,6.34,438.437,437.204,0.99,10/11/19,10/18/17,10/05/17,8629,231000,1
21,2018,102155.002,101777.002,233.13,-47.4,-17.67,-31.95,79.49,151.59,41.11,68.08,58.03,6.33,7,-2.66,0.342,0.75,1.02,0.46,0.36,28.18,233.13,154.61,-0.23,0.32,9.5,16.61,8.71,5.82,438.515,438.189,1.08,10/07/20,10/26/18,10/04/18,8829,245000,1
21,2019,129583.865,127303.865,294.76,-47.12,-15.18,-31.54,91.12,179.7,53.89,80.05,70.09,6.65,5,-2.78,0.317,0.37,1.01,0.52,0.41,31.58,296.57,189.99,-0.33,0.19,7.59,16.5,5.85,6.56,439.755,439.625,0.95,10/06/21,10/11/19,10/03/19,9115,254000,1
21,2020,153406.713,150689.713,347.66,-54.32,-20.74,-37.81,116.06,209.94,60.54,91.64,89.8,6.22,5,-2.37,0.343,-1.74,1.13,0.64,0.54,33.97,348.37,279.85,-0.37,0.13,8.97,9.2,11.7,6.72,442.297,441.255,0.6,10/05/22,10/07/20,09/24/20,9690,273000,1
21,2021,201246.869,199718.869,455.49,-66.83,-27.61,-47.69,140.36,257.93,112.09,99.97,104.5,6.9,5,-2.6,0.289,-0.7,1,0.52,0.41,39.23,458.99,311.42,-0.13,0.25,17.37,24.94,20.23,10.03,443.089,441.825,0.59,10/11/23,10/06/21,09/23/21,9958,288000,1
21,2022,231114.874,229109.874,522.1,-73.36,-24.46,-49.34,164.42,320.37,156.67,116.61,120.48,7.49,7,-2.3,0.314,3.69,1.02,0.46,0.35,49.32,608.05,416.43,-0.19,0.19,15.73,16.59,14.56,12.09,443.651,442.664,0.63,10/11/23,10/05/22,09/22/22,10279,304000,1
21,2023,243217.339,236867.339,549.28,-64.82,-18.2,-42.15,198.6,375.9,191.65,134.05,145.52,7.68,7,-2.84,0.292,0.28,1.07,0.57,0.45,50.71,566.17,450.19,-0.03,0.28,6.83,7.76,8.42,13.58,443.854,442.793,0.99,10/11/23,10/11/23,09/26/23,10331,316000,1
