enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
27,1994,19944.553,22694.553,12.672,-4.53,-1.19,-4.32,10.77,16.25,0,4.15,2.11,3.73,7,-2.7,0.703,9.28,1.9,1.67,0.07,N/A,15.697,12.345,2.13,2.86,20.46,278.33,34.66,0,1573.874,1573.87,1.23,,,,0,62000,1
27,1995,29547.755,31454.755,18.763,-4.37,-0.82,-4.11,14.87,20.29,8.47,5.25,3.14,4.51,8,-3.12,0.667,1.08,2.19,1.92,0.35,N/A,20.112,12.386,-0.06,0.56,20.77,27.75,19.51,20.7,1574.775,1574.78,1.29,12/19/96,12/19/96,,0,62000,1
27,1996,41864.83,53928.83,20.684,-10.01,-5.78,-9.78,19.05,25.86,12.13,0,-0.76,2.17,5,-0.86,1.927,27.45,0.84,0.75,0.03,N/A,22.81,17.455,-28.53,0.9,19.98,-25.17,28.87,23.88,2024.024,2024.02,1.27,12/19/97,12/19/96,,0,62000,1
27,1997,53391.96,64142.96,26.366,-10.32,-6.7,-10.11,22.34,28.4,10.13,1.98,0.78,2.77,5,-2.7,0.765,2.09,1.22,1.08,0.05,N/A,27.634,20.439,-0.05,0.85,19.87,46.08,5.27,24.53,2025,2025,0.87,12/18/98,12/19/97,,0,108000,1
27,1998,51557.131,63115.131,24.895,-10.56,-6.09,-8.89,24.43,28.84,7.62,5.97,0.48,2.64,6,-2.69,0.804,5.8,1.25,1.13,0.02,N/A,41.573,23.976,-2.27,-0.3,-0.41,180.76,4.95,19.54,2032.967,2071,1,12/21/99,12/18/98,,0,117000,1
27,1999,52827.068,64106.068,25.508,-10.76,-6.04,-9.26,25.7,28.64,7.39,6.11,0.26,2.57,5,-2.78,0.779,2.34,1.32,1.22,0.05,N/A,37.036,23.055,0,-0.35,1.12,-30.34,-10.76,11.21,2063.492,2071,0.93,12/20/00,12/21/99,,0,120000,1
27,2000,79341.433,88316.433,37.526,-9.5,-6.32,-8.12,23.49,30.94,0,5.99,0.9,3.4,6,-2.03,0.757,-3.87,0.9,0.82,0.1,N/A,42.493,23.055,-2.09,-0.4,40.9,-8.06,-11.18,-2.51,1586.207,2114.3,0.75,12/10/01,12/20/00,,0,120000,1
27,2001,36874.977,46407.977,18.268,-10.17,-7.2,-8.84,21.29,30.52,0,5.83,-0.58,2.15,3,-2.69,0.715,-2.72,1.1,0.99,0.1,N/A,40.592,16.659,4.53,2.43,-23.88,-103.51,-25.31,-12.84,2100,2018.6,0.99,12/04/02,12/10/01,,0,114000,1
27,2002,29983.275,43308.275,14.854,-12.56,-9.29,-10.92,21.05,30.88,0,4.86,-3.08,1.7,6,-2.11,0.839,4.25,1,0.91,0.16,N/A,24.478,13.509,0,-0.16,3.38,3100,-23.26,-16.83,2044,2018.6,0.93,12/12/03,12/04/02,,0,112000,1
27,2003,39839.784,51784.784,19.788,-12.23,-8.88,-10.55,16.1,30.72,0,5.16,-1.18,2,5,-2.64,0.714,-1.2,0.96,0.88,0.18,N/A,22.133,13.872,0.26,-0.13,1.69,-1.67,5.31,-18.28,2147.458,2013.3,1.2,12/13/04,12/12/03,,0,112000,1
