enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
28,1994,67362.06,156205.06,52.445,-173.2,-23.7,-120.47,39.5,0,0,27.98,10.27,0.85,5,-2.26,0.595,3.86,1.25,1.23,0.02,N/A,53.382,40.943,0,0.54,3.89,-8.7,4.38,0,1280.984,1284.43,1.22,03/24/95,03/11/94,,0,231000,1
28,1995,65327.725,159343.725,51.007,-129.22,-32.02,-75.21,43.42,38.08,0,33.25,-9.64,1.24,5,-2.58,0.479,3.98,1.74,1.69,0.04,N/A,54.883,45.63,0.29,0.54,1.65,9.91,2.22,2.49,1281.554,1280.76,0.93,03/24/95,03/24/95,,0,221000,1
28,1996,90094.466,205717.466,72.01,-156.34,-28.55,-85.99,56.78,47.66,0,37.47,-20.67,1.36,8,-2.59,0.747,7.39,1.98,1.93,0.03,N/A,72.634,50.257,2.31,2.8,18.52,40.81,25.77,3.05,1262.859,1251.14,1.02,03/20/96,03/20/96,,0,222000,1
28,1997,122090.586,250352.586,98.888,-192.03,-39.6,-114.99,66.09,53.83,37.28,38.64,-21.21,1.33,5,-2.58,0.699,3.54,1.91,1.87,0.04,N/A,105.014,70.258,1.32,1.9,13.26,10.77,10.14,6.87,1264.125,1234.64,1.27,03/27/98,03/21/97,,0,239000,1
28,1998,179856.846,322355.846,146.768,-215.2,-46.37,-133,93.09,66.76,48.6,38.3,-24.38,1.38,5,-2.51,0.65,4.03,1.76,1.71,0.05,N/A,150.771,97.639,0.74,1.57,13.61,13.89,-1.69,9.77,1228.125,1225.45,1.42,03/25/99,03/27/98,,0,276000,1
28,1999,250538.223,425537.223,204.028,-254.68,-59.77,-157.81,119.77,84.98,81.98,46.03,-36.55,1.42,6,-2.42,0.704,8.45,1.72,1.68,0.03,2.41,206.536,143.15,-0.2,1.13,13.98,13.41,35.37,10.65,1225.875,1227.96,1.09,03/23/01,03/25/99,,0,293000,1
28,2000,382510.96,499185.96,309.54,-220.38,-72.39,-110.81,127.79,106.85,136.59,51.38,30,1.65,4,-2.41,0.447,6.98,1.69,1.65,0.56,2.59,316.922,192.026,-0.63,0.26,11.04,15.05,10.9,15.5,1229.125,1235.74,1.13,03/08/02,03/17/00,,0,340000,1
28,2001,357174.342,463888.342,287.668,-231.13,-73.17,-114.23,138.66,146.71,152.71,65.89,49.08,1.67,7,-2.53,0.388,6.35,1.89,1.84,0.64,2.61,361.55,250.276,-0.48,-0.13,15.62,18.69,12.54,14.58,1237.125,1241.62,1.16,03/07/03,03/23/01,,0,313000,1
28,2002,298705.12,427352.12,240.513,-266.31,-79.74,-128.11,158.55,173.02,159,63.11,41.02,1.41,6,-2.52,0.42,4.36,1.72,1.67,0.55,2.81,320.444,182.245,-0.03,0.82,-2.6,7.87,3.71,14.15,1241.5,1241.95,1.24,03/01/04,03/08/02,,0,310000,1
28,2003,182525.798,341633.798,146.12,-308.82,-99.88,-153.96,156.35,198.38,124.77,60.22,35.03,1.22,4,-2.42,0.45,8.1,2.13,2.08,0.69,2.88,250.054,132.018,-0.58,0.54,4.83,2.92,-5.77,10.88,1243.375,1249.15,0.99,03/01/05,03/07/03,,0,315000,1
28,2004,234209.956,428181.956,185.906,-338.56,-96.72,-158.92,150.01,169.74,0,69.36,21.54,1.2,4,-2.3,0.475,1.21,2.24,2.2,0.71,2.71,192.686,133.038,-0.85,-0.31,-15.01,7.09,-2.38,3.02,1252.375,1259.83,0.86,03/03/06,03/01/04,,0,305000,1
28,2005,290212.56,598806.56,219.03,-430.65,-190.61,-252.47,188.06,216.37,0,85.1,-48.24,1.07,5,-2.22,0.648,2.54,1.93,1.89,0.35,2.81,224.911,175.104,-5.17,-1.38,14.75,8.61,11.16,0.36,1300,1324.99,0.88,02/27/07,03/01/05,,0,307000,1
28,2006,274043.964,601561.964,210.329,-393.73,-142.53,-207.34,191.74,219.41,0,80.94,-53.11,1.19,6,-2.71,0.582,2.1,1.85,1.79,0.25,2.49,223.111,196.107,1.66,1.77,0.11,-4.27,7.16,1.63,1321.25,1302.93,0.78,02/20/08,03/03/06,,0,316000,1
28,2007,286855.249,665208.249,223.291,-407.32,-120.64,-194.26,211.62,253.94,80.16,85.73,-71.38,1.3,7,-2.52,0.728,6.02,1.97,1.93,0.28,2.28,228.931,192.686,1.4,2.98,13.29,27.39,17.91,5.06,1294.875,1284.67,0.56,02/18/09,02/27/07,,0,319000,1
28,2008,277718.951,738828.951,222.451,-495.91,-153.25,-241.5,257.44,284.07,207.79,76.19,-109.79,1.25,8,-2.49,0.828,6.08,1.99,1.94,0.25,2.16,252.755,204.568,2.82,4.44,15.76,8.5,23.71,11.54,1272.75,1248.45,0.58,02/19/10,02/20/08,,607000,327000,1
28,2009,128326.417,534548.417,97.213,-457.16,-143.77,-224.7,297.35,289.59,201.64,43.87,-23.84,1.17,5,-2.67,0.642,0.44,2.3,2.24,0.41,1.77,230.612,77.051,-5.74,-8.38,6.52,-20.74,-6.3,14.16,1260,1320.05,1,02/25/11,02/18/09,,605000,323000,1
28,2010,121015.507,476953.507,90.793,-407.22,-135.82,-205.92,260.71,226.05,0,73.92,37.66,1.09,4,-2.62,0.593,-7.13,2.4,2.34,0.6,1.55,102.434,39.966,-0.97,-0.51,-18.65,-41.28,-35.05,4.61,1326.75,1332.88,1.65,02/25/11,02/19/10,,598000,304000,1
28,2011,145636.105,506615.105,109.755,-381.32,-96.73,-190.9,237.61,202.13,0,82.66,101.38,1.18,6,-2.78,0.614,-7.61,2.38,2.33,0.58,4.48,117.016,83.291,0.45,0.87,-4.98,4.95,0.91,-5.2,1332.625,1326.92,1.69,02/26/13,02/25/11,01/21/11,578000,287000,1
28,2012,142042.184,465306.184,107.475,-355.53,-111.54,-175.55,232.35,175.56,0,76.96,172.87,1.13,7,-2.54,0.588,-5.44,1.92,1.87,0.56,4.8,129.138,88.152,0.4,1.03,-4.15,16.04,10.87,-9.44,1323.875,1321.63,1.92,02/27/14,02/24/12,01/20/12,561000,301000,1
28,2013,163832.27,457297.27,125.957,-335.35,-104.26,-165.11,239.7,162.55,0,89.03,150.41,1.22,7,-2.45,0.58,-4.23,2.14,2.07,0.63,2.37,138.739,108.915,1.58,2.54,2.41,4.88,-10.06,-10.4,1315.375,1300.7,1.4,02/27/15,02/26/13,01/18/13,523000,305000,1
