enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
34,1994,31375.488,52675.488,13.492,-23.32,-10,-17.98,9.85,0,0,0,8.92,0.98,6,-3.6,0.461,-14.93,1.18,0.95,0.22,0.24,14.268,9.79,-1.74,-0.39,-3.2,-63.45,38.96,0,2292.957,2325.54,0.49,03/26/96,03/28/94,,0,256207,1
34,1995,41259.828,53904.828,17.551,-20.05,-7.41,-14.31,15.74,26.23,0,15.25,4.12,1.8,7,-2.82,0.431,-6.59,1.41,1.2,0.36,4.08,18.178,12.417,-1.09,-0.77,-2.08,135.3,1540.96,0,2339.835,2350.84,0.95,03/27/97,03/28/95,,0,219839,1
34,1996,47809.364,61990.364,21.82,-22.9,-7.96,-15.6,19.39,27.65,0,18.92,-2.26,2.05,8,-2.71,0.448,-1.84,1.29,1.09,0.24,10.47,27.133,17.134,6.8,9.74,17.14,40.64,13.82,0,2277.536,2191.1,0.94,03/30/98,03/26/96,,0,219839,1
34,1997,73508.363,88453.363,36.177,-25.28,-9.38,-17.52,22.1,28.69,0,19.75,-1.79,2.29,7,-2.86,0.452,1.08,1.2,1.02,0.24,8.48,38.923,19.85,7.26,6.81,8.38,41.93,7.49,0,2113.408,2031.92,1.21,03/29/99,03/27/97,,0,305648,1
34,1998,95746.724,115371.724,49.968,-28.25,-11.23,-19.95,26.57,33.13,0,24.74,-3.49,2.55,8,-2.64,0.483,4.15,1.21,1.05,0.23,12.5,53.997,30.864,5.7,6.53,14.2,19.76,10.09,0,1966.573,1916.18,1.47,03/13/00,03/30/98,,0,333216,1
34,1999,161299.297,185191.297,88.055,-33.25,-13.4,-23.66,30.91,36,0,26.5,0.16,2.99,6,-2.52,0.529,3.7,1.15,1.01,0.16,12.85,90.382,45.908,4.4,3.89,9.54,9.67,5.22,0,1869.006,1831.81,1.28,03/13/01,03/29/99,,0,349671,1
34,2000,183842.46,206612.46,103.038,-34.27,-13.49,-28.65,36.69,39.59,43.26,31.67,3.58,3.41,7,-2.55,0.5,-0.83,1.09,0.97,0.15,16.41,131.693,77.726,2.6,3.61,10.01,25.23,32.71,11.03,1808.538,1784.22,1.05,03/13/01,03/13/00,,0,354377,1
34,2001,141504.134,166605.134,81.189,-36.72,-13.82,-30.32,33.39,41.41,50,33.24,15.15,3.16,7,-2.46,0.52,3.47,1.21,1.07,0.1,16.23,127.634,77.906,2.32,4.29,4.25,7.77,-6.61,11.9,1763.037,1742.9,1.08,03/13/01,03/13/01,,0,363689,1
34,2002,199092.203,219850.203,115.537,-35.09,-14.16,-29.33,21.17,44.5,26.74,30.74,13.22,3.7,6,-2.96,0.5,-0.48,1.21,1.09,0.18,N/A,118.373,81.01,1.13,1.96,-18.53,-16.89,-27.81,7.81,2062.299,1723.19,1.26,03/10/03,03/11/02,,0,366579,1
34,2003,127498.784,147540.784,74.025,-39.32,-18.61,-33.46,36.2,64.69,0,25.33,24.07,2.68,4,-2.95,0.474,-3.43,1.21,1.11,0.17,46.87,119.969,52.601,0.05,2.42,18.02,-44.17,2.27,-2.6,1703.244,1722.37,1.87,02/24/05,03/10/03,,0,355421,1
34,2004,150005.82,165990.82,88.525,-40.69,-18.84,-34.8,44.9,82.46,0,29.41,27.85,2.91,6,-2.77,0.454,-2.74,1.19,1.11,0.2,59.53,89.766,71.809,1.62,2.15,8.41,81.55,17.56,-5.95,1721.589,1694.51,1.67,02/28/06,03/08/04,,0,355157,1
34,2005,154948.754,167305.754,94.16,-41.78,-19.55,-35.15,54.26,95.65,0,33.83,31.69,2.92,7,-2.86,0.422,-2.27,1.18,1.1,0.27,69.18,95.698,78.524,2.89,3.46,10.92,17.11,11.5,-3.21,1674.959,1645.59,1.69,02/27/07,02/24/05,,0,369277,1
