enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
41,1994,2234.559,3905.559,8.31,-9.62,-7.17,-9.36,0,0,0,5.22,0,1.52,5,-2.91,0.69,-0.37,0.83,0.67,0.04,N/A,9.13,7.19,-2.59,-2.15,-9.96,289.13,-15.61,0,268.182,268.9,0,,,,0,16766,1
41,1995,2826.192,4399.192,10.25,-9.49,-6.68,-9.2,0,0,0,6.77,0,1.86,8,-2.69,0.741,0.48,0.94,0.76,0.07,N/A,12.19,8.19,-2.54,-2.23,7.73,66.67,18.77,0,279.982,275.726,0,,,,0,17780,1
41,1996,4724.82,6435.82,16.81,-10.67,-7.41,-10.26,0,0,0,8.12,1.57,2.29,6,-2.66,0.805,8.97,0.9,0.68,0.01,N/A,16.94,9.94,-1.94,-1.4,12.69,25.52,7.03,0,288.294,281.072,1.61,,,,0,18222,1
41,1997,7263.393,11033.393,23.06,-17.39,-12.53,-14.95,5.5,0,0,7.32,-6.12,1.61,4,-1.92,1.377,26.66,0.65,0.53,0.02,N/A,24.69,15.88,-12.06,-8.32,28.18,-2.75,25.56,0,305.308,314.978,1.54,03/18/98,03/14/97,,0,25271,1
41,1998,7081.785,10939.785,22.5,-17.7,-13.32,-15.1,5.25,0,10.56,8.63,-9.32,1.92,5,-2.62,0.793,4.56,1.1,0.86,0.03,N/A,28.78,20.47,0.07,0.38,3.17,38.98,10.46,9.22,316.19,314.746,1.12,03/15/99,03/18/98,,0,25388,1
41,1999,5555.953,9357.953,17.63,-17.94,-13.87,-15.49,6.87,0,17.59,9.7,-9.66,1.72,6,-2.81,0.785,3.67,1.08,0.83,0.03,N/A,26.78,15.63,-0.13,-0.22,2.51,5.69,2.64,14.12,316.924,315.142,1.24,03/15/00,03/15/99,,0,24834,1
41,2000,8003.295,11356.295,25.16,-16.6,-12.88,-14.35,7.87,0,10.24,13.7,-8.63,2.06,5,-2.93,0.697,1.92,0.77,0.59,0.04,N/A,29.06,16.16,-0.94,-0.2,-3.35,2.31,-7.83,8.86,318.56,318.096,1.16,03/15/01,03/15/00,,0,24102,1
41,2001,7073.262,10341.262,22.19,-16.8,-12.69,-14.33,7.51,0,0,14.29,-8.03,2.01,6,-2.75,0.728,4.53,0.95,0.74,0.02,N/A,27.25,15.84,-0.21,0.28,9.48,-15.41,-1.08,4.04,318.246,318.759,1.41,03/15/01,03/15/01,,0,23430,1
41,2002,8960.022,12051.022,27.63,-16.03,-12.22,-13.61,9.38,22.03,0,15.51,-4.79,2.4,7,-2.86,0.717,2.24,1.07,0.83,0.03,N/A,27.68,18.65,-1.73,-0.74,0.77,16.44,8.64,-0.63,323.02,324.286,1.18,03/10/03,03/14/02,,0,24271,1
41,2003,9375.845,12248.845,28.89,-15.47,-11.63,-13.06,12.31,23.12,0,11.77,-0.68,2.68,9,-2.85,0.676,-0.07,1.17,0.92,0.04,N/A,30.31,22.81,-0.08,0.75,-1.33,-5.34,7.43,-0.17,325.536,324.536,1.06,03/10/03,03/10/03,,0,25010,1
