enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
45,2011,0,0,0,0.38,0.32,0.25,0,0,0,0,0,0,N/A,0,0.284,7.76,5.77,5.77,4.59,46.91,0,0,-,0,0,0,0,0,2420,2517,0,02/01/13,02/01/13,,0,0,1
45,2012,0,0,0,1.16,1.2,1.06,0,0,0,4.83,0,2.55,N/A,0,0.558,39.08,5.12,5.12,4.35,41.81,0,0,15.05,0,88.01,79.22,76.29,0,2420,2138.08,0,01/31/14,05/18/12,,0,3200,1
45,2013,63142.64,55872.64,26.62,2.65,3.34,2.87,0,0,0,1.13,0,12.74,4,-1.68,0.708,36.18,10.71,10.71,9.15,10.55,38.23,17.73,-10.94,-10.71,59.36,-96.38,-32.64,0,2006,2372,0,01/29/15,02/01/13,01/30/13,5005,4619,1
45,2014,139193.55,128220.55,54.65,3.54,4.18,3.87,0,0,0,8.56,0,36.45,8,-2.78,0.298,-0.55,11.88,11.88,10.41,50.07,57.96,22.9,-7.38,-1.06,33.16,5900,175.5,0,2420,2547,0,01/28/16,01/31/14,01/29/14,4921,6337,1
45,2015,216739.56,205773.56,78.02,2.64,3.43,3.09,0,0,0,11.34,0,34.9,7,-0.67,1.404,3.82,9.4,9.4,7.86,217.13,81.45,53.53,-9.07,0,49.58,83.33,52.7,0,2614,2778,0,02/03/17,01/29/15,01/28/15,5243,9199,1
45,2016,296606.44,278487.44,104.66,4.67,5.81,5.35,0,0,0,15.41,10.13,35.83,6,-2.79,0.653,5.67,11.25,11.25,9.58,270.65,109.01,74.05,-2.02,0,34.3,17.27,23.43,0,2803,2834,0.93,02/01/18,01/28/16,01/27/16,5132,12691,1
45,2017,332724.6,303275.6,115.05,8.19,9.9,9.22,31.12,0,92.25,32.44,16,36.73,8,-2.5,0.602,9.08,11.97,11.97,10.24,1242.7,133.28,94.16,-2.05,0,50.37,170.54,77.7,63.02,2863,2892,0.32,01/31/19,02/03/17,02/01/17,4839,17048,1
45,2018,512792.76,471081.76,176.46,10.85,13.21,12.36,56.97,0,134.75,47.59,30.31,32.72,8,-2.58,0.502,14,12.92,12.92,11.09,3367.17,183.03,116.86,-0.48,0.39,45.55,54.44,57.2,65.26,2901,2906,0.57,01/30/20,02/01/18,01/31/18,4019,25105,1
45,2019,374130.86,333516.86,131.09,9.78,13.06,11.77,73.53,0,189.25,62.32,38.79,19.58,7,-2.76,0.515,4.56,7.19,7.19,5.86,2768.11,217.5,124.06,1.79,3.44,39,40.45,25.2,48.79,2890,2854,0.65,01/28/21,01/31/19,01/30/19,3821,35587,1
45,2020,585373,540842,205.25,7.9,11.89,10.4,93.92,0,161,64.41,49.35,13.06,5,-3.52,0.581,1.53,4.4,4.4,3.64,1199.3,208.1,131.74,0.07,0.72,28.59,-15.06,3.3,43.22,2854,2852,1.4,02/03/22,01/30/20,01/29/20,3663,44942,1
45,2021,778232.84,726932.84,273.16,10.86,15.67,13.84,117.26,0,253.5,93.21,71.3,17.41,6,-2.44,0.577,12.84,5.05,5.05,4.14,960.91,303.91,146.01,0.11,0.81,21.09,56.92,32.44,32.2,2851,2849,1.31,02/02/23,01/28/21,01/27/21,3503,58604,1
45,2022,921935.35,887810.35,336.35,2.51,9.32,6.36,147.45,565.07,346.05,109.13,84.99,16.02,7,-2.85,0.57,-6.47,3.15,3.15,2.27,N/A,382.18,245.64,3.79,4.83,38.57,36.47,39.82,26.37,2815,2741,1.37,02/02/23,02/03/22,02/02/22,3290,71970,1
45,2023,314568.76,300421.76,120.34,-7.37,-0.18,-3.51,162.74,537.25,157.13,88.03,74,4.99,4,-3.3,0.672,0.91,2.2,2.2,1.51,90.45,338.54,88.91,4.63,8.89,4.63,-37.62,-27.24,18.26,2687,2614,1.09,02/02/23,02/02/23,02/01/23,3231,86482,1
