enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
54,1994,3712.5,3503.406,0.495,-0.03,0.04,-0.01,0,0,0,0.33,0,1.64,4,-3,0.574,12.76,2.49,1.94,1.55,N/A,0.495,0.39,0,-0.82,12.5,0,35,-5.03,7517.857,7500,0.22,,,,0,11648,6.704
54,1995,3562.5,3218.257,0.475,-0.03,0.11,0,0,0,0,0.38,0,1.77,4,-2.94,0.623,4.84,2.88,2.34,1.46,N/A,0.55,0.44,0,0,12.64,10.71,16.67,0.7,7473.016,7500,-0.06,,,,0,11648,6.161
54,1996,5137.5,4968.63,0.685,-0.07,0.09,-0.04,0,0,0,0.48,0,1.78,3,-2.43,0.704,-4.05,2.45,1.87,0.76,N/A,0.685,0.453,0,0,11.22,19.35,14.29,0.14,7514.667,7500,0.16,,,,0,12997,5.579
54,1997,7012.5,7246.65,0.935,-0.12,0.11,-0.09,0,0,0,0.46,0,1.78,4,-2,0.811,7.01,2.24,1.73,0.19,N/A,0.948,0.638,0,0,2.75,10.81,-4.17,-7.03,7471.605,7500,0.35,,,,0,13395,5.943
54,1998,10822.933,11123.385,1.443,-0.13,0.1,-0.1,0,0,0,0.46,0,1.8,4,-2.1,0.793,9.67,2.42,1.91,0.21,N/A,1.446,0.88,-0.04,0,-0.89,4.88,-1.45,4.81,7537.209,7502.9,0.35,,,,0,14175,6.775
54,1999,9640.638,9959.435,1.33,-0.19,0.08,-0.04,0,0,0,0.52,0,1.6,3,-1.88,0.83,6.24,2.38,1.54,0.15,N/A,1.693,1.083,3.39,3.16,-86.19,-6.98,-88.24,4.75,47216.194,7248.6,0.2,,,,0,14857,6.353
54,2000,9167.03,9266.477,1.293,-0.13,0.09,-0.01,0.76,0,4.81,0.5,-0.65,1.78,4,-2.02,0.503,3.81,2.22,1.58,0.23,N/A,1.398,0.966,2.15,2.14,-8.7,15,25,17.73,53090.53,7092.48,0.06,,,,0,15184,7.36
54,2001,12361.45,12420.359,1.77,-0.13,0.06,-0.04,0.81,0,7.11,0.55,-0.02,2.2,5,-0.77,0.623,1.5,1.95,1.33,0.2,N/A,2.253,1.239,1.53,2.22,759.52,17.39,820,43.66,6924.716,6983.87,0.05,04/26/02,04/26/02,,0,13752,8.306
54,2002,13901.748,13738.72,2.005,-0.1,0.09,-0.01,0.14,0,0.83,0.67,0.05,18.21,4,-1.4,0.757,12.72,2.31,1.52,0.51,N/A,2.312,1.749,0.72,-0.01,13.3,22.22,25,42.35,6886.466,6933.54,0.11,04/26/02,04/26/02,,0,14771,8.353
54,2003,9979.098,9930.537,1.445,-0.14,0.1,-0.02,0.18,0,1.01,0.8,0.01,11.82,2,-2.07,0.896,11.43,2.31,1.32,0.29,N/A,2.03,1.116,0.4,0.47,20.78,21.21,25.22,31.43,6928.561,6905.95,0.76,03/27/03,03/27/03,,0,18005,7.287
54,2004,13850.685,13625.066,2.048,-0.15,0.17,0,0.25,0,0.85,1.08,0.71,12.74,5,-1.96,0.916,2.93,2.45,1.47,0.47,N/A,2.048,1.268,2.07,1.92,29.35,46.25,34.03,14.1,6831.737,6763.03,0.78,02/27/04,02/27/04,,0,18756,6.054
54,2005,18020.234,17608.517,2.713,-0.19,0.19,-0.01,0.43,0,0,1.42,-0.07,13.44,5,-2.43,0.773,-1.54,2.44,1.45,0.54,N/A,2.751,1.961,1.79,1.91,21.44,14.53,22.8,0,6762.588,6642.18,1.14,02/23/05,02/23/05,,0,20285,5.545
