enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
63,1994,1276.853,1259.253,1.55,-0.06,0.15,-0.05,0,0,0,0.46,-0.47,9.33,5,0.64,0.798,20.59,3.19,2.96,0.65,N/A,2.64,0.93,-2.42,-0.51,70.81,33.33,103.7,0,760,823.776,0,,,,0,1262,1
63,1995,2908.603,2442.503,2.81,0.35,0.54,0.37,0.36,0,0,0.71,0.11,13.69,8,-2.21,0.932,10.09,6.71,6.29,4.77,N/A,3.32,1.28,-25.65,-17.16,25.49,75,9.09,0,862.857,1035.09,1.14,,,,0,1262,1
63,1996,2767.856,2751.556,2.6,-0.22,0.39,0.02,0.3,0,0,0.19,0.1,6.1,3,-1.43,0.881,42.03,2.3,1.78,0.34,N/A,3.33,1.87,-2.85,-0.85,72.99,-42.86,-21.67,0,1050,1064.56,1.58,12/03/97,12/03/96,,0,6000,1
63,1997,4240.022,4323.917,3.89,-0.51,0.27,-0.1,0.01,0,3.25,1.4,0.68,5.98,5,-0.05,0.935,28.9,2.73,2.33,1.23,N/A,3.89,2.22,-2.39,-0.77,132.65,295,248.94,104.33,1158.88,1089.98,1.17,12/03/97,12/03/97,,0,9000,1
63,1998,3388.38,4069.08,3,-1.27,-0.06,-0.65,-0.74,0,8.05,1.3,0.32,4.03,3,-2.04,0.72,10.41,1.74,1.31,0.2,N/A,4.34,2.6,-3.62,-1.47,56.91,15.19,98.17,138.76,1107.248,1129.46,1.63,11/17/99,11/23/98,,0,11600,1
63,1999,30573.065,29785.765,23.65,-0.04,1.02,0.59,0.5,0,3.28,2.97,1.62,20.98,7,-1.95,0.812,21.48,3.4,3.1,1.84,N/A,24.2,2.45,-14.46,-4.29,7.07,70.33,33.54,117.63,1189.428,1292.73,1.64,11/03/00,11/17/99,,0,9700,1
63,2000,53277.539,51551.789,35.63,0.82,1.46,1.15,2.82,0,7.33,4.54,2.89,65.76,7,-2.58,0.836,10.62,5.78,5.6,3.75,No Debt,89.66,23.35,-15.67,-0.27,-34.04,174.19,47.7,73.03,1434.41,1495.3,2.39,11/03/00,11/03/00,,0,6300,1
63,2001,36286.807,34009.515,23.77,0.93,1.44,1.22,3.19,8.13,0,1.5,2.38,26.33,6,-3.34,0.418,-19.24,5.86,5.68,4.38,No Debt,52.22,21.94,-2.09,-0.37,-11.31,-189.41,-66.3,-9.59,1511.938,1526.58,2.32,11/26/02,11/09/01,,0,6500,1
63,2002,21503.551,18847.551,13.81,1.08,1.81,1.36,4.1,9.88,0,5.22,3.36,13.52,6,-2.24,0.483,7.22,5.84,5.71,4.14,N/A,31.24,11.88,-2,-0.53,1.64,157.89,240.28,-24.99,1541.774,1557.1,1.83,11/05/03,11/26/02,,0,8100,1
63,2003,33275.436,28940.436,20.84,2.09,2.96,2.35,6.75,13.54,0,8.16,5.32,18.17,6,-3.13,0.501,0.95,7.36,7.23,5.64,N/A,22.87,13.96,-2.54,-0.1,31.7,131.82,44.22,-2.31,1590.385,1596.71,1.22,11/03/04,11/05/03,,0,7400,1
