enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
67,1994,667.423,739.523,0.72,-0.12,-0.04,-0.09,0,0,0,0.07,0,5.11,3,-3.17,0.943,12.66,2.09,0.71,0.21,N/A,1,0.61,-5.97,-0.39,64.17,0,69.57,0,926.976,926.976,0,,,,0,4585,1
67,1995,1339.666,1400.066,1.18,-0.12,0.04,-0.06,0,0,0,0,-0.44,6.93,6,-0.05,1.61,40.65,2.9,1.15,0.29,N/A,1.36,0.7,-22.47,-12.85,33.55,0,46.15,0,1135.312,1135.31,1.68,,,,0,4585,1
67,1996,2557.16,2597.66,2.06,-0.12,0.05,-0.08,-0.23,0,0,0,-0.41,7.42,4,-2.78,1.051,16.23,3.36,2.53,1.25,N/A,2.23,0.96,-9.34,-0.48,37.07,300,35.09,0,1241.344,1241.34,1.18,12/23/97,12/26/96,,0,4585,1
67,1997,3301.493,3396.393,2.61,-0.2,0,-0.13,-0.29,0,0.38,0,-0.49,8.09,5,-1.67,0.865,17.52,2.18,1.36,0.48,N/A,2.79,1.7,-1.9,-0.53,37.19,25,49.35,42.79,1264.944,1264.94,0.97,12/28/98,12/23/97,,0,25000,1
67,1998,3241.134,3151.134,2.26,-0.05,0.1,0.02,-0.2,0,0.68,0.56,-0.37,11.99,7,-2.21,0.822,6.55,1.88,1.08,0.69,No Debt,3.63,1.82,-13.38,-0.78,-42.28,360,-40.87,41.02,2817.76,1434.13,1.63,12/23/99,12/28/98,,0,26000,1
67,1999,4530.929,4485.029,3.1,-0.12,0.06,-0.03,-0.13,0,0.88,0.71,-0.43,11.59,5,-2.75,0.922,16.64,1.54,0.82,0.47,N/A,4.97,2.07,-1.91,-0.95,158.2,47.83,169.12,34.3,1461.593,1461.59,1.92,12/22/00,12/23/99,,0,37000,1
67,2000,7542.555,7477.49,5.01,-0.14,0.08,-0.04,0.12,0,1.23,1.01,-0.28,15.64,6,-2.57,0.865,10,1.47,0.82,0.42,N/A,5.6,2.7,-3,-0.91,22.89,-11.76,33.33,31.77,1479.288,1505.5,1.51,12/20/01,12/22/00,,0,47000,1
67,2001,5685.473,5533.394,3.74,-0.16,0.08,-0.05,0.51,0,0.85,0.97,0.04,9.74,6,-3.16,0.821,8.31,1.33,0.84,0.5,N/A,6.25,3.5,-0.98,-0.17,18.84,93.33,18.85,44.31,1519.472,1520.18,0.91,12/20/02,12/20/01,,0,54000,1
67,2002,8013.016,7691.463,5.16,-0.11,0.18,0.03,0.9,6.33,0.48,1.05,0.26,12.46,6,-2.9,0.759,10.06,1.67,1.1,0.71,N/A,6.41,3.64,-2.15,-0.69,23.36,12.07,17.24,42.1,1537.732,1552.91,0.56,12/23/03,12/20/02,,0,62000,1
67,2003,11338.344,10993.409,7.2,-0.19,0.18,-0.03,1.4,6.58,3,2.19,0.94,13.22,7,-3.99,0.784,7.37,1.52,0.95,0.58,N/A,7.55,4.95,-1.41,-0.28,22.56,158.46,25.29,23.78,1563.012,1574.77,0.46,12/23/03,12/23/03,,0,74000,1
67,2004,18073.979,17425.323,11.37,-0.17,0.27,0.03,2.36,9.94,1.21,1.99,1.61,14.81,7,-1.98,0.667,8.26,1.81,1.24,0.88,N/A,11.97,7.33,-0.94,0.36,27.08,-29.76,33.33,13.57,1587.412,1589.62,0.38,12/16/05,12/10/04,,0,96700,1
