enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
69,1994,3340.386,4220.786,8.45,-5.6,-2.86,-5.33,5.72,0,0,0,5.84,2.07,6,-2.85,0.679,-0.21,1.06,0.86,0.04,N/A,9.36,6.91,-1.03,-0.57,7.46,-60,21.06,0,380,395.312,0.72,03/30/94,03/30/94,,0,13539,1
69,1995,3322.063,4076.763,8.36,-5.25,-2.44,-4.98,6.61,10.82,0,0,5.51,2.72,7,-2.73,0.541,-0.99,1.12,0.9,0.01,N/A,9.56,7.92,-0.52,-0.42,20.66,1610,34.45,0,395.992,397.376,0.63,03/28/95,03/28/95,,0,15339,1
69,1996,4362.186,4980.586,10.89,-5.14,-2.07,-4.84,8.67,10.87,6.9,1.47,6.58,3.16,8,-2.77,0.55,-0.42,1.18,0.96,0.01,N/A,10.89,7.99,-0.8,-0.47,5.51,11.11,3.86,13.6,399.008,400.568,0.81,03/26/96,03/26/96,,0,15004,1
69,1997,4590.37,5168.37,11.53,-5.72,-2.34,-5.38,12.81,11.24,9.79,1.33,7.34,3.37,5,-2.91,0.625,7.57,1.11,0.88,0,N/A,12.06,9.66,0.61,0.95,4.5,117.54,4.09,16.76,399.988,398.124,0.84,03/26/97,03/26/97,,0,16220,1
69,1998,7333.548,8013.148,18.5,-5.74,-2.05,-5.37,14.82,13.26,9.6,2.19,8.38,3.97,7,-2.56,0.581,3.84,1.21,0.97,0,N/A,18.66,11.34,0.43,0.81,15.45,-41.13,18.2,14.26,395.51,396.408,1.15,03/26/99,03/26/98,,0,15690,1
69,1999,10040.325,10557.425,25.47,-5.65,-2.05,-5.29,16.22,13.76,7.84,3.58,9.08,4.82,7,-3.09,0.557,-2.44,1.11,0.89,0.01,N/A,25.77,17.36,0.56,0.83,5.37,13.7,8.7,10.21,393.571,394.202,0.93,03/22/00,03/26/99,,0,15897,1
69,2000,12059.589,12589.589,30.81,-6.11,-2.16,-3.71,16.79,14.8,9.65,4.95,9.67,5.23,8,-2.79,0.586,2.89,1.02,0.82,0,N/A,31.13,23.81,0.71,1.25,7.49,28.92,16.61,9.94,392.622,391.418,1.03,03/12/01,03/22/00,,0,16376,1
69,2001,11388.987,12431.206,29.31,-8.15,-3.52,-5.54,20.08,16.77,14.61,2.02,10.07,4.14,5,-2.86,0.686,12.31,1.01,0.79,0,N/A,33.56,21.38,0.73,1.07,8.64,-3.74,21.71,13.23,388.263,388.57,0.73,03/12/02,03/12/01,,0,16761,1
69,2002,11940.903,12943.905,30.9,-8.42,-3.87,-5.88,22.95,18.92,12.6,1.4,10.54,4.03,4,-3.17,0.579,0.64,0.97,0.75,0.03,N/A,35.23,24.65,0.55,0.94,4.33,-6.8,-7.82,13.39,386.698,386.437,0.72,03/13/03,03/12/02,,0,17135,1
69,2003,11674.926,12195.077,30.43,-7.32,-3.11,-4.91,26.47,25.06,15.74,5.57,14.21,4.68,7,-2.99,0.52,-3.96,0.94,0.74,0.03,N/A,34.45,25.65,0.72,0.9,6.03,54.17,22.63,10.73,385.793,383.665,0.41,02/27/04,03/13/03,,0,16505,1
