enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
77,1994,5768.688,5785.688,3.97,-1.92,-0.25,-1.01,1.38,0,0,3.35,3.7,3.31,7,-2.53,0.45,4.15,1.66,1.25,0.44,N/A,5.27,2.88,-9.95,0.87,0.39,98.75,14.39,0,1375.2,1453.07,1.39,03/20/95,03/21/94,,0,59048,1
77,1995,6940.112,6470.112,4.68,-1.79,0.05,-0.77,2.38,2.99,0,4.22,-0.27,3.4,7,-3.06,0.429,4.03,1.83,1.43,0.59,N/A,5.54,3.88,-2.05,-1.58,-0.95,41.51,9.8,0,1472.992,1482.93,1.3,02/23/96,03/20/95,,0,56333,1
77,1996,9757.308,9035.308,6.44,-2.05,0.52,-0.69,3.18,4.35,0,6.07,0.87,3.93,8,-2.55,0.483,5.91,1.89,1.55,0.54,N/A,10.28,4.31,-2.17,-1.14,30.65,55.56,38.84,0,1501.152,1515.11,1.19,02/25/97,02/23/96,,0,59574,1
77,1997,12130.499,13163.499,7.97,-2.82,-0.53,-1.7,2.6,4.07,0,0,-2.32,3.11,4,-2.67,0.586,14,1.79,1.51,0.39,N/A,8.38,5.27,-0.46,-0.29,-11.07,-92.86,-57.71,0,1517.552,1522.02,1.77,02/23/98,02/25/97,,0,59574,1
77,1998,17527.388,15864.388,11.25,-1.23,0.75,-0.17,4.03,4.03,0,3.4,-0.56,4.26,7,-2.85,0.454,10.54,2.45,2.15,1.21,N/A,17.63,7.81,-2.36,-0.37,-4.31,2160,97.93,0,1540.564,1557.99,2.58,02/22/99,02/23/98,,0,44140,1
77,1999,33457.835,32410.835,21.41,-1.54,0.16,-0.69,3.05,3.83,0,3.66,-1.27,6.08,4,-1.46,0.524,5.11,2.25,1.97,1.05,N/A,22.27,10.42,-0.3,0.3,-20.12,-77.43,-16.14,0,1738.462,1562.72,2.01,03/03/00,02/22/99,,0,35948,1
77,2000,78541.432,77145.432,48.31,-1.86,0.31,-0.7,5.79,4.74,0,9.17,-0.9,9.99,9,-2.51,0.712,6.92,2.36,2.02,1.05,N/A,54.75,21.63,-4.04,0.32,11.48,225.49,68.37,0,1687.209,1625.78,1.75,02/28/01,03/03/00,,0,38197,1
77,2001,82167.344,79528.344,47.38,-0.65,1.72,0.66,5.5,6.61,0,11.37,-0.86,12.22,6,-2.79,0.645,15.22,2.88,2.45,1.42,N/A,93.81,36.88,-6.67,-0.11,18.95,106.02,28.37,0,1717.978,1734.22,1.41,03/04/02,02/28/01,,0,42481,1
77,2002,48550.04,46855.04,28,-0.55,1.08,0.18,6.23,7.54,0,0,-2.8,9.02,4,-3.16,0.575,-2.5,3.66,3.18,1.86,N/A,52.06,21.73,0.02,0.44,-26.27,-107.02,-64.18,0,1675,1733.93,1.7,03/04/02,03/04/02,,0,42481,1
77,2003,25976.156,24219.156,15.01,-0.54,1.26,0.22,7.88,10.6,0,5.11,-2.56,5.6,5,-3.13,0.569,-8.36,3.17,2.76,1.56,N/A,35.94,13.23,0.19,0.78,-0.45,-66.67,54.44,0,1720,1730.59,1.79,03/03/03,03/03/03,,0,34589,1
