enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
84,1994,23172.113,32909.513,26.56,-24.27,-20,-24.13,17.16,0,0,13.14,-5.87,1.4,7,-2.74,0.639,0.36,0.63,0.59,0.02,N/A,30.32,22.31,-0.52,-0.15,0.97,-126.75,6.68,0,868.647,872.444,0.58,03/31/94,03/31/94,,0,73600,1
84,1995,19462.619,28298.019,22.31,-20.59,-16.51,-20.53,17.04,21.14,0,14.95,-3.46,1.5,6,-3.67,0.505,-11.69,0.68,0.63,0.03,N/A,26.28,21.97,0.01,0.01,5.18,107.14,1.17,0,876.803,872.372,0.88,03/28/96,03/30/95,,0,72300,1
84,1996,26166.904,34147.504,29.98,-19.61,-15.58,-19.53,21.07,44.84,0,16.43,-4.07,2.7,7,-3.62,0.604,-5.91,0.72,0.7,0.07,N/A,30.77,21.8,-0.05,-3.66,103.41,-333.33,96.1,3.7,872.857,872.812,0.67,03/25/97,03/28/96,,0,61800,1
84,1997,25416.462,45496.462,29.03,-45.68,-36.47,-45.57,38.57,32.4,31.33,26.25,-15.74,1.03,6,-0.92,1.368,4.11,0.82,0.77,0.02,N/A,33.29,24.72,-0.31,-0.83,-3.72,3228.57,-1.67,15.95,934.258,875.524,0.58,03/25/98,03/25/97,,0,62600,1
84,1998,63366.48,83763.38,40.8,-26.17,-20.72,-26.13,22.98,37.37,34.07,17.33,-1.43,1.68,4,-2.88,0.622,1.73,0.66,0.62,0.02,N/A,40.8,25.84,-77.39,0.24,-37.31,-28.31,-40.86,21.27,1553.734,1553.1,0.78,03/30/99,03/25/98,,0,141089,1
84,1999,76320.572,97248.572,48.42,-26.44,-20.96,-23.27,23.12,29.38,23.59,19.21,-10.02,1.98,6,-3.58,0.629,0.36,0.86,0.81,0.02,N/A,53.58,36.88,-1.49,-0.01,3.59,18.47,45.32,11.92,1553,1576.22,0.65,03/30/00,03/30/99,,0,140000,1
84,2000,85707.936,132021.936,55.2,-53.7,-42.8,-47.47,16.85,31.7,16.94,26.3,-15.16,1.4,5,-1.57,1.318,7.68,0.67,0.63,0.1,N/A,62.32,45.73,1.49,1.02,4.76,59.68,-14.57,6.07,2739,1552.68,0.61,03/23/01,03/30/00,,0,145000,1
84,2001,121525.022,210857.022,44.95,-47.27,-39.96,-43.03,17.08,37.16,0,0,-27.03,1.46,5,-2.1,1.098,7.3,0.65,0.59,0.07,N/A,58.45,35.92,-74.12,1.41,12.91,45.12,4.7,-4.77,2715.899,2703.56,0.6,03/20/02,03/23/01,,0,260000,1
84,2002,115644.032,199149.032,42.56,-49.79,-42.35,-45.49,16.03,40.49,0,0,-29.72,1.04,5,-3.05,0.704,1.28,0.61,0.56,0.08,3.61,51.26,41.25,-0.5,-0.42,3.28,-96.75,-19.96,-4.72,2710,2717.2,0.59,03/12/04,03/20/02,,0,247000,1
84,2003,95415.855,169278.855,34.75,-47.85,-41.07,-44.17,18.14,40.24,0,0,-28.06,1.11,7,-3.02,0.623,-6.7,0.79,0.74,0.12,3.88,45.48,24.61,-1.05,-0.96,-1.61,964.29,16.29,-4.02,2729,2745.78,1.13,03/14/05,03/14/03,,0,229500,1
84,2004,87073.73,153960.73,31.46,-46.85,-41.05,-43.95,22.85,38.1,0,0,-21.37,1.04,5,-3.24,0.599,-4.31,0.71,0.66,0.11,2.6,39.52,28.25,-0.8,-0.96,-0.92,-24.83,-6.81,-7.39,2756,2767.76,1.14,03/14/06,03/12/04,,0,203100,1
84,2005,100632.647,160405.647,36.33,-44.71,-39.32,-41.78,28.4,35.75,0,0,-17.68,1.27,7,-2.84,0.586,-2.18,0.84,0.78,0.2,4.65,37.86,30.6,-0.08,0.05,-2.51,149.11,15.42,-4.53,2770,2769.96,1.45,03/01/07,03/14/05,,0,210000,1
84,2006,74639.704,136423.704,27.01,-45.43,-39.49,-42.84,30.96,35.87,0,0,-14.76,1.16,6,-3,0.611,2.3,0.72,0.67,0.11,5.66,36.31,26.18,0.24,0.31,6.26,-5.02,4.53,1.76,2766,2763.41,0.79,02/28/08,03/14/06,,0,217000,1
84,2007,100912.937,159957.937,34.66,-46.24,-40.44,-43.17,35.18,43.34,11.01,0,-7.7,1.29,5,-2.64,0.64,-1.21,0.7,0.65,0.18,5.69,34.83,27.24,-5.36,1.51,21.62,-20,2.56,6.05,2912,2911.51,0.65,02/24/09,03/01/07,,0,242000,1
84,2008,116971.501,177019.501,40.66,-46.22,-40.91,-42.86,42.46,46.5,10.62,0,-8.75,1.53,6,-2.91,0.586,-2.79,0.76,0.69,0.14,8.52,42.87,33.2,1.19,1.34,7.31,-10.38,7.03,5.63,2898,2876.82,1.15,02/26/10,02/28/08,,836237,235000,1
84,2009,94043.561,172903.561,31.69,-50.67,-45.35,-47.36,44.67,46.07,0,0,-15.01,1.13,6,-3.37,0.645,0.9,1.01,0.93,0.4,1.44,40.43,23.45,-3.16,1.44,6.09,-140.53,-40.14,4.19,2849,2967.61,0.71,02/28/11,02/24/09,01/27/09,0,223900,1
84,2010,91906.882,194424.882,30.97,-61.67,-55.19,-58.26,49.63,49.39,0,0,-18.23,1.11,5,-2.86,0.711,-1.47,0.75,0.7,0.09,5.15,32.39,24.48,0,0,11.05,323.38,84,-3.2,2841,2967.61,0.57,02/24/12,02/26/10,01/26/10,773417,222900,1
84,2011,101150.776,195074.776,35.78,-61.63,-56.27,-58.3,52.84,46.98,0,0,-24.26,1.15,4,-3.19,0.584,-7.16,0.73,0.69,0.24,5.8,35.78,25.18,4.74,0,-0.87,-47.67,-4.4,-0.53,2830,2827.02,0.61,02/26/13,08/01/11,01/25/11,738059,194400,1
84,2012,113700.882,204836.882,40.12,-63.7,-57.71,-60.42,52.26,46.24,0,0,-21.46,1.15,7,-3.08,0.578,-4.39,1.01,0.98,0.45,4.56,40.12,33.12,-0.25,-0.21,3.82,-5.56,-5.91,2.92,2833,2834.02,0.53,02/27/14,03/20/12,01/24/12,705202,193900,1
84,2013,123690.324,224490.324,43.27,-65.94,-59.76,-62.46,49.38,45.59,10.96,0,-24.34,1.17,5,-3.02,0.581,-4.49,0.79,0.75,0.13,5.12,47.26,36.8,-0.87,-0.25,3.64,-63.53,-3.72,5.05,2853,2858.57,0.44,02/23/15,02/26/13,01/22/13,614409,183400,1
84,2014,140638.68,236680.68,49.14,-63.29,-57.4,-59.85,59.34,47.19,33.18,0,-9.26,1.5,7,-3.09,0.599,-4.56,2.62,2.59,2,11.99,53.91,41.51,-0.12,0.05,3.63,1190.32,67.13,11.44,2866,2862,0.07,02/23/16,02/27/14,01/21/14,585931,176800,1
84,2015,194369.029,297865.029,46.78,-50.34,-45.93,-47.68,36.23,36.01,0,0,-22.14,1.39,3,-2.92,0.422,-2.21,1.05,1.01,0.4,3.99,51.97,45.42,-45.18,-0.02,-23.9,-39.5,-45.4,4.49,3974,4154.96,0.11,02/21/17,02/23/15,01/22/15,664218,177300,1
