enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
85,1994,7117.383,17007.583,6.09,-37.78,0,-36.97,2.79,0,0,5.19,-5.81,6,-2.21,0.294,-0.1,7.16,5.22,-4.26,0.97,26.57,55,1317.895,1168.7,1.62,03/08/94,03/08/94,,0,35000,1
85,1995,7221.627,20745.827,5.84,-41.6,0,-40.56,7.41,0,6.45,5.84,-11.3,6,-2.37,0.332,4.35,7,5.28,-5.81,5.99,19,29.68,1260.4,1236.58,1.31,03/16/95,03/16/95,,0,35000,1
85,1996,11641.08,29200.88,8.25,-43.85,0,-41.46,3.85,0,7.29,7.09,-14.93,5,-1.39,0.38,5.5,8.66,5.72,-14.11,1.45,9.82,12.77,1316.259,1411.04,1.36,03/04/97,03/07/96,,0,35000,1
85,1997,16045.933,29518.233,10.88,-45.25,0,-43.19,10.37,0,7.02,7.19,-9.86,7,-1.82,0.268,-15.76,11.69,7.75,-4.52,17.86,131.78,0,1460.526,1474.81,1.33,02/27/98,03/04/97,,0,53369,1
85,1998,29404.111,48801.111,19.38,-100.73,0,-101.03,21.11,0,13.11,9.69,-12.74,5,-1.16,0.483,-2.21,19.44,10.81,-2.88,7.68,6.75,8.82,1498.626,1517.24,1.25,03/17/99,02/27/98,,0,57036,1
85,1999,65663.756,89786.756,19.97,-51.39,0,-51.53,5.71,0,10.26,6.55,-7.16,2,-2.31,0.239,6.99,21.72,14.88,-116.72,0.13,-50.12,-20.95,3243,3288.12,1.19,03/17/00,03/17/99,,0,92178,1
85,2000,65789.814,111470.814,20.22,-62.41,0,-62.49,15.07,10.23,19.54,9.74,-11.35,7,-2.4,0.342,4.84,24.53,16.38,1.05,2.74,10.93,95.73,3428.448,3253.7,1.15,03/16/01,03/17/00,,0,92178,1
85,2001,95471.434,140730.434,27.84,-66.77,0,-66.84,17.07,11.4,13.97,8.98,-10.83,3,-2.23,0.297,7.06,27.88,16.09,-5.4,2.95,9.49,1.31,3411.915,3429.29,0.85,03/15/02,03/16/01,,0,92178,1
85,2002,73720.123,133128.123,21.74,-77.67,0,-77.69,13.72,13.08,17.78,10.42,-16.46,3,-3.16,0.318,10.49,26.97,19.43,1.12,2,6.7,-15.09,3414.07,3390.99,0.43,03/14/03,03/15/02,,0,119714,1
85,2003,79035.226,144765.226,23.44,-89.18,0,-89,4.6,16.56,14.08,12.87,-18.04,4,-2.04,0.311,9.27,26.61,21.32,0.57,1.84,20.78,60.41,3402.2,3371.81,0.33,03/12/04,03/14/03,,0,127500,1
85,2004,100494.15,172474.15,29.59,-99.17,0,-98.95,20.44,21.67,17.65,14.01,-19.22,6,-3.07,0.304,9.8,29.59,22.08,-0.72,0.61,13.8,15.51,3362.2,3396.22,0.28,03/12/04,03/12/04,,0,119714,1
85,2005,105335.714,188244.714,31.08,-111.26,0,-111.01,30.67,27.8,19.41,15.83,-1.57,4,-2.57,0.311,9.34,31.63,27.4,0.21,0.87,3.53,12.33,3384.4,3389.18,0.33,03/01/07,03/10/05,,0,145500,1
85,2006,105419.441,173973.441,31.42,-114.41,0,-111.4,16.74,31.91,22.77,15.91,-0.13,4,1.93,0.255,9.77,32.17,28.89,1,1.7,9.85,9.76,3372.5,3355.17,0.54,02/29/08,03/09/06,,0,153500,1
85,2007,120091.454,193714.454,35.56,-112.08,0,-109.96,32.98,35.08,25.62,16.31,-33.05,5,-2.83,0.247,-0.62,36.81,30.52,-0.66,0.17,7.78,9.78,3368.3,3377.15,0.25,02/27/09,03/01/07,,0,158000,1
