enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,5-year_rore_%,wacc_%,effective_interest_rate_on_debt_%,net_interest_margin_(bank_only)_%,net_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,asset_turnover,dividend_payout_ratio,capex-to-revenue,capex-to-operating-cash-flow
16,1994,16.872,12.41,1.089,19.335,1.098,0,15.51,21.51,3.89,22.002,-37.145,2.428,0.063,0.154,0.937,0.049,0.331,0.685,2.186
16,1995,16.103,14.13,1.033,18.871,1.043,0,14.8,26.02,3.64,21.647,112.604,1.512,0.065,0.098,0.935,0.048,0.31,0.042,0.036
16,1996,16.378,9.93,1.093,18.945,1.103,0,19.78,37.61,3.47,22.844,-61.387,1.929,0.068,0.132,0.932,0.048,0.366,0.036,0
16,1997,43.855,16.36,3.116,50.623,3.146,15.75,24.83,63.79,10.37,21.768,10.099,2.014,0.074,0.149,0.926,0.143,0.277,0.044,0.305
16,1998,22.445,22.67,1.729,34.012,1.775,7.01,18.22,42.69,5.94,21.478,1.763,1.367,0.078,0.107,0.922,0.08,0.366,0.029,0.623
16,1999,11.412,5.05,0.869,17.804,0.894,-1.31,15.72,29.34,3.83,16.395,41.519,1.684,0.074,0.125,0.926,0.053,0.448,0.014,0.032
16,2000,17.444,9.18,1.261,25.562,1.291,8.56,13.93,20.58,3.57,24.218,35.642,2.433,0.07,0.171,0.93,0.052,0.396,0.014,0.039
16,2001,16.331,10.47,1.179,23.156,1.205,5.25,13.31,22.78,3.51,22.809,14.028,2.304,0.074,0.171,0.918,0.052,0.435,0.019,0.122
16,2002,14.128,6.96,1.075,19.171,1.097,4.81,11.18,18,4.04,19.343,-38.906,1.86,0.078,0.145,0.922,0.056,0.483,0.024,0
16,2003,18.715,9,1.442,24.928,1.47,25.61,8.61,12.73,4.19,26.332,-36.858,1.717,0.076,0.131,0.915,0.055,0.413,0.027,0
16,2004,21.994,9.09,1.547,29.434,1.575,17.92,7.16,9.97,3.93,27.842,62.081,2.456,0.065,0.16,0.935,0.056,0.404,0.005,0.009
16,2005,18.895,9.84,1.51,32.392,1.562,17.18,7.23,10.18,3.72,28.082,-8.829,1.773,0.09,0.159,0.91,0.054,0.454,0.017,0
16,2006,16.369,7.72,1.371,32.709,1.431,21.95,8.45,14.16,3.12,29.957,-24.473,2.138,0.079,0.168,0.921,0.046,0.463,0.022,0
16,2007,17.848,9.92,1.536,39.382,1.612,15.67,9.21,17.42,3.14,30.369,19.775,2.128,0.093,0.197,0.907,0.051,0.45,0.011,0.052
16,2008,10.623,8.23,0.944,26.57,0.997,-2.99,9.48,15.63,2.71,23.869,14.168,2.647,0.086,0.226,0.914,0.04,0.715,0.034,0.194
16,2009,2.475,3.81,0.227,6.206,0.24,-51.9,9.21,9.9,3.25,5.548,2.68,2.408,0.097,0.235,0.903,0.041,3.094,0.029,0.52
16,2010,3.073,4.59,0.31,6.717,0.328,-110.43,8.57,6.59,3.16,5.725,116.293,2.195,0.104,0.228,0.896,0.054,-,0.02,0.017
16,2011,-0.974,-1.52,-0.1,-1.845,-0.105,-421.19,6.97,4.72,3.2,-2.132,77.7,2.227,0.101,0.224,0.899,0.047,0.07,0.009,0.012
16,2012,0.631,2.25,0.066,1.056,0.069,244.44,2.14,4.72,2.76,1.68,73.34,1.773,0.108,0.192,0.892,0.039,0.159,0.015,0.02
16,2013,1.793,3.15,0.193,2.801,0.201,18.44,6.75,4.69,2.49,5.154,-19.758,1.293,0.107,0.139,0.893,0.037,0.08,0,0
16,2014,4.868,6.49,0.53,7.455,0.551,214.13,7.58,4.24,2.56,13.286,107.27,1.271,0.111,0.141,0.889,0.04,0.044,0.006,0.006
16,2015,2.319,2.76,0.262,3.474,0.273,88.27,5.62,3.84,2.52,6.427,34.502,1.127,0.116,0.13,0.884,0.041,0.286,0.014,0.038
16,2016,6.368,8.49,0.749,9.22,0.777,56.98,4.77,3.91,2.47,19.177,34.228,1.034,0.119,0.124,0.881,0.039,0.153,0,0
16,2017,6.824,7.42,0.823,9.53,0.852,33.89,6.29,3.94,2.63,21.293,20.641,0.904,0.122,0.11,0.878,0.039,0.168,0,0
16,2018,6.837,5.51,0.816,9.286,0.842,13.76,8.42,4.93,2.78,20.926,11.322,0.974,0.117,0.114,0.883,0.039,0.25,0,0
16,2019,10.572,10.79,1.214,14.267,1.252,38.63,9.02,7.3,2.84,30.924,43.419,0.941,0.113,0.106,0.887,0.039,0.207,0,0
16,2020,10.348,8.02,1.146,13.987,1.18,18.18,9.51,8.68,2.74,30.062,67.705,1.001,0.109,0.109,0.891,0.038,0.24,0,0
16,2021,6.655,6.28,0.681,8.951,0.7,4.8,6.26,3.01,2.25,20.922,44.422,1.034,0.097,0.1,0.903,0.033,0.385,0,0
16,2022,11.778,8.07,1.068,15.791,1.093,21.75,6.63,1.62,1.98,35.885,-8.072,1.125,0.085,0.096,0.915,0.03,0.218,0,0
16,2023,10.134,9.38,0.885,13.587,0.905,5.57,8.74,6.63,2.24,28.992,-6.664,1.109,0.09,0.099,0.91,0.031,0.27,0,0
