enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
22,2001,0,N/A,-85.489,0,-85.489,-,-90.7,0,0,-90.7,0,-,37.038,-618.215,-582.723,-618.215,-,0,-0.792,0,1.792,5.434,0,0.147,-,0,0,0,0,0,-,0.63,0,0,0,0
22,2002,0,N/A,-85.707,0,-85.707,-,-88.45,0,-55.56,-88.45,0,-,73.015,-131.755,-127.668,-131.755,-,0,0.329,0,0.671,49.017,0,0.671,-,0,0,0,0,0,-,0.27,0,0,0,0
22,2003,0,N/A,-28.006,0,-28.006,-210.51,-51.74,0,-6237.7,-35.52,0,0,79.677,-20.592,-19.054,-9.71,6.258,-0.011,-1.408,0.015,2.398,117.107,0,1.47,-,68.58,21.34,0,47.24,5.32,-,0.2,0,0.04,0,0.388
22,2004,Negative Equity,Negative Equity,5.526,Negative Tangible Equity,5.526,73.94,26.2,0,40.13,6.97,0,0,82.012,3.872,3.66,15.525,19.646,-0.002,-0.528,0.001,1.52,123.836,0,1.51,0,68.64,27.9,0,40.74,5.32,-,0.18,0,0.03,0.784,0.134
22,2005,14.856,1.5,3.992,14.856,3.992,102.63,7.84,0,9.92,4.31,10.13,0,81.032,3.697,4.165,14.325,29.235,0.02,0.517,0.01,0.478,77.672,-0.53,0.959,0,78.03,24.88,0,53.15,4.68,-,0.19,0,0.024,0.661,0.077
22,2006,16.676,0.72,7.962,16.676,7.962,126.22,11.52,0,14.48,8.32,32.47,0,77.691,6.488,9.189,13.146,23.385,0.004,0.452,0.002,0.543,67.314,0.91,0.866,0,73.62,33.63,0,39.99,4.96,-,0.22,0,0.076,1.166,0.244
22,2007,0.201,0.01,0.088,0.209,0.089,-13.23,-1.46,0,-9.88,-0.19,33.45,0,76.083,-0.724,0.097,6.495,17.924,0,0.424,0,0.569,68.791,0,0.904,-,75.2,29.29,0,45.91,4.85,-,0.24,0,0.045,0,0.199
22,2008,5.003,0.36,2.093,5.379,2.156,56.78,5.24,22.14,3.99,1.48,26.41,-,77.081,2.713,2.452,11.583,21.467,0,0.415,0,0.577,65.789,0,0.853,0,85.01,17.39,0,67.62,4.29,-,0.23,0,0.058,2.144,0.213
22,2009,7.728,1.59,3.38,8.55,3.529,144.75,14.32,32.06,14.5,3.94,14.9,1.4,79.525,5.92,4.033,11.3,15.649,0.011,0.454,0.005,0.539,66.653,0.36,0.838,0,82.48,19.75,0,62.73,4.43,-,0.2,0,0.057,0.958,0.266
22,2010,9.41,1.21,4.097,10.414,4.277,173.18,12.75,28.24,7.24,5.62,13.83,0.85,80.244,8.829,6.183,15.132,16.959,0.444,0.424,0.188,0.57,53.18,1.42,0.663,0,82.12,22.05,0,60.07,4.44,-,0.2,0,0.038,0.429,0.183
