enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
24,1994,9.038,4.45,3.642,9.038,3.642,12.55,11.37,0,0,16.62,8.01,4.21,50.857,25.673,3.452,14.178,2.451,0.539,0.403,0.217,0.597,53.648,0,1.055,0.217,37.93,67.4,36.51,7.04,9.62,10,0.49,0.049,0.091,0.353,0.787
24,1995,11.842,5.95,4.897,11.842,4.897,14.3,12.82,0,-318.79,6.3,11.74,4.41,52.613,8.783,4.722,15.563,-1.42,0.558,0.424,0.237,0.576,54.565,4.52,1.037,0.712,38.77,67.83,37.71,8.65,9.42,9.68,0.47,0.049,0.095,1.081,1.176
24,1996,6.425,2.7,2.706,6.425,2.706,9.98,8.78,0,133.18,3.73,9.61,0,51.37,5.906,2.508,15.024,1.472,0.58,0.418,0.243,0.582,55.426,1.47,1.079,1.347,0,63.6,33.48,-30.12,0,10.9,0.49,0.045,0.095,1.611,0.866
24,1997,17.393,6.39,7.536,17.393,7.536,23.63,20.08,0,-253.94,9.37,10.08,0,47.996,11.628,5.939,16.677,5.406,0.428,0.448,0.192,0.552,60.901,1.35,1.269,0.521,0,54.34,24.22,-30.12,0,15.07,0.52,0.035,0.078,0.671,0.591
24,1998,19.677,6.81,9.26,19.677,9.26,26.33,21.35,73.18,130.86,11.52,7.41,0,51.793,13.859,7.762,19.342,1.631,0.347,0.493,0.171,0.507,61.789,1.73,1.193,0.461,0,56.29,25.35,-30.94,0,14.4,0.48,0.033,0.093,0.671,0.851
24,1999,7.761,2.44,3.719,7.761,3.719,9.65,7.73,-12.54,-56.67,5.15,7.07,0,54.066,7.327,4.382,14.92,-0.488,0.444,0.466,0.207,0.534,45.883,0.96,0.849,1.196,0,63.78,36.84,-26.94,0,9.91,0.46,0.046,0.127,1.733,1.04
24,2000,13.869,7.19,5.802,13.869,5.802,35.9,29.96,39.35,17.06,14.57,8.28,0,35.715,15.218,3.788,20.975,-0.145,0.645,0.395,0.255,0.595,54.703,0.11,1.532,1.033,39.2,29.75,15.44,24.89,9.31,23.64,0.64,0.027,0.092,0.605,1.016
24,2001,24.468,14.92,10.101,24.468,10.101,46.35,36.86,38.98,-571.2,18.17,8.25,0,33.614,18.359,6.486,22.826,4.901,0.477,0.43,0.205,0.56,52.345,2.27,1.557,0.367,30.59,33.17,13.52,10.94,11.93,26.99,0.66,0.025,0.064,0.349,0.566
24,2002,9.767,3.46,4.237,9.767,4.237,37.89,29.44,5.79,-212.04,12.11,7.85,0,34.832,16.334,3.095,22.978,1.642,0.513,0.438,0.225,0.559,47.692,1.44,1.369,0.632,32.71,36.88,14.77,10.6,11.16,24.72,0.65,0.026,0.091,0.56,0.848
24,2003,3.453,1.53,1.461,3.453,1.461,31.22,24.65,-14.32,-3403.98,5.5,6.09,0,33.591,14.309,1.149,19.555,2.381,0.515,0.409,0.21,0.588,42.729,4.33,1.272,0.859,32.72,41.51,15.93,7.14,11.16,22.92,0.66,0.029,0.077,0.539,0.764
24,2004,21.296,8.32,9.104,21.296,9.104,45.83,33.09,33.74,5336.86,17.67,6.52,0,33.722,16.759,5.962,21.151,5.516,0.347,0.446,0.155,0.551,51.498,7.72,1.527,0.44,28.75,38.89,12.29,2.15,12.69,29.71,0.66,0.022,0.046,0.277,0.457
