enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
25,1994,4.971,2.49,2.156,65.434,3.597,41.47,15.57,-31.55,21.23,7.32,9.08,0,29.435,8.715,1.659,12.548,8.95,0.367,0.417,0.153,0.583,38.251,-0.91,1.3,0.276,0,32.67,50.63,17.96,0,7.21,0.71,0.098,0.038,0.433,0.297
25,1995,19.457,9.05,8.14,274.622,13.316,57.35,21.21,0.97,13.38,9.48,11.7,0,30.961,11.322,6.34,14.782,6.976,0.389,0.42,0.163,0.58,39.753,2,1.284,0.091,0,34.26,51.28,17.02,0,7.12,0.69,0.097,0.042,0.374,0.377
25,1996,20.407,9.58,8.272,1868.966,13.808,63.82,19.81,44.9,6.83,9.06,7.73,0,34.013,12.127,7.291,16.061,7.735,0.484,0.395,0.191,0.605,38.59,6.51,1.135,0.045,0,34.77,64.05,29.28,0,5.7,0.66,0.116,0.04,0.328,0.34
25,1997,33.78,14.69,14.407,Negative Tangible Equity,25.316,87.46,22.54,43.17,22.46,10.93,8.8,0,40.565,11.974,10.487,15.664,-2.526,0.295,0.453,0.134,0.547,55.729,1.8,1.374,0.039,0,27.84,55.84,28,0,6.54,0.59,0.091,0.139,1.161,1.222
25,1998,19.448,8.92,9.552,133.145,16.452,88.31,22.07,26.85,7.49,10.95,10.92,0,40.239,12.191,7.201,15.944,3.78,0.175,0.522,0.091,0.478,53.376,-1.56,1.326,0.041,0,30.58,54.72,24.14,0,6.67,0.6,0.09,0.093,0.765,0.712
25,1999,15.134,4.3,7.65,101.963,13.432,84.1,20.53,17.86,5.55,10.14,10.3,0,41.758,12.609,6.308,16.366,-9.232,0.36,0.493,0.177,0.507,50.645,0.07,1.213,0.037,0,32.28,61.97,29.69,0,5.89,0.58,0.099,0.208,1.65,1.798
25,2000,16.826,6.23,8.886,101.069,15.873,90.66,20.46,12.78,-90.04,10.72,12.24,0,42.625,14.325,8.182,18.279,8.301,0.219,0.561,0.123,0.439,46.291,1.59,1.086,0.033,0,37.31,65.88,28.57,0,5.54,0.57,0.104,0.048,0.336,0.367
25,2001,17.76,5.29,9.16,131.022,16.531,102.66,20.64,6.27,6.23,11.1,11.02,0,42.664,14.616,8.582,18.579,11.217,0.409,0.482,0.197,0.518,45.538,1.18,1.067,0.032,0,40.05,66.17,26.12,0,5.52,0.57,0.104,0.023,0.16,0.173
25,2002,14.273,5.47,6.725,4145.175,12.679,85.83,16.78,8.41,-3.54,10.57,9.55,0,38.187,15.116,7.87,19.832,13.956,0.535,0.462,0.247,0.538,32.634,-2.73,0.855,0.035,56.48,38.84,67.82,85.46,6.46,5.38,0.62,0.115,0.021,0.141,0.132
25,2003,11.087,4.95,5.353,Negative Tangible Equity,10.466,78.16,16.22,5.31,11.3,12.68,8.06,0,39.02,15.181,6.344,18.011,14.09,0.435,0.499,0.217,0.501,32.924,-0.5,0.844,0.033,53.6,39.37,58.44,72.67,6.81,6.25,0.61,0.098,0.014,0.094,0.092
