enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
27,1994,21.073,5.82,9.036,21.073,9.036,27.91,19.09,24.83,15.37,12.36,13.24,0,35.544,17.936,11.043,33.931,17.714,0.533,0.429,0.229,0.571,29.084,17.86,0.818,0.438,0,140.93,35.96,-104.97,0,10.15,0.64,0.064,0.102,0.569,0.366
27,1995,22.699,5.11,10.061,22.699,10.061,32.76,20.69,34.63,52.88,13.93,12.54,0,35.544,18.328,11.357,33.578,21.513,0.449,0.455,0.204,0.545,31.488,1.18,0.886,0.293,0,123.91,34.77,-89.14,0,10.5,0.64,0.061,0.074,0.402,0.255
27,1996,10.679,4.11,4.739,51.019,7.301,40.41,16.08,13.84,1.5,8.22,11.95,0,37.718,16.138,6.479,36.069,15.369,0.767,0.439,0.337,0.561,27.592,-0.7,0.732,0.358,0,133.49,27.76,-105.73,0,13.15,0.62,0.047,0.093,0.577,0.377
27,1997,11.783,3.81,5.234,Negative Tangible Equity,9.559,46.46,13.54,33.36,66.97,6.93,9.25,0,33.302,17.554,8.748,31.669,13.336,0.64,0.449,0.288,0.551,19.925,1.51,0.598,0.585,0,127.14,21.96,-105.18,0,16.62,0.67,0.04,0.094,0.533,0.412
27,1998,10.089,3.79,4.632,75.618,7.693,33.83,11.85,5.36,0.1,6.47,8.52,0,34.092,17.04,8.052,33.378,11.264,0.603,0.469,0.282,0.531,19.613,-237.7,0.575,0.271,63.53,102.92,21.11,-18.28,5.75,17.29,0.66,0.038,0.11,0.645,0.494
27,1999,6.442,2.56,3.057,29.217,4.851,20.8,8.95,14.43,-24.75,4.55,9.32,0,30.053,13.331,5.547,29.456,13.377,0.557,0.48,0.268,0.52,16.561,1.5,0.551,0,59.43,82.61,18.87,-4.31,6.14,19.34,0.7,0.036,0.105,0.785,0.439
27,2000,4.082,1.24,2.074,13.873,3.234,17.54,6.96,3.21,-39.48,2.42,9.09,0,14.785,9.934,3.62,18.57,6.853,0.393,0.535,0.21,0.457,8.473,0.42,0.573,0.498,50.61,66.61,12.62,-3.38,7.21,28.92,0.85,0.029,0.079,0.797,0.536
27,2001,-0.676,-0.41,-0.356,-1.998,-0.546,21.43,7.61,-47.16,24.69,1.22,8.28,0,14.298,11.251,-0.628,18.219,4.978,0.431,0.518,0.223,0.474,8.102,-8.51,0.567,0.54,47.39,66.84,11.62,-7.83,7.7,31.42,0.86,0.027,0.071,0.634,0.589
27,2002,5.36,4.19,2.634,21.654,4.179,17.91,5.96,19.06,14.58,3.39,6.26,0,9.495,9.412,4.88,13.526,4.738,0.603,0.468,0.282,0.523,5.125,195.96,0.54,0.356,51.01,59.25,10.89,2.65,7.16,33.51,0.91,0.027,0.043,0.456,0.475
27,2003,5.365,3.21,2.533,33.233,4.194,20.77,6.49,-3.92,581.17,3.82,8.23,0,10.025,10.026,4.682,14.005,6.844,0.551,0.476,0.262,0.516,5.424,-0.12,0.541,0.356,53.8,59.33,10.49,4.96,6.78,34.78,0.9,0.026,0.039,0.387,0.362
27,2004,9.404,5.4,4.514,45.362,7.288,27.43,9.62,44.32,26.57,5.72,8.59,0,13.163,13.163,7.626,17.098,10.461,0.517,0.484,0.25,0.501,7.793,1.65,0.592,0.193,49.1,66.41,10.1,-7.21,7.43,36.14,0.87,0.024,0.046,0.353,0.307
27,2005,9.688,5.35,4.732,68.664,8.152,23.28,9.05,51.5,1.77,5.54,10.88,0,12.529,12.53,8.074,16.804,7.787,0.476,0.493,0.235,0.483,7.344,-3.88,0.586,0.201,51.42,72.9,9.32,-12.16,7.1,39.18,0.87,0.022,0.058,0.465,0.428
