enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
35,2005,26.87,N/A,15.155,27.78,15.44,38.92,32.46,0,0,23.59,0,11.52,55.403,16.556,11.465,22.041,10.766,0.119,0.564,0.067,0.432,73.233,0,1.322,0,15.73,158.06,76.11,-66.22,23.2,4.8,0.45,0.093,0.115,0.694,0.516
35,2006,29.359,N/A,16.451,30.315,16.748,40.61,34.03,0,25.65,25.11,0,0,56.191,16.223,11.915,21.665,9.451,0.098,0.557,0.055,0.439,77.586,0,1.381,0,15.9,165.25,76.95,-72.4,22.96,4.74,0.44,0.092,0.116,0.717,0.552
35,2007,32.549,N/A,18.9,33.624,19.258,46.17,38.83,0,58.24,29.73,8.37,7.95,56.208,16.547,12.22,21.835,6.523,0.056,0.601,0.034,0.396,86.939,0,1.547,0,14.9,153.95,74.37,-64.68,24.5,4.91,0.44,0.089,0.105,0.636,0.617
35,2008,34.567,N/A,20.548,35.751,20.961,45.59,41.01,0,31.75,32.41,10.75,1.6,56.692,17.512,13.252,22.756,9.321,0.099,0.59,0.058,0.407,87.906,0,1.551,0,15.17,151.98,77.44,-59.37,24.06,4.71,0.43,0.092,0.099,0.568,0.516
35,2009,26.888,N/A,16.095,27.784,16.411,38.7,30.48,0,0,26.24,10.06,2.65,56.83,15.456,12.123,21.013,8.121,0.052,0.607,0.032,0.389,75.448,0,1.328,0,19.31,173.43,88.34,-65.78,18.91,4.13,0.43,0.104,0.089,0.578,0.524
35,2010,27.224,5.32,16.999,28.057,17.32,54.68,32.17,0,-12.65,29.87,8.57,31.2,57.094,15.594,11.929,21.835,16.451,0.008,0.639,0.005,0.356,81.358,0.48,1.425,0.497,15.89,154.58,75.68,-63.01,22.97,4.82,0.43,0.089,0.045,0.288,0.214
35,2011,28.69,5.22,18.502,29.476,18.826,61.59,33.72,0,167.02,36.59,8.38,48.6,59.25,18.285,13.825,23.679,14.892,0.001,0.65,0.001,0.346,79.293,0.31,1.338,0.371,13.58,166.73,81.29,-71.86,26.88,4.49,0.41,0.091,0.055,0.302,0.27
35,2012,27.542,4.85,18.281,29.654,19.188,63.06,32.72,11.27,22.67,36.95,7.49,1.6,59.31,18.285,14.01,23.914,8.737,0.061,0.677,0.041,0.32,77.393,2.93,1.305,0.423,9.46,141.29,82.45,-49.38,38.56,4.43,0.41,0.092,0.087,0.477,0.5
35,2013,30.187,3.9,20.071,33.693,21.563,72.44,35.79,18.93,60.22,40.43,7.92,0.58,59.759,19.546,14.805,24.539,11.313,0.065,0.655,0.043,0.342,81.017,1.02,1.356,0.466,5.8,114.44,80.21,-28.43,62.9,4.55,0.4,0.088,0.082,0.422,0.422
35,2014,27.182,3.69,18.051,30.006,19.254,63.39,31.54,20.21,5.2,36.42,7.2,2.67,59.332,18.362,14.213,23.475,9.429,0.064,0.672,0.043,0.326,75.351,-0.72,1.27,0.567,6.53,122.29,86.41,-29.35,55.91,4.22,0.41,0.096,0.075,0.407,0.442
35,2015,23.505,3.11,15.87,25.775,16.873,53.01,26.99,17.59,5.87,29.79,5.14,1.67,58.338,17.653,13.803,22.648,8.011,0.065,0.678,0.044,0.319,67.076,1.23,1.15,0.479,7.26,127.3,92.52,-27.52,50.28,3.94,0.42,0.106,0.099,0.562,0.553
35,2016,25.475,3.09,17.007,27.726,17.981,56.32,29.27,6.97,57.25,31.58,6.16,1.79,57.842,17.595,13.754,22.484,14.266,0.065,0.657,0.043,0.34,71.522,1,1.237,0.565,6.79,117.05,86.66,-23.6,53.73,4.21,0.42,0.1,0.073,0.413,0.337
35,2017,25.92,3.35,16.911,28.01,17.777,57.36,29.65,5.39,32.97,32.76,4.93,1.03,56.965,17.245,13.543,21.805,11.578,0.071,0.648,0.046,0.35,71.132,1.01,1.249,0.594,6.79,118.75,87.13,-24.83,53.79,4.19,0.43,0.103,0.061,0.356,0.347
35,2018,27.394,4.05,18.036,29.447,18.904,62.31,31.81,10.27,65.05,35.6,5.6,1.17,56.284,17.035,13.293,21.014,8.64,0.069,0.667,0.046,0.332,76.365,0.85,1.357,0.629,6.04,108.83,80.88,-21.91,60.42,4.51,0.44,0.097,0.07,0.411,0.447
35,2019,23.692,4.55,15.909,25.44,16.678,53.84,27.44,11.86,4.96,30.71,6.15,1.45,56.669,16.665,13.173,21.201,9.21,0.073,0.676,0.049,0.323,68.44,1.18,1.208,0.675,6.43,121.87,89.96,-25.48,56.8,4.06,0.43,0.107,0.062,0.372,0.402
35,2020,24.273,3.83,14.357,25.698,14.844,42.11,25.56,13.67,4.29,24.6,7.8,3.79,55.878,16.864,12.866,27.092,20.322,0.479,0.525,0.252,0.473,62.355,0.61,1.116,0.753,6.25,114.59,74.03,-34.31,58.38,4.93,0.44,0.089,0.041,0.242,0.167
35,2021,7.869,1.5,4.23,8.223,4.331,11.76,7.78,-40.31,153.75,6.97,6.36,1.99,55.823,7.387,5.421,22.419,11.318,0.437,0.55,0.24,0.449,43.562,1.02,0.78,0.986,7.92,143.1,88.86,-46.32,46.07,4.11,0.44,0.108,0.035,0.47,0.235
