enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
36,1994,35.458,10.25,23.62,35.458,23.62,76.56,44.76,31.9,132.98,34.38,15.21,0,71.134,38.625,26.133,46.789,9.884,0.123,0.661,0.081,0.339,64.293,0.78,0.904,0.042,72.94,50.97,98.85,120.82,5,3.69,0.29,0.078,0.22,0.57,0.69
36,1995,27.292,9.58,18.188,27.292,18.188,59.72,34.38,21.68,-1.99,26.13,14.95,0,51.601,29.399,19.859,38.486,4.305,0.098,0.671,0.066,0.329,47.258,0,0.916,0.042,54.27,32.8,65.69,87.16,6.73,5.56,0.48,0.087,0.212,0.721,0.831
36,1996,33.316,8.68,22.771,33.316,22.771,63.84,42.57,26.84,35.7,29.56,13.16,0,51.79,32.416,22.01,40.927,2.876,0.061,0.694,0.043,0.306,53.582,0.96,1.035,0.035,57.38,33.62,74.14,97.9,6.36,4.92,0.48,0.098,0.219,0.676,0.884
36,1997,35.551,5.58,25.01,35.551,25.01,76.97,46.12,27.93,-2479.72,38.22,12.92,0,56.042,36.231,24.737,45.287,27.433,0.066,0.711,0.047,0.289,56.66,0.97,1.011,0.032,59.87,36.5,65.66,89.03,6.1,5.56,0.44,0.079,0.145,0.4,0.346
36,1998,38.405,6.48,26.399,38.405,26.399,94.64,47.38,22.37,66.14,46.11,14.04,0,60.331,39.438,27.702,48.181,21.967,0.04,0.668,0.027,0.332,57.493,1.01,0.953,0.029,52.13,43.6,54.87,63.4,7,6.65,0.4,0.06,0.18,0.455,0.45
36,1999,28.44,3.38,20.109,28.514,20.146,74.57,35.21,16.07,-16.63,32.52,12.58,0,53.991,32.52,23.096,43.417,22.419,0.037,0.743,0.027,0.257,47.008,0.72,0.871,0.038,48.38,40.02,49.51,57.87,7.54,7.37,0.46,0.062,0.135,0.416,0.377
36,2000,26.163,3.1,19.421,28.757,20.815,86.36,32.55,13.47,10.64,27.39,14.26,0,59.726,34.567,24.887,46.807,29.708,0.036,0.742,0.027,0.258,46.609,1.12,0.78,0.055,44.88,40.31,47.18,51.75,8.13,7.74,0.4,0.052,0.116,0.335,0.28
36,2001,30.162,5.58,22.954,35.723,26.038,78.6,27.63,15.74,133.89,25.33,13.38,0,62.492,31.145,31.237,45.481,18.244,0.029,0.778,0.023,0.222,45.92,12.78,0.735,0.046,42.36,54.2,53.65,41.81,8.62,6.8,0.38,0.055,0.198,0.635,0.52
36,2002,3.53,0.6,2.796,4.106,3.146,14.81,6.36,-17.94,1041.1,5.03,17.39,0,49.18,9.247,4.865,33.958,5.577,0.041,0.807,0.033,0.193,28.269,1.14,0.575,0.305,46.32,56.24,60.81,50.89,7.88,6,0.51,0.085,0.275,2.978,0.832
36,2003,8.744,3.03,7.035,9.952,7.797,24.36,11.67,-10.67,-144.68,11.67,17.63,0,49.761,16.448,11.646,36.415,16.537,0.038,0.802,0.031,0.198,30.057,1.86,0.604,0.172,35.33,44.95,61.47,51.85,10.33,5.94,0.5,0.085,0.176,1.068,0.515
