enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
37,1994,-150.043,-40.23,-110.741,-258.504,-160.419,-397.98,-145.7,0,0,-134.58,0,-,73.725,-91.242,-90.83,-71.407,-4.431,0,0.76,0,0.24,89.887,0,1.219,-,0,89.1,18.61,-70.49,0,19.62,0.26,0.013,0.092,0,1.925
37,1995,-19.443,-2.88,-14.44,-30.884,-19.921,-16.28,-5.71,0,181.32,-11.58,12.41,0,76.472,-3.462,-11.473,12.712,11.018,0.016,0.732,0.011,0.268,96.247,0.86,1.259,-,0,63.9,16.27,-47.63,0,22.43,0.24,0.01,0.083,0,0.43
37,1996,-7.133,-1.33,-5.161,-8.727,-5.947,-4.28,-1.99,0,170.46,14.89,17.36,0,79.707,-1.095,-3.843,11.604,-1.448,0.019,0.716,0.013,0.284,107.031,1.03,1.343,-,0,89.66,17.37,-72.29,0,21.02,0.2,0.01,0.129,0,1.127
37,1997,19.124,6.71,12.628,21.481,13.615,5.04,2.71,0,-20.78,-0.66,12.85,0,62.197,1.72,11.404,11.521,8.933,0.088,0.625,0.055,0.375,68.873,1.52,1.107,0,0,56.18,6.21,-49.97,0,58.81,0.38,0.006,0.046,2.68,0.34
37,1998,-1.623,-0.6,-1.128,-2.249,-1.399,4.84,2.2,0,1.86,1.12,14.03,0,84.073,2.919,-2.058,11.895,-53.248,0.033,0.726,0.024,0.274,46.09,-1.35,0.548,0,0,154.08,13.53,-140.55,0,26.97,0.16,0.006,0.648,22.191,5.621
37,1999,28.417,8.66,18.883,41.901,24.019,6.67,1.46,124.05,0.58,0.84,16.64,0,81.029,2.348,44.42,19.018,-55.569,0.043,0.627,0.027,0.373,34.446,314.39,0.425,0,0,125.3,9.76,-115.54,0,37.4,0.19,0.005,0.642,27.347,7.434
37,2000,16.828,5.02,11.388,22.536,13.744,101.7,7.92,43.6,-73.93,5.69,18.47,0,92.871,13.338,27.944,32.83,-8.126,0.002,0.719,0.001,0.28,37.848,-0.04,0.408,0,0,340.63,22.94,-317.69,0,15.91,0.07,0.004,0.087,0.651,15.657
37,2001,-3.912,-1.17,-2.884,-4.901,-3.388,92.7,9.65,-26.56,-281.27,14.03,19.11,0,75.264,16.243,-6.563,42.056,12.375,0.024,0.755,0.018,0.245,33.074,-3.15,0.439,0,7.75,83.13,0,-75.38,47.11,-,0.25,0,0.061,0.376,0.331
37,2002,6.404,1.53,4.841,8.227,5.815,90.34,9.63,17.23,-49.95,10.89,15.25,0,77.948,16.159,10.681,22.093,40.644,0.008,0.757,0.006,0.243,35.33,-74.55,0.453,0,10.96,84.55,0,-73.59,33.32,-,0.22,0,0.033,0.205,0.075
37,2003,16.411,3.75,11.998,23.58,15.427,194.31,17.63,-5.05,26.2,14.76,12.44,0,78.896,23.318,21.479,29.46,32.634,0.015,0.704,0.01,0.296,44.07,2.02,0.559,0,16.02,69.23,0,-53.21,22.79,-,0.21,0,0.026,0.111,0.073
