enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,5-year_rore_%,wacc_%,effective_interest_rate_on_debt_%,net_interest_margin_(bank_only)_%,net_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,asset_turnover,dividend_payout_ratio,capex-to-revenue,capex-to-operating-cash-flow
39,1994,15.265,14.27,1.108,15.265,1.108,-448.23,13.42,21.58,3.89,18.522,-97.991,1.8,0.074,0.134,0.926,0.06,0.243,0,0
39,1995,11.83,12.45,0.806,11.83,0.806,20.3,11.4,22.11,3.48,15.645,28.413,1.852,0.062,0.116,0.938,0.051,0.354,0,0
39,1996,26.158,18.96,1.67,26.158,1.67,30.28,24.7,62.68,5.35,19.779,-2.38,1.391,0.065,0.091,0.935,0.084,0.319,0,0
39,1997,14.958,7.12,0.948,14.958,0.948,5.97,20,53.05,3.72,15.502,-6.192,1.288,0.062,0.08,0.936,0.061,0.453,0,0
39,1998,17.353,7.54,1.057,17.353,1.057,11.51,18.96,50.57,2.71,22.061,1.833,1.23,0.059,0.073,0.939,0.048,0.31,0.307,0.944
39,1999,16.595,6.29,1.034,16.595,1.034,18.24,19.04,45.64,2.72,20.272,13.996,1.401,0.065,0.091,0.933,0.051,0.34,0.053,0.273
39,2000,31.613,11.17,1.943,31.613,1.943,34.65,24.95,62.27,3.26,24.252,0.162,1.431,0.058,0.083,0.94,0.08,0.409,0,0
39,2001,17.223,8.01,1.021,22.604,1.036,11.74,23.47,44.56,2.06,17.389,-41.526,2.052,0.06,0.123,0.935,0.059,0.482,0,0
39,2002,4.034,2.24,0.241,6.416,0.246,-19.6,15.61,26.56,1.84,5.831,-10.695,1.775,0.059,0.105,0.94,0.041,0.958,0,0
39,2003,3.988,3.44,0.229,6.03,0.234,-28.59,12.94,19.15,1.99,5.616,-84.872,1.672,0.056,0.093,0.944,0.041,0.876,0,0
39,2004,15.191,9.15,0.879,22.187,0.895,-36.1,12.64,14.94,1.89,20.204,43.905,1.69,0.06,0.101,0.924,0.043,0.417,0,0
39,2005,5.884,4.46,0.463,11.317,0.481,-54.16,13.57,13.57,2.08,10.54,-35.748,1.205,0.091,0.11,0.867,0.044,0.738,0,0
39,2006,7.97,6.18,0.72,17.527,0.757,80.1,12.71,18.79,2.26,15.637,-55.737,1.345,0.089,0.12,0.911,0.046,0.552,0,0
39,2007,12.954,9,1.133,27.569,1.188,62.55,12.16,23.18,2.38,23.297,-79.967,1.576,0.086,0.135,0.914,0.049,0.351,0,0
39,2008,12.857,10.8,1.055,25.829,1.1,11.84,11.94,19.56,2.43,21.528,-154.907,2.252,0.079,0.178,0.921,0.049,0.339,0,0
39,2009,3.864,4.39,0.3,6.709,0.31,-2.47,8.73,9.53,2.83,8.334,35.583,2.642,0.077,0.203,0.923,0.036,1.477,0,0
39,2010,7.06,6.79,0.558,11.685,0.576,-1.67,5.12,3.78,3.3,11.677,122.266,2.2,0.081,0.179,0.919,0.048,0.085,0,0
39,2011,10.174,10.28,0.837,16.83,0.865,-0.63,4.99,3.63,3.24,16.914,-3.654,1.933,0.083,0.161,0.917,0.049,0.038,0,0
39,2012,10.552,14.86,0.866,16.183,0.891,1.76,5.12,4.06,2.92,19.516,98.661,1.799,0.081,0.146,0.919,0.044,0.198,0,0
39,2013,10.981,12.77,0.92,15.708,0.944,29.14,5.78,3.34,2.66,21.935,25.846,1.622,0.087,0.14,0.913,0.042,0.231,0,0
39,2014,8.615,7.83,0.749,12.008,0.768,12.89,6.92,2.73,2.62,18.37,110.872,1.675,0.087,0.146,0.913,0.041,0.332,0,0
39,2015,9.819,8.93,0.872,13.287,0.893,7.42,6.01,2.17,2.76,22.863,38.474,1.609,0.09,0.145,0.91,0.038,0.299,0,0
39,2016,10.199,9.36,0.993,13.281,1.016,8.3,4.78,2.14,2.77,26.129,78.537,1.314,0.105,0.138,0.895,0.038,0.287,0,0
39,2017,9.858,7.3,1.022,12.601,1.045,5.22,5.7,3,2.87,25.612,22.662,1.297,0.102,0.132,0.898,0.04,0.304,0,0
39,2018,9.587,5.99,0.973,12.183,0.994,10.24,6.77,4.17,3.04,24.27,-10.751,1.314,0.101,0.133,0.899,0.04,0.336,0,0
39,2019,12.68,9.12,1.26,16.098,1.287,16.29,7.37,6.12,3.13,29.852,14.353,1.37,0.098,0.134,0.902,0.042,0.302,0,0
39,2020,14.07,7.69,1.372,17.765,1.401,17.96,7.8,7.84,3.05,31.482,3.536,1.272,0.097,0.124,0.903,0.044,0.317,0,0
39,2021,10.776,6.95,0.96,13.427,0.977,9.8,5.51,3.02,2.67,24.3,-66.657,1.17,0.083,0.097,0.917,0.039,0.405,0,0
39,2022,16.856,9.36,1.356,20.862,1.377,26.17,5.41,1.63,2.32,39.721,64.169,1.206,0.079,0.095,0.921,0.034,0.247,0,0
39,2023,12.849,8.62,1.017,16.07,1.033,8.06,8.53,7.52,2.83,29.288,83.27,1.163,0.08,0.093,0.92,0.035,0.331,0,0
