enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
41,1994,20.017,5.69,3.576,20.017,3.576,14.78,14.87,0,136.49,7.33,7.24,0,43.109,13.905,4.84,24.651,7.178,2.142,0.195,0.418,0.699,31.853,4.4,0.739,0.244,0,43.95,37.37,-6.58,0,9.77,0.57,0.058,0.098,0.708,0.578
41,1995,27.544,8.17,5.993,29.335,6.073,20.07,18.36,0,67.85,10.02,9.49,0,44.412,17.116,7.488,27.186,8.189,1.508,0.238,0.359,0.656,35.542,1.73,0.8,0.187,0,44.57,36.33,-8.24,0,10.05,0.56,0.055,0.12,0.703,0.595
41,1996,26.735,6.34,6.846,30.896,7.091,20.96,18.58,28.42,5.66,9.94,11.83,0,43.516,16.942,8.328,25.811,0.35,1.176,0.271,0.319,0.63,35.772,1.77,0.822,0.23,0,50.02,40.16,-9.86,0,9.09,0.56,0.062,0.191,1.126,0.982
41,1997,18.077,4.78,4.832,31.811,5.463,18.5,17.42,56.33,4.11,8.47,11.19,0,42.369,15.846,6.339,25.287,-6.451,1.633,0.265,0.433,0.669,32.3,-0.09,0.762,0.19,74.99,48.4,38.44,65.03,4.87,9.5,0.58,0.061,0.201,1.267,1.474
41,1998,19.304,5.78,5.278,44.751,6.249,16.74,14.66,23.87,-20.36,8.24,8.53,0,41.626,17.698,8.553,27.075,-3.168,1.504,0.281,0.423,0.652,25.684,1.78,0.617,0.192,72.65,52.23,42.32,62.74,5.02,8.62,0.58,0.068,0.19,1.076,1.199
41,1999,18.462,7.76,5.344,40.113,6.333,16.13,12.72,14.35,-0.9,8.61,7.52,0,41.92,17.443,8.794,27.105,3.373,1.36,0.297,0.404,0.643,25.475,-3.06,0.608,0.201,71.37,49.48,42.13,64.02,5.11,8.66,0.58,0.067,0.162,0.926,0.827
41,2000,18.064,5.18,5.45,24.629,5.926,14.41,11.78,9.31,-177.66,7.27,9.7,0,41.108,16.254,9.291,25.846,6.812,1.266,0.306,0.388,0.647,24.112,-0.16,0.587,0.242,69.51,49.37,42.02,62.16,5.25,8.69,0.59,0.068,0.141,0.866,0.674
41,2001,15.31,5.1,4.689,15.31,4.689,13.73,11.48,5.3,-3.41,7.33,9.38,0,39.024,14.019,7.198,23.359,3.867,1.321,0.306,0.405,0.676,25.42,3.76,0.651,0.252,62.39,45.7,36.03,52.72,5.85,10.13,0.61,0.06,0.14,0.996,0.783
41,2002,17.717,4.89,5.557,17.717,5.557,15.56,12.46,1.63,-25.51,8.38,8.99,0,40.675,15.51,8.337,25.184,8.24,1.207,0.321,0.387,0.661,27.111,1.07,0.667,0.243,61.32,49.02,34.83,47.13,5.95,10.48,0.59,0.057,0.115,0.744,0.583
41,2003,16.982,4.23,5.412,21.629,5.809,18.14,14.4,7.06,-39.59,10.21,7.76,0,42.473,17.999,7.976,27.418,9.809,1.174,0.316,0.371,0.662,28.817,1.76,0.678,0.248,61.11,48.93,34.89,47.07,5.97,10.46,0.58,0.055,0.097,0.54,0.498
