enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
42,1994,10.151,2.67,5.249,13.979,6.115,15.78,10.06,-24.91,-41.62,5.48,12,0,75.812,10.114,7.442,16.287,13.691,0.298,0.475,0.141,0.525,53.472,1,0.705,1.676,0,76.38,238.71,162.33,0,1.53,0.24,0.158,0.098,0.971,0.418
42,1995,25.918,7.24,10.659,60.178,13.918,41.69,23.11,7.96,12.12,10.4,12.35,0,78.158,31.426,22.517,38.993,16.734,0.906,0.369,0.334,0.631,36.999,1.03,0.473,0.577,0,176.69,303.1,126.41,0,1.2,0.22,0.181,0.101,0.321,0.376
42,1996,42.47,7.45,15.843,201.708,22.456,45.82,21.68,36.18,-19.69,9.92,9.27,0,80.307,29.3,33.87,37.486,18.825,0.829,0.377,0.312,0.623,37.564,7.8,0.468,0.592,0,259.8,247.79,-12.01,0,1.47,0.2,0.134,0.082,0.278,0.302
42,1997,26.421,3.97,10.609,89.636,14.801,47.46,20.93,25.93,-20.38,11.13,12.93,0,81.015,29.211,21.77,36.978,22.113,0.611,0.426,0.261,0.574,39.483,-10.52,0.487,0.575,90.6,253.75,236.4,73.25,4.03,1.54,0.19,0.123,0.063,0.217,0.223
42,1998,-7.168,-0.43,-2.865,-14.906,-3.615,57.53,26.4,-62.15,-21.37,13.96,12.26,0,82.02,30.527,-4.821,36.909,25.465,0.55,0.369,0.203,0.618,48.738,-6.6,0.594,0.547,79.38,230.61,226.45,75.22,4.6,1.61,0.18,0.112,0.046,0.15,0.153
42,1999,46.234,2.1,16.668,69.851,18.982,68.91,34.5,29.73,-27.35,21.09,9.21,0,83.493,30.579,22.712,35.888,23.925,0.534,0.352,0.188,0.648,61.273,-38.23,0.734,0.431,0,259.92,227.49,-32.43,0,1.6,0.17,0.103,0.045,0.149,0.16
42,2000,57.632,3.99,21.408,69.715,22.881,83.28,39.86,11.96,-30.94,26.57,9.58,0,83.422,33.627,27.202,38.023,20.908,0.609,0.391,0.238,0.609,65.652,1.65,0.787,0.408,67.24,179.55,209.04,96.73,5.43,1.75,0.17,0.095,0.053,0.157,0.202
42,2001,55.295,3.19,22.226,55.895,22.322,87.27,38.24,36.45,9.15,27.78,4.87,0,85.087,32.771,28.151,36.784,28.112,0.466,0.412,0.192,0.588,67.178,2.3,0.79,0.426,63.99,124.76,200.84,140.07,5.7,1.82,0.15,0.082,0.062,0.19,0.182
42,2002,42.278,3.4,17.864,42.279,17.864,85.65,35.59,62.39,4.69,23.49,4.2,0,81.285,32.314,24.085,36.255,24.064,0.481,0.432,0.208,0.568,60.288,-1.8,0.742,0.43,53.32,108.65,164.18,108.85,6.85,2.22,0.19,0.084,0.077,0.237,0.241
42,2003,35.219,4.09,15.266,35.219,15.266,67.74,26.4,8.94,-22.5,17.55,5.31,0,80.352,30.04,24.445,34.491,8.484,0.593,0.434,0.258,0.566,50.18,0.18,0.625,0.528,50.68,109.09,214.29,155.88,7.2,1.7,0.2,0.115,0.102,0.34,0.546
42,2004,28.393,3.51,12.574,28.393,12.574,59.19,23.26,-1.28,7.88,16.55,7.91,0,78.74,27.831,20.352,32.19,15.419,0.5,0.45,0.225,0.55,48.649,-0.99,0.618,0.536,51.28,105.93,235.94,181.29,7.12,1.55,0.21,0.137,0.136,0.487,0.468
42,2005,17.502,2.98,7.776,17.502,7.776,51.93,21.91,-19.79,-57.53,12.31,8.98,0,76.736,26.402,13.062,30.713,7.01,0.596,0.439,0.262,0.561,45.683,-6.69,0.595,0.698,51.67,86.3,240.85,206.22,7.06,1.52,0.23,0.154,0.137,0.519,0.661
42,2006,18.235,3.08,8.007,18.235,8.007,46.21,20.19,-17.14,-840.9,14.24,9.53,0,76.278,24.913,13.517,29.873,4.203,0.602,0.439,0.264,0.561,45.183,-34.92,0.592,0.637,54.48,75.11,219.03,198.4,6.7,1.67,0.24,0.142,0.089,0.356,0.678
42,2007,24.459,4.55,11.444,24.459,11.444,48.72,23.09,-1.36,47.29,17.84,6.33,0,77.398,26.292,16.97,31.401,18.47,0.338,0.5,0.169,0.5,52.194,2.65,0.674,0.526,53.64,80.83,213.47,186.28,6.8,1.71,0.23,0.132,0.069,0.261,0.271
42,2008,24.121,5.38,12.095,26.81,12.735,51.37,25.08,9.91,14.44,19.06,6.74,0,77.198,25.776,15.848,31.399,21.854,0.371,0.502,0.186,0.498,58.917,0.65,0.763,0.507,48.7,73.61,205.92,181.01,7.49,1.77,0.23,0.129,0.058,0.225,0.21
42,2009,-20.474,-2.98,-7.388,-29.909,-8.337,-11.59,-5.75,259.12,50.99,36.07,6.53,2.95,78.516,27.135,-10.17,0.213,30.564,1.553,0.231,0.358,0.769,57.037,1.39,0.726,0.871,48.85,75.48,209.2,182.57,7.47,1.74,0.21,0.123,0.052,0.193,0.147
42,2010,53.248,12.35,15.276,100.319,17.653,63.19,30.38,560.53,23.08,21.59,7.95,3.05,80.55,29.172,19.824,31.677,15.939,0.7,0.347,0.243,0.653,62.071,0.5,0.771,0.431,51.17,79.66,229.6,201.11,7.13,1.59,0.19,0.122,0.039,0.134,0.197
42,2011,46.204,14.22,17.343,75.521,20.301,76.25,29.96,78.89,7.16,25.31,7.19,2.73,81.079,29.347,21.969,34.837,24.571,0.558,0.401,0.223,0.6,64.006,0.82,0.789,0.413,54.07,85.28,224.36,193.15,6.75,1.63,0.19,0.116,0.051,0.175,0.173
42,2012,33.493,9.43,13.448,54.295,15.892,68.32,22.77,31.4,-3.89,22.33,5.29,2.67,79.133,26.014,17.902,28.448,22.818,0.516,0.402,0.208,0.598,59.444,0.85,0.751,0.438,53.29,79.13,173.48,147.64,6.85,2.1,0.21,0.099,0.07,0.268,0.234
42,2013,28.888,7.54,12.015,44.378,14.056,71.98,22.02,123.98,-88.99,14.94,3.68,2.84,78.78,22.188,18.088,31.182,18.849,0.375,0.429,0.161,0.571,52.328,-7.25,0.664,0.509,55.99,88.03,188.1,156.06,6.52,1.94,0.21,0.109,0.046,0.208,0.197
42,2014,28.922,8.95,13.453,40.191,15.471,76.89,23.12,3.23,50.93,16.55,4.35,2.98,78.765,24.004,20.269,32.428,20.083,0.296,0.5,0.148,0.5,52.277,2.15,0.664,0.44,53.46,85.8,207.21,174.87,6.83,1.76,0.21,0.121,0.047,0.197,0.191
42,2015,14.486,2.91,6.682,19.895,7.64,39.51,11.91,-26.78,-56.85,9.22,4.67,2.25,74.854,16.97,12.187,23.084,14.746,0.522,0.423,0.221,0.576,41.039,1.01,0.548,0.719,62.05,83.15,209.74,188.64,5.88,1.74,0.25,0.144,0.08,0.47,0.351
42,2016,16.086,2.52,6.702,29.683,8.282,36.85,10.95,-25.68,-13.11,10.93,3.28,2.02,74.762,17.998,12.067,21.94,6.706,0.548,0.41,0.224,0.59,41.52,-0.19,0.555,0.64,61.7,89.36,224.11,196.45,5.92,1.63,0.25,0.155,0.081,0.453,0.549
42,2017,19.158,3.31,7.362,49.001,9.611,43.65,12.91,-21.72,-1.45,11.38,3.24,2.03,73.094,18.242,12.9,23.823,17.713,0.736,0.361,0.266,0.637,41.713,0.67,0.571,0.669,64.86,85.89,223.97,202.94,5.63,1.63,0.27,0.165,0.051,0.282,0.225
42,2018,-1.595,-0.2,-0.487,-4.602,-0.609,29.62,8.68,-423.28,-117.01,-0.51,2.76,1.88,77.732,21.277,-1.022,20.512,17.283,1.177,0.258,0.303,0.741,37.061,3.73,0.477,1.964,78.36,113.25,329.09,294.2,4.66,1.11,0.22,0.201,0.108,0.509,0.385
42,2019,30.176,2.42,7.272,61.056,8.281,43.6,12.56,-205.14,70.56,16.45,5.82,2.03,78.218,28.036,15.037,25.736,11.661,1.048,0.224,0.235,0.752,37.826,-29.92,0.484,0.458,77.61,102.05,294.56,270.12,4.7,1.24,0.22,0.176,0.14,0.501,0.546
42,2020,133.784,2.77,19.998,Negative Tangible Equity,23.611,66.5,19.04,118.84,1302.07,17.74,3.42,3.13,78.847,26.88,37.27,30.911,15.606,5.876,0.066,0.39,0.931,42.306,4.06,0.537,0.487,74.74,100.98,243.1,216.86,4.88,1.5,0.21,0.141,0.061,0.226,0.28
42,2021,150.178,5.25,14.418,Negative Tangible Equity,19.234,90.3,24.62,46.5,21.15,18.89,2.76,2.25,77.655,28.938,25.239,36.322,18.217,2.942,0.121,0.356,0.875,44.359,-0.68,0.571,0.479,77.51,100.25,238.67,215.93,4.71,1.53,0.22,0.146,0.083,0.286,0.312
42,2022,76.353,2.6,11.697,Negative Tangible Equity,15.368,72.49,19.13,56.58,68.1,20.52,3.23,2.03,74.177,28.014,19.711,28.402,19.025,1.88,0.184,0.346,0.812,44.019,0.67,0.593,0.446,80.87,81.79,196.31,195.39,4.51,1.86,0.26,0.139,0.066,0.236,0.258
42,2023,63.628,1.95,12.706,Negative Tangible Equity,16.557,74.63,21.6,22.86,174.28,21.97,6.08,2,76.771,30.318,21.88,30.344,16.118,1.525,0.215,0.328,0.782,44.583,1.25,0.581,0.462,86.76,99.13,225.6,213.23,4.21,1.62,0.23,0.144,0.087,0.287,0.351
