enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
43,2000,9.401,N/A,2.774,9.401,2.774,-,2.09,0,0,2.09,0,0,0,1.675,2.219,1.675,-,0.32,0.295,0.095,0.705,125.018,0,1.25,0,0,0,0,0,0,-,0,0,0,0,0
43,2001,32.835,N/A,11.478,32.835,11.478,-,17.29,0,0,17.29,0,0,0,12.316,8.174,12.316,-,0.179,0.39,0.07,0.61,140.419,0,1.404,0,0,0,0,0,0,-,0,0,0,0,0
43,2002,26.577,N/A,10.628,29.057,11.004,52.59,23.97,0,0,13.3,0,11.06,0,13.759,8.816,19.391,5.519,0.148,0.408,0.06,0.592,120.547,0,1.205,0,40.89,0,0,40.89,8.93,-,0,0,0.067,0.485,0.547
43,2003,14.285,N/A,6.214,21.166,7.238,48.93,15.53,0,0,10.86,0,11.66,0,7.506,6.154,13.679,11.022,0.078,0.453,0.035,0.547,100.973,0,1.01,0,36.6,0,0,36.6,9.97,-,0,0,0.054,0.714,0.327
43,2004,-44.804,N/A,-14.948,-100.471,-18.338,-226.11,-36.05,0,-68.44,-27.49,0,40.65,0,-26.979,-17.294,-19.232,2.106,0.329,0.241,0.079,0.758,86.437,1.09,0.864,-,37.49,0,0,37.49,9.74,-,0,0,0.064,0,0.753
43,2005,28.448,N/A,7.722,77.858,9.329,138.43,18.86,0,689.51,14.36,0,0,0,13.368,9.18,18.123,10.243,0.235,0.299,0.07,0.7,84.123,1.06,0.841,0,38.9,0,0,38.9,9.38,-,0,0,0.03,0.225,0.227
43,2006,24.879,N/A,7.659,47.337,8.968,166.26,19.15,0,28.11,13.47,0,0,0,13.384,9.079,17.127,6.497,0.196,0.316,0.062,0.683,84.351,2.28,0.844,0,39.82,0,0,39.82,9.17,-,0,0,0.028,0.209,0.301
43,2007,2.841,0.51,1.143,3.899,1.283,94.96,8.48,-3.87,-361.82,1.91,10.53,0,0,6.9,1.509,9.9,16.707,0.097,0.465,0.045,0.534,75.739,2.17,0.757,0.041,43.84,0,0,43.84,8.33,-,0,0,0.028,0.412,0.145
43,2008,40.28,4.32,19.147,50.008,21.098,408.2,30.92,114.81,118.29,29.94,9.96,0,0,27.242,26.696,29.643,15.081,0.076,0.484,0.037,0.516,71.723,5.54,0.717,0.093,44.14,0,0,44.14,8.27,-,0,0,0.038,0.141,0.203
43,2009,-10.25,-1.07,-3.987,-13.718,-4.422,-93.67,-7.58,-41.88,42.45,42.78,14.33,51.98,0,39.032,-5.087,-3.358,4.867,0.088,0.298,0.026,0.702,78.386,1.16,0.784,0.06,61.62,0,0,61.62,5.92,-,0,0,0.034,0.087,0.412
43,2010,53.872,5.68,20.981,72.875,23.353,617.36,59.91,38.6,163.38,42.91,10.48,120.57,0,44.46,28.692,48.519,24.279,0.006,0.469,0.003,0.53,73.126,0.25,0.731,0.054,76.87,0,0,76.87,4.75,-,0,0,0.027,0.062,0.102
43,2011,42.393,7.52,22.641,54.47,25.682,632.66,56.2,47.14,-104.05,53.16,9.23,236.36,77.992,49.738,33.327,53.385,27.911,0,0.589,0,0.41,52.983,1.27,0.679,0.043,70.58,250.92,0,-180.34,5.17,-,0.22,0,0.027,0.055,0.089
43,2012,34.426,4.27,19.519,46.562,22.903,624.55,45.57,15.85,-346.01,68.44,4.95,-,78.359,51.683,28.388,44.191,37.34,0,0.549,0,0.45,53.876,-4.33,0.688,0.032,53.14,159.26,0,-106.12,6.87,-,0.22,0,0.026,0.051,0.066
43,2013,43.16,4.93,23.831,59.067,27.993,858.41,56.34,42.37,627.96,71.24,6.76,-,78.826,53.903,37.329,56.596,36.937,0,0.555,0,0.444,50.322,1.13,0.638,0.047,42.79,83.61,0,-40.82,8.53,-,0.21,0,0.029,0.055,0.074
43,2014,43.275,2.42,23.337,57.475,26.925,904.61,57.26,12.63,89.34,73.37,7,-,79.078,55.342,37.488,57.411,46.15,0,0.525,0,0.474,49.229,-0.29,0.623,0.08,41.52,72.94,0,-31.42,8.79,-,0.21,0,0.036,0.065,0.072
43,2015,50.68,3.46,24.463,70.617,28.323,898.69,59.21,17.93,34.59,69.85,9.56,3.21,78.138,53.766,38.312,57.706,32.55,0.22,0.443,0.097,0.555,49.893,3.53,0.639,0.144,40.11,66.93,0,-26.82,9.1,-,0.22,0,0.035,0.066,0.098
43,2016,59.416,3.3,24.117,96.552,28.579,778.14,52.59,17.34,29.23,62.11,9.77,2.56,78.225,52.312,39.392,55.705,38.885,0.542,0.371,0.201,0.627,47.893,-3.99,0.612,0.187,41.31,77.25,0,-35.94,8.84,-,0.22,0,0.035,0.068,0.083
43,2017,69.48,3.52,23.244,124.662,27.285,815.48,53.53,12.19,108.17,61.67,9.29,2.25,79.352,54.863,37.667,56.737,39.486,0.916,0.303,0.277,0.696,48.968,0.71,0.617,0.202,42.25,88.67,0,-46.42,8.64,-,0.21,0,0.035,0.065,0.082
43,2018,70.388,2.41,19.573,174.349,23.464,854.8,55.62,11.95,-8.64,49.16,9,2.9,78.499,53.957,31.328,56.918,41.938,0.992,0.256,0.254,0.739,49.045,-0.07,0.625,0.192,49.43,104.73,0,-55.3,7.38,-,0.22,0,0.034,0.063,0.075
43,2019,107.871,2.99,25.37,416.566,30.725,844.57,57.28,16.03,149.87,66.04,8.79,3.16,78.502,56.013,39.191,52.502,38.254,1.174,0.217,0.255,0.779,50.817,5,0.647,0.154,51.82,83.47,0,-31.65,7.04,-,0.21,0,0.034,0.06,0.081
43,2020,143.834,2.82,30.013,830.486,36.271,724.26,65.07,23.38,39.01,62.58,7.44,3.01,79.05,57.431,48.084,62.057,44.157,1.447,0.202,0.292,0.795,49.342,1.2,0.624,0.17,51.78,52.94,0,-1.16,7.05,-,0.21,0,0.043,0.075,0.089
43,2021,104.38,1.88,20.411,9640.602,25.305,436.46,41.67,12.4,-39.52,41.28,8.01,3.59,75.25,53.35,41.899,56.99,42.586,1.983,0.19,0.377,0.806,36.657,1.08,0.487,0.249,61.54,48.96,0,12.58,5.93,-,0.25,0,0.046,0.087,0.098
43,2022,126.79,2.63,24.384,Negative Tangible Equity,32.654,563.82,46.44,19.83,24.64,39.44,8.55,3.24,76.229,54.157,46.002,60.708,45.801,1.901,0.194,0.369,0.803,40.405,1.17,0.53,0.21,54.62,51.43,0,3.19,6.68,-,0.24,0,0.043,0.08,0.086
43,2023,145.922,2.76,25.997,Negative Tangible Equity,36.998,623.72,49.75,14.78,266.2,41.31,10.45,3.37,76.332,57.211,44.655,58.25,45.411,2.227,0.163,0.362,0.835,44.439,1.22,0.582,0.184,52.78,57.7,0,-4.92,6.92,-,0.24,0,0.049,0.086,0.098
