enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
49,1994,0,N/A,-,0,-,-,-,5.43,0,0,0,-,0,100,8.064,100,-,N/A,0,0,0,-,-6.46,0,2.146,0,0,0,0,0,-,0,0,0,0,0
49,1995,10.937,7.01,4.111,10.937,4.111,11.26,10.03,-41.49,0,6.12,6.53,0,68.368,21.18,9.565,34.529,11.494,0.841,0.376,0.316,0.624,29.383,-0.33,0.43,1.407,31.28,66.24,65.82,30.86,11.67,5.55,0.32,0.057,0.14,0.661,0.549
49,1996,11.673,5.99,4.411,11.673,4.411,11.94,10.68,-25.1,38.72,6.35,5.35,0,69.206,21.406,9.889,37.822,15.009,0.796,0.38,0.302,0.62,30.865,1.72,0.446,1.164,30.91,65.33,58.99,24.57,11.81,6.19,0.31,0.05,0.12,0.56,0.444
49,1997,11.992,6.55,4.692,11.992,4.692,12.18,10.69,-15.25,-4.28,6.73,5.57,0,64.701,19.397,9.591,35.299,18.519,0.67,0.403,0.27,0.597,31.655,-3.08,0.489,1.09,28.55,52.51,44.13,20.17,12.79,8.27,0.35,0.043,0.079,0.405,0.298
49,1998,12.366,5.57,5.011,12.366,5.011,13.11,11.22,-55,11.03,7.19,5.94,0,64.594,19.281,9.703,35.94,16.423,0.647,0.407,0.264,0.593,33.355,1.41,0.516,1.086,27.59,54.71,46.13,19.01,13.23,7.91,0.35,0.045,0.087,0.449,0.345
49,1999,12.741,5.87,5.425,12.741,5.425,13.98,11.73,1300,-22.35,7.69,3.44,0,66.311,18.796,9.969,38.072,16.904,0.526,0.445,0.234,0.555,36.09,4.02,0.544,0.535,29.04,57.42,47.5,19.12,12.57,7.68,0.34,0.044,0.093,0.493,0.354
49,2000,12.733,8.9,5.473,12.733,5.473,13.21,10.72,104.29,-0.33,6.77,4.34,0,63.265,18.282,10.826,34.436,10.904,0.704,0.416,0.293,0.584,31.983,1.41,0.506,0.554,29.51,57.49,48.23,20.25,12.37,7.57,0.37,0.049,0.134,0.732,0.551
49,2001,12.335,5.48,4.899,12.335,4.899,12.84,10.29,87.78,-3.56,6.15,3.4,0,59.503,17.509,9.941,32.081,-4.561,0.893,0.38,0.34,0.62,29.324,-9.6,0.493,0.573,28.84,61.79,45.37,12.42,12.66,8.04,0.4,0.05,0.183,1.048,1.331
49,2002,12.952,7.85,4.768,12.952,4.768,12.99,10.7,-1.71,3.26,5.83,3.05,0,54.253,17.16,9.505,29.123,9.59,1.096,0.357,0.392,0.643,27.214,-3.49,0.502,1.148,31.47,50.35,34.91,16.03,11.6,10.46,0.46,0.044,0.14,0.818,0.594
49,2003,7.358,4.28,2.327,7.358,2.327,8.01,7.11,-2412.5,-1.25,4.21,3.45,0,56.246,14.401,5.787,26.049,12.982,1.223,0.285,0.349,0.715,22.619,4.15,0.402,2.32,36.73,47.51,40.67,29.89,9.94,8.97,0.44,0.049,0.156,1.085,0.546
49,2004,13.1,7.57,3.552,13.1,3.552,7.99,7.14,383.33,10.08,4.4,3.19,0,52.866,15.898,9.242,27.508,8.962,1.436,0.259,0.372,0.741,20.315,10.13,0.384,1.099,38.91,40.21,36.43,35.13,9.38,10.02,0.47,0.047,0.144,0.909,0.617
49,2005,12.351,6.68,3.242,12.351,3.242,7.11,6.23,229.35,4.1,4.28,4.29,0,50.418,14.113,8.516,25.955,10.597,1.293,0.266,0.344,0.734,19.197,10.64,0.381,1.295,38.71,45.62,29.8,22.89,9.43,12.25,0.5,0.04,0.146,1.034,0.579
49,2006,11.237,5.82,2.938,11.237,2.938,6.82,5.98,-489.71,-0.17,3.91,4.26,0,47.906,12.578,7.606,25.207,-0.692,1.247,0.258,0.321,0.742,18.504,204.01,0.386,0.729,38.11,59.35,28.42,7.18,9.58,12.84,0.52,0.041,0.138,1.093,1.053
49,2007,13.902,6.26,3.722,13.902,3.722,8.81,7.59,184.34,13.77,4.98,4.85,0,43.074,13.348,8.154,22.393,4.278,1.242,0.277,0.344,0.723,19.664,1.02,0.457,0.532,35.85,47.04,27.59,16.4,10.18,13.23,0.57,0.043,0.116,0.871,0.731
49,2008,12.698,4.94,3.455,12.698,3.455,8.47,7.15,49.36,4.58,4.92,5.05,0,46.328,14.958,8.596,24.648,11.374,1.276,0.268,0.341,0.732,18.621,0.15,0.402,0.516,40.38,50.44,36.58,26.52,9.04,9.98,0.54,0.054,0.122,0.813,0.517
