enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
52,2011,0,N/A,-57.827,0,-57.827,-1660.72,-496.9,0,0,-74.6,0,-,62.635,-65.081,-68.557,-64.23,-21.039,0,-1.387,0,2.387,52.831,0,0.843,-,81.98,35.4,0,46.58,4.45,-,0.37,0,0.037,0,0
52,2012,Negative Equity,Negative Equity,12.279,Negative Tangible Equity,12.279,189.16,79.89,0,0,15.04,0,-,65.917,11.399,10.611,12.988,31.018,0,-0.537,0,1.537,76.278,0,1.157,0,67.43,21.2,0,46.23,5.41,-,0.34,0,0.094,0.827,0.233
52,2013,-40.371,-2.59,-12.728,-40.501,-12.741,-138.89,-25.05,0,-29.01,-23.6,7.78,-,57.323,-15.422,-15.325,-9.222,2.749,0,0.509,0,0.491,47.61,-0.97,0.831,-,76.87,20.53,0,56.34,4.75,-,0.43,0,0.173,0,0.863
52,2014,-23.118,-1.16,-8.953,-23.68,-9.036,-115.16,-12.27,0,-7.05,-15.08,8.63,0.8,63.438,-15.605,-17.357,-10.299,6.223,1.052,0.337,0.355,0.663,32.721,-0.3,0.516,-,80.15,19.99,0,60.16,4.55,-,0.37,0,0.13,0,0.677
52,2015,-43.597,-1.84,-13.835,-51.336,-14.53,-164.67,-16.84,0,-28.24,-18.97,6.6,6.41,63.553,-22.245,-26.281,-15.527,12.681,1.034,0.301,0.311,0.699,33.455,1.08,0.526,-,71.53,18.51,0,53.02,5.1,-,0.36,0,0.08,0,0.386
52,2016,-39.865,-1.62,-12.28,-50.408,-13.125,-131.42,-16.41,28.26,-3.93,-14.59,7.05,6.41,67.238,-16.546,-19.735,-10.266,22.728,0.837,0.314,0.263,0.686,41.838,0.31,0.622,-,65.8,30.58,0,35.22,5.55,-,0.33,0,0.089,0,0.281
52,2017,-86.865,-2.7,-21.571,-117.233,-23.054,-232.23,-37.19,31.1,20.01,-7.52,11.03,6.41,71.316,-8.064,-29.781,-21.269,2.5,1.312,0.19,0.25,0.81,51.655,0.9,0.724,-,69.02,34.51,0,34.51,5.29,-,0.29,0,0.089,0,0.781
52,2018,-20.047,-0.69,-4.185,-29.151,-4.477,-29.42,-5.08,3.2,4.12,-2.87,11.58,6.02,73.945,-3.357,-6.091,2.663,25.32,1.507,0.219,0.331,0.781,50.81,0.88,0.687,-,72.28,25.63,0,46.65,5.05,-,0.26,0,0.082,0,0.244
52,2019,-2.826,-0.1,-0.719,-3.748,-0.767,4.63,0.81,-17.29,18.3,-0.92,9.72,5.75,76.133,-1.626,-1.024,6.26,21.551,0.595,0.286,0.171,0.714,53.468,0.65,0.702,-,70.78,18.42,0,52.36,5.16,-,0.24,0,0.095,0,0.307
52,2020,38.714,1.54,12.665,46.633,13.41,16.42,3.89,-248.04,22.46,8.78,8.36,3.68,76.994,1.214,18.121,10.173,25.954,0.531,0.353,0.188,0.647,53.81,-3.34,0.699,0,74.38,19.19,0,55.19,4.91,-,0.23,0,0.098,8.048,0.273
52,2021,4.797,0.13,1.615,5.577,1.695,18.44,4.44,5600,-20.13,2.41,7.27,2.02,78.159,4.404,2.633,11.485,29.962,0.753,0.325,0.245,0.675,47.932,-0.97,0.613,0,74.48,16.08,0,58.4,4.9,-,0.22,0,0.096,2.171,0.242
52,2022,7.045,0.2,2.357,9.071,2.548,22.42,5.12,47.49,3.73,2.74,7.89,1.29,77.052,4.359,3.901,12.704,30.394,0.599,0.342,0.205,0.658,46.564,1.88,0.604,0,74.26,16.59,0,57.67,4.92,-,0.23,0,0.068,1.553,0.182
52,2023,7.448,0.48,2.697,9.838,2.958,27.55,6.48,27.8,2.8,2.67,9.17,1.21,78.288,4.9,4.486,11.857,29.993,0.444,0.378,0.168,0.622,47.076,0.75,0.601,0,78.47,42.12,0,36.35,4.65,-,0.22,0,0.076,1.549,0.202
