enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
53,1999,6.386,1.14,3.619,6.386,3.619,38.46,6.8,0,0,15.02,0,0,34.766,2.845,2.592,6.953,-6.195,0.131,0.567,0.074,0.433,48.544,0,1.396,0,0,126.26,101.15,-25.11,0,3.61,0.65,0.181,0.05,1.756,0
53,2000,43.397,7.01,25.96,43.397,25.96,311.91,60.99,0,73.58,77.17,12.54,0,37.875,15.652,10.937,18.233,1.143,0.026,0.616,0.016,0.384,89.902,0,2.374,0,0,78.92,51.95,-26.97,0,7.03,0.62,0.088,0.031,0.198,0.73
53,2001,37.041,6.41,16.154,38.777,16.475,350.26,30.75,0,21.99,47.52,10.64,0,37.113,17.427,13.392,19.581,31.496,0.739,0.4,0.296,0.6,44.765,0.96,1.206,0,52.12,54.16,50.53,48.49,7,7.22,0.63,0.087,0.049,0.284,0.136
53,2002,30.22,3.52,14.041,33.194,14.651,278.89,28.33,0,135.69,54.44,19,0,37.915,18.384,12.919,21.56,-0.02,0.406,0.508,0.206,0.492,41.208,0.84,1.087,0,33.63,61.46,65.31,37.48,10.85,5.59,0.62,0.111,0.118,0.64,1.002
53,2003,10.704,9.23,5.82,11.8,6.13,107.29,12.48,0,111.28,27.49,18.5,0,30.166,7.541,4.755,10.59,10.574,0.333,0.577,0.192,0.423,36.922,1.24,1.224,0,28.85,48.61,49.12,29.36,12.65,7.43,0.7,0.094,0.033,0.438,0.238
53,2004,7.502,3.25,4.934,8.464,5.333,42.21,8.13,6.49,-0.78,21.72,21.01,0,29.012,5.138,4.082,9.674,-4.275,0.005,0.751,0.003,0.249,35.067,0.21,1.209,0,35.15,46.04,53.49,42.6,10.38,6.82,0.71,0.104,0.07,1.362,2.569
53,2005,7.949,2.45,5.853,9.112,6.46,27.11,8.38,-1.59,-6.32,15.53,27.64,0,32.216,4.735,4.409,9.839,3.231,0.001,0.724,0.001,0.276,42.773,10,1.328,0,44.75,56.74,73.64,61.65,8.16,4.96,0.68,0.137,0.033,0.707,0.509
53,2006,22.524,4.37,16.81,25.331,18.326,91.84,24.72,14.96,1245.89,50.94,26.29,0,38.306,14.171,12.677,18.295,15.44,0,0.765,0,0.235,50.794,0.86,1.326,0,47.2,52,71.02,66.22,7.73,5.14,0.62,0.12,0.034,0.236,0.178
53,2007,25.626,4.65,19.388,29.97,21.776,103.58,25.53,33.18,35.94,55.32,33.27,-,42.377,14.776,14.626,18.281,14.398,0,0.75,0,0.25,56.176,1.06,1.326,0,49.77,46.59,62.91,66.09,7.33,5.8,0.58,0.099,0.047,0.32,0.247
53,2008,34.494,6.6,24.837,41.795,28.411,165.95,34.73,39.73,578.2,78.05,21.91,-,45.616,20.409,19.465,23.66,26.415,0,0.699,0,0.301,58.206,0.88,1.276,0,52.78,62.58,58.4,48.6,6.92,6.25,0.54,0.087,0.046,0.224,0.148
53,2009,-1.199,-0.67,-0.846,-1.489,-0.982,-6.91,-1.59,-8.88,-194.33,-2.61,13.95,1.58,34.287,-1.28,-0.877,4.16,-4.622,0.011,0.715,0.008,0.285,33.085,1,0.965,0,52.48,57.65,72.69,67.52,6.95,5.02,0.66,0.131,0.119,0,1.635
53,2010,-2.687,-0.83,-1.96,-3.355,-2.293,-11.86,-2.94,-28.17,24.81,-6.47,12.92,13.26,35.381,-2.975,-2.044,3.538,12.332,0.009,0.743,0.007,0.257,33.933,1.1,0.959,-,38.04,47.83,73.74,63.95,9.59,4.95,0.65,0.131,0.023,0,0.159
53,2011,8.66,1.95,6.265,10.777,7.303,48.09,8.63,-14.21,70.46,13.78,12.84,13.07,39.768,5.609,7.144,13.019,16.31,0.007,0.708,0.005,0.292,34.873,0.94,0.877,0,37.28,53.93,57.82,41.17,9.79,6.31,0.6,0.095,0.028,0.493,0.145
53,2012,15.861,7.28,11.566,20.384,13.799,118.07,16.3,-14.15,91.83,32.52,11.01,13.78,51.44,16.216,14.535,21.779,19.271,0.005,0.747,0.004,0.253,40.933,0.88,0.796,0,31.27,58.4,64.47,37.34,11.67,5.66,0.49,0.086,0.035,0.214,0.153
53,2013,12.538,7.99,9.403,15.952,11.201,110.21,13.23,48.41,-26.56,27.74,11.87,16.29,52.015,15.145,13.143,20.83,14.973,0.004,0.753,0.003,0.247,37.214,31.47,0.715,0.084,33.7,61.45,66.89,39.14,10.83,5.46,0.48,0.088,0.043,0.283,0.222
