enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
54,1994,12.165,5.85,7.605,12.356,7.679,21,12.89,13.83,14.05,13.24,0,0,51.256,14.789,10.881,20.867,-3.706,0.36,0.621,0.224,0.379,35.825,0.17,0.699,0.143,0,93.6,110.61,17.01,0,3.3,0.49,0.148,0.183,1.234,1.255
54,1995,11.87,7.11,7.376,12.052,7.446,19.39,11.93,10.91,-1.96,10.83,0,0,71.642,13.612,10.589,21.417,6.847,0.347,0.621,0.216,0.378,49.905,-6.52,0.697,0.13,0,89.56,208.05,118.49,0,1.75,0.28,0.162,0.129,0.944,0.652
54,1996,11.876,5.97,7.952,12.025,8.019,19.4,12.01,10.16,-5.59,10.22,0,0,72.074,13.656,11.389,21.961,6.781,0.142,0.715,0.102,0.284,50.327,-2.31,0.698,0.133,0,174.16,215.27,41.11,0,1.7,0.28,0.165,0.117,0.854,0.632
54,1997,11.494,4.42,8.242,11.637,8.316,16.86,11.43,10.88,2.54,7.85,0,0,72.038,13.285,12.094,20.448,-0.843,0.143,0.719,0.103,0.281,49.094,1.83,0.681,0,0,161.21,215.92,54.71,0,1.69,0.28,0.165,0.137,1.034,1.065
54,1998,12.201,3.01,8.688,12.374,8.775,15.67,11.62,10.43,6.37,6.88,0,0,72.199,13.743,13.066,20.468,2.483,0.171,0.705,0.121,0.292,48.006,1.85,0.665,0.185,0,56.91,215.57,158.66,0,1.69,0.28,0.164,0.154,1.118,0.861
54,1999,13.808,4.05,9.387,13.999,9.475,7.98,7,13.21,4.94,3.77,0,0,76.435,10.499,17.686,17.732,4.993,0.153,0.657,0.101,0.34,40.571,4,0.531,1.097,152.61,74.66,407.93,485.88,2.39,0.89,0.24,0.263,0.129,1.231,0.721
54,2000,13.423,3.02,8.827,13.562,8.887,13.99,13.65,7.06,-17.29,6.85,0,0,77.923,17.761,14.703,23.516,8.948,0.132,0.658,0.087,0.342,46.779,0.04,0.6,0.263,134.27,85.4,450.69,499.56,2.72,0.81,0.22,0.273,0.083,0.466,0.48
54,2001,18.773,2.87,12.19,18.854,12.224,23.89,22.4,14.87,759.22,11.74,0,0,78.96,20.385,14.836,25.357,13.911,0.112,0.64,0.072,0.36,64.877,0.19,0.822,0.224,95.56,78.68,334.08,350.96,3.82,1.09,0.21,0.193,0.114,0.558,0.45
54,2002,21.445,3.71,14.381,21.474,14.394,33.22,27.22,11.43,-277.43,15.16,10.89,0,74.85,23.6,16.238,28.144,1.585,0.084,0.697,0.059,0.303,66.288,-0.01,0.886,0.211,66.26,59.76,267.35,273.85,5.51,1.37,0.25,0.184,0.166,0.703,0.913
54,2003,20.243,6.37,14.454,20.372,14.519,32.49,26.3,9.87,-32.48,15.8,10.49,0,73.663,23.748,16.263,29.038,3.686,0.061,0.728,0.044,0.272,65.468,-0.02,0.889,0.25,52.11,47.08,276.86,281.89,7,1.32,0.26,0.2,0.157,0.661,0.81
54,2004,21.988,6.64,16.075,22.198,16.187,30.44,26.1,20.07,53.59,16.25,10.42,0,71.962,24.039,18.307,30.149,13.775,0.068,0.733,0.05,0.267,63.187,1.15,0.878,0.247,47.84,42.27,280.3,285.87,7.63,1.3,0.28,0.215,0.094,0.393,0.407
54,2005,20.254,5.42,14.574,20.467,14.684,30.5,25.17,15.53,-53.85,15.86,9.77,0,72.273,24.047,17.271,30.561,15.337,0.064,0.708,0.045,0.292,60.988,0.5,0.844,0.222,47.36,44.95,297.47,299.88,7.71,1.23,0.28,0.226,0.108,0.45,0.413
54,2006,20.251,4.88,13.842,20.551,13.982,31.38,24.57,19.13,35.42,15.93,9.19,0,72.812,23.953,17.371,29.675,14.248,0.098,0.659,0.064,0.341,58.019,1.34,0.797,0.295,50.98,54.02,317.48,314.44,7.16,1.15,0.27,0.236,0.116,0.482,0.448
