enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
63,1994,6.093,1.25,4.575,6.093,4.575,15.38,8.26,-157.14,12.18,9.28,13.32,0,49.227,8.432,5.597,15.354,-15.538,0.105,0.733,0.077,0.267,40.241,0.37,0.817,0,0,116.99,39.31,-77.68,0,9.29,0.51,0.055,0.253,3,2.592
63,1995,5.688,1.56,4.651,5.689,4.651,11.27,3.65,150,-5.09,5.19,12.88,0,52.845,5.303,7.812,13.295,-15.986,0.043,0.85,0.037,0.15,31.465,-7.16,0.595,0,0,154.97,59.67,-95.3,0,6.12,0.47,0.077,0.257,4.854,2.639
63,1996,2.554,0.78,1.976,2.554,1.976,-1.55,-0.87,44.3,-4.26,-0.98,15.94,0,41.135,-0.909,2.58,6.07,-35.103,0.111,0.713,0.079,0.287,31.496,0.31,0.766,0,97.49,124.03,82.09,55.55,3.74,4.45,0.59,0.132,0.266,0,0
63,1997,9.837,2.38,5.314,9.837,5.314,13.33,7.59,37.64,27.38,8.21,12.78,0,27.589,4.649,4.385,9.114,-9.146,0.118,0.45,0.053,0.26,33.431,-0.21,1.212,0,57.7,76.82,47.69,28.57,6.33,7.65,0.72,0.095,0.078,1.674,0
63,1998,10.95,3.09,4.482,11.067,4.502,24.82,14.31,29.18,16.83,12.22,13.75,0,34.183,7.249,3.241,11.488,-10.344,0.165,0.373,0.062,0.355,47.276,0.1,1.383,0,60.71,88.58,50.66,22.79,6.01,7.21,0.66,0.091,0.096,1.325,0
63,1999,10.493,0.99,5.658,10.55,5.675,33.74,15.17,27.49,18.2,13.45,15.66,0,34.811,10.291,5.103,14.314,0.051,0.04,0.633,0.026,0.21,38.6,1.05,1.109,0,73.16,97.1,45.82,21.88,4.99,7.97,0.65,0.082,0.046,0.445,0.989
63,2000,15.98,1.65,12.648,17.716,13.711,80.4,16.92,52.93,8.81,13.71,20.11,0,52.855,24.483,20.965,32.111,20.3,0,0.91,0,0.082,31.887,1.87,0.603,0,86.6,99.06,41.57,29.11,4.21,8.78,0.47,0.054,0.051,0.208,0.201
63,2001,-10.626,-1.41,-9.354,-12.301,-10.629,0.95,0.13,-290.14,47.87,0.23,18.52,-,61.374,0.259,-20.477,12.193,21.543,0,0.849,0,0.15,28.036,1.91,0.457,0,76.58,38.66,31.95,69.87,4.77,11.42,0.39,0.034,0.043,16.478,0.165
63,2002,7.056,1.77,5.912,7.763,6.4,116.62,15.3,34.78,310.08,20.9,14.55,0,67.273,28.817,12.35,40.789,28.679,0.017,0.828,0.014,0.165,32.201,-0.01,0.479,0,66.02,60.34,35.17,40.85,5.53,10.38,0.33,0.032,0.044,0.151,0.132
63,2003,12.732,2.91,10.788,13.447,11.297,152.13,22.72,54.07,58.07,27.32,11.22,0,67.039,40.889,21.497,44.684,39.849,0.03,0.861,0.026,0.139,33.642,1.51,0.502,0.131,48.44,58.15,28.5,18.79,7.54,12.81,0.33,0.026,0.053,0.128,0.116
63,2004,19.927,3.02,17.514,20.772,18.163,183.14,23.73,43.96,113.9,36.85,13.52,0,69.59,43.627,35.246,46.967,43.771,0,0.893,0,0.107,34.579,2.88,0.497,0.191,39.83,59.15,32.47,13.15,9.16,11.24,0.3,0.027,0.068,0.156,0.135
63,2005,20.623,3.12,18.396,21.585,19.158,214.86,22.37,95.45,23.18,36.02,14.66,-,71.003,42.059,37.775,45.584,37.194,0,0.891,0,0.109,34.577,1.85,0.487,0.273,36.19,73.44,36.72,-0.53,10.09,9.94,0.29,0.029,0.102,0.241,0.214
63,2006,20.143,4.5,17.842,21.739,19.084,200.97,21.35,35.58,7.9,28.61,21.56,-,71.007,35.743,32.82,39.357,34.122,0,0.882,0,0.118,38.603,1.12,0.544,0.3,30.17,66.58,35.71,-0.7,12.1,10.22,0.29,0.028,0.091,0.255,0.211
63,2007,22.592,5.17,19.601,24.755,21.208,176.33,19.21,31.1,24.39,25.67,15.75,-,69.778,32.499,37.234,36.817,33.739,0,0.856,0,0.144,36.733,4.94,0.526,0.282,29.11,71.82,48.94,6.23,12.54,7.46,0.3,0.041,0.092,0.284,0.215
63,2008,18.71,4.71,14.678,22.707,17.03,107.73,19.98,15.89,7.23,21.33,10.26,12.72,69.359,33.477,28.361,38.629,19.395,0.01,0.731,0.007,0.269,35.896,-0.08,0.518,0.288,77.85,64.41,52.92,66.36,4.69,6.9,0.31,0.044,0.125,0.375,0.393
63,2009,8.322,2.25,6.122,10.948,7.434,62.4,10.3,-6.26,76.95,11.28,7.93,7.51,70.877,24.473,15.327,29.373,61.721,0,0.74,0,0.26,28.311,1.34,0.399,0.489,82.18,72.76,58.76,68.18,4.44,6.21,0.29,0.047,0.073,0.299,0.106
63,2010,15.772,4.52,11.193,20.226,13.267,190.59,18.24,10.08,20.73,15.77,8.46,3.96,69.942,33.937,29.567,47.368,23.548,0.052,0.682,0.036,0.318,26.478,1.21,0.379,0.363,22.2,77.4,54.24,-0.96,16.44,6.73,0.3,0.045,0.136,0.4,0.366
