enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
68,1999,0.637,0.06,0.318,0.669,0.326,5.11,3.93,0,0,0.64,0,0,18.164,3.313,0.374,13.37,1.996,0.251,0.499,0.125,0.476,15.461,0,0.851,53.567,54.1,75.57,28.45,6.98,6.75,12.83,0.82,0.064,0.137,4.143,0.873
68,2000,15.448,1.22,7.666,16.214,7.85,25.95,19.12,0,0,9.62,0,0,22.329,14.456,8.147,20.644,3.464,0.23,0.493,0.114,0.482,21.011,0,0.941,2.168,56.27,75.78,30.58,11.07,6.49,11.94,0.78,0.065,0.07,0.486,0.67
68,2001,21.903,1.85,10.761,22.613,10.93,47.16,30.58,0,0,14.43,0,0,20.663,16.427,8.528,21.714,8.146,0.124,0.49,0.061,0.487,26.075,0,1.262,1.275,55.33,68.97,24.09,10.45,6.6,15.15,0.79,0.052,0.042,0.253,0.338
68,2002,18.147,1.88,9.274,18.446,9.351,40.54,25.34,0,0,12.68,6.48,0,20.244,14.793,8.026,19.317,5.404,0.098,0.535,0.052,0.434,23.391,0,1.155,1.527,59.49,77,24.07,6.56,6.14,15.16,0.8,0.053,0.071,0.481,0.568
68,2003,15.723,6.81,7.337,16.474,7.497,28.18,20.79,0,0,9.08,7.69,0,17.169,11,5.836,16.175,2.51,0.308,0.417,0.128,0.559,21.588,0,1.257,3.074,50.64,60.95,23.38,13.07,7.21,15.61,0.83,0.053,0.073,0.66,0.743
68,2004,18.038,7.42,7.624,19.377,7.853,23.35,18.14,0,0,7.8,8.17,0,16.745,9.756,6.207,15.66,4.773,0.278,0.428,0.119,0.552,20.566,0,1.228,1.082,53.11,59.26,26.55,20.4,6.87,13.75,0.83,0.061,0.062,0.633,0.564
68,2005,23.387,10.44,10.387,24.839,10.663,37.04,26.17,0,0,11.99,9.29,4.35,16.19,10.762,6.96,16.99,2.978,0.17,0.459,0.078,0.512,24.161,0,1.492,0.38,36.03,36.88,22.94,22.09,10.13,15.91,0.84,0.053,0.051,0.473,0.631
68,2006,28.604,30.76,12.439,30.115,12.716,41.03,27.96,0,205.54,15.61,6,0,17.641,12.174,8.252,16.08,4.632,0.142,0.414,0.059,0.554,26.592,9.19,1.507,0.395,53.56,63.36,25.39,15.59,6.82,14.37,0.82,0.057,0.052,0.426,0.528
68,2007,25.875,28.13,11.188,27.139,11.418,37.5,25.71,0,-0.9,13.12,7.28,0,17.028,11.817,7.979,15.774,2.752,0.149,0.449,0.067,0.511,23.876,-2.78,1.402,0.31,55.72,65.9,29.66,19.48,6.55,12.31,0.83,0.067,0.072,0.608,0.723
68,2008,27.282,29.02,12.415,28.546,12.67,37.73,24.43,-20.64,5.16,12.16,8.11,0,16.126,11.454,8.806,15.159,2.778,0.146,0.46,0.067,0.533,22.733,2.53,1.41,0.284,37.59,38.44,33.46,32.61,9.71,10.91,0.84,0.077,0.069,0.603,0.713
68,2009,20.917,37.35,9.523,21.82,9.706,45.91,29.55,17.33,387.37,12.16,9.22,5.71,17.315,10.062,5.641,14.095,1.901,0.183,0.451,0.082,0.544,29.23,-1.25,1.688,0.366,48.72,57.54,24.09,15.27,7.49,15.15,0.83,0.055,0.075,0.748,0.798
