enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
69,1994,1.317,0.32,0.408,14.504,0.568,92.92,15.9,23.89,6.78,1.94,8.42,0,54.953,13.332,0.519,19.69,18.939,1.128,0.267,0.301,0.733,43.149,-20.65,0.785,0.864,0,60.56,74.49,13.93,0,4.9,0.45,0.092,0.023,0.17,0.107
69,1995,23.397,6.43,6.667,Negative Tangible Equity,9.91,108.73,18.71,115.25,-173.93,7.8,9.18,0,53.41,13.608,7.356,21.939,12.199,0.835,0.304,0.254,0.696,48.405,57.3,0.906,0.604,0,52.99,60.8,7.81,0,6,0.47,0.078,0.028,0.205,0.186
69,1996,23.314,5.54,7.43,2687.574,10.862,118.11,19.85,122.52,29.11,8.3,8.82,0,54.339,13.719,7.737,21.603,12.755,0.607,0.333,0.203,0.667,52.185,1.4,0.96,0.593,0,53.31,61.45,8.14,0,5.94,0.46,0.077,0.02,0.146,0.136
69,1997,41.374,12.28,14.695,753.916,22.12,130.64,18.88,122.11,3.15,8.2,9.98,0,53.004,13.757,16.122,21.518,12.909,0.427,0.374,0.16,0.626,48.312,23.44,0.911,0.577,0,57.71,64.56,6.85,0,5.65,0.47,0.083,0.021,0.15,0.138
69,1998,20.795,4.07,7.905,320.861,12.264,165.78,19.67,46.23,180.08,8.77,11.46,0,53.612,13.723,8.226,22.028,7.091,0.477,0.386,0.184,0.614,51.519,-2.77,0.961,0.537,0,58.73,62.75,4.02,0,5.82,0.46,0.08,0.035,0.253,0.328
69,1999,22.14,3.42,8.815,157.917,13.403,171.71,21.88,14.08,95.77,9.7,9.59,0,55.392,14.696,8.875,22.728,14.806,0.34,0.41,0.139,0.59,55.013,1.01,0.993,0.509,0,66.39,63.18,-3.21,0,5.78,0.45,0.077,0.055,0.372,0.27
69,2000,26.245,3.68,10.806,116.491,15.868,135.44,26.71,19.03,27.69,11.45,11.99,0,56.457,16.928,10.662,24.654,12.193,0.317,0.414,0.131,0.586,57.22,1.23,1.014,0.442,96.25,69.17,60.9,87.98,3.79,5.99,0.44,0.073,0.055,0.328,0.313
69,2001,23.391,3.62,8.953,160.875,13.305,125.1,28.71,-3.3,8.23,12.07,8.86,0,57.293,19.159,9.432,27.622,14.554,0.594,0.357,0.212,0.643,54.382,0.4,0.949,0.426,91.56,65.23,68.3,94.63,3.99,5.34,0.43,0.08,0.023,0.119,0.136
69,2002,20.86,3.24,7.471,761.41,11.466,108.4,20.86,8.7,2670.99,8.92,8.56,0,55.094,15,8.426,24.4,21.961,0.57,0.359,0.205,0.641,48.852,0.97,0.887,0.516,87.01,59.29,71.9,99.62,4.19,5.08,0.45,0.088,0.026,0.174,0.106
69,2003,28.697,5.32,11.316,291.581,17.559,185.4,28.12,20.45,-84.51,13.02,5.82,0,57.198,19.541,12.251,28.224,22.779,0.267,0.43,0.115,0.57,52.833,1.38,0.924,0.347,78.7,58.23,69.14,89.61,4.64,5.28,0.43,0.081,0.015,0.076,0.061
69,2004,29.12,5.59,13.228,110.595,19.881,253.09,34.32,18.04,-155.87,15.88,7.18,0,58.726,23.258,14.062,31.502,25.916,0.01,0.477,0.005,0.523,55.244,0.88,0.941,0.347,72.71,55.11,59.85,77.45,5.02,6.1,0.41,0.068,0.024,0.101,0.083
69,2005,27.278,4.69,13.49,78.962,19.946,239.64,32.34,17.48,33.05,17.18,6.94,0,61.02,22.373,14.395,29.852,17.607,0.002,0.511,0.001,0.489,57.181,2.88,0.937,0.306,68.09,55.68,56.09,68.5,5.36,6.51,0.39,0.06,0.026,0.118,0.131
69,2006,27.693,4.48,13.799,94.22,21.29,262.58,33.85,22.39,15.86,17.64,9.63,0,61.418,22.739,14.063,29.156,23.98,0.001,0.487,0.001,0.513,60.264,0.78,0.981,0.299,64.34,51.57,52.24,65.01,5.67,6.99,0.39,0.055,0.02,0.088,0.077
69,2007,30.46,3.39,14.185,158.125,22.733,265.39,36.62,13.76,29.81,17.29,10.81,0,61.835,22.677,14.104,28.911,17.313,0.001,0.443,0,0.557,62.191,2.37,1.006,0.303,68.61,54.18,50.26,64.69,5.32,7.26,0.38,0.053,0.068,0.301,0.283
69,2008,47.293,5.38,16.347,Negative Tangible Equity,28.288,276.5,45.72,14.73,41.09,19.23,10.79,0,62.677,24.558,14.966,30.481,21.716,0.745,0.253,0.188,0.747,68.461,1.32,1.092,0.282,65.39,54.91,48.58,59.06,5.58,7.51,0.37,0.05,0.036,0.148,0.143
69,2009,55.348,9.73,12.856,Negative Tangible Equity,22.104,211.39,37.37,6.49,116.18,15.39,7.65,6.14,60.457,21.319,12.58,28.381,12.326,0.989,0.211,0.208,0.789,61.782,0.84,1.022,0.351,64.62,52.69,52.31,64.24,5.65,6.98,0.4,0.057,0.061,0.284,0.33
69,2010,46.683,8.16,11.637,Negative Tangible Equity,18.19,209.14,33.16,1.24,16.45,15.17,9.86,6.24,59.911,21.099,12.274,28.836,17.821,0.648,0.285,0.185,0.702,56.801,1,0.948,0.386,62.26,48.9,51.32,64.68,5.86,7.11,0.4,0.056,0.045,0.214,0.202
69,2011,40.812,8.05,12.247,Negative Tangible Equity,18.944,181.82,24.46,2.9,-50.73,12.41,9.91,6.93,66.859,28.195,22.754,31.162,16.983,0.542,0.314,0.17,0.675,35.986,-0.83,0.538,0.505,98.31,105.67,87.21,79.85,3.71,4.19,0.33,0.079,0.024,0.084,0.122
69,2012,49.001,5.95,13.332,Negative Tangible Equity,19.009,153.77,28.28,0.45,16.22,12.38,7.44,6.43,64.922,27.238,23.04,30.425,21.042,0.794,0.228,0.181,0.761,37.566,3.46,0.579,0.5,78.12,81.51,72.4,69.01,4.67,5.04,0.35,0.07,0.023,0.085,0.1
69,2013,38.418,1.93,6.393,Negative Tangible Equity,9.083,191.8,35.26,-13.74,9.17,12.64,7.3,6.6,66.44,27.401,10.234,30.703,14.848,1.638,0.109,0.178,0.766,41.501,-5.05,0.625,0.445,70.78,60.11,0,10.67,5.16,-,0.34,0,0.022,0.082,0.132
69,2014,133.075,8.17,20.987,Negative Tangible Equity,33.759,440.19,38.39,27.28,-15.24,15.64,8.11,5.74,66.738,28.881,29.264,31.795,14.143,0.614,0.215,0.132,0.645,47.861,12.47,0.717,0.4,73.86,53.56,0,20.3,4.94,-,0.33,0,0.025,0.086,0.15
69,2015,-12.856,-0.26,-1.792,0,-2.875,49.67,3.45,-49.61,274.18,-8.51,11.1,7.4,67.313,2.415,-2.277,4.89,22.114,1.629,0.072,0.117,0.801,52.984,1.19,0.787,-,67.96,44.33,0,23.63,5.37,-,0.33,0,0.018,0.754,0.076
69,2016,339.003,2.51,15.459,Negative Tangible Equity,28.333,805.46,47.17,16.02,58.42,21.67,10.29,4.63,67.664,35.874,21.758,39.036,4.084,18.613,0.024,0.441,0.858,48.074,-0.63,0.71,0.316,66.05,42.17,0,23.88,5.53,-,0.32,0,0.026,0.073,0.39
69,2017,499.052,11.68,24.994,Negative Tangible Equity,52.703,1245.47,59.45,53.71,-155.81,21.32,9.58,5.05,68.68,39.569,37.202,62.71,25.526,5.483,0.075,0.411,0.795,46.143,1.17,0.672,0.286,68.12,40.04,0,28.08,5.36,-,0.31,0,0.02,0.051,0.074
69,2018,220.162,3.63,16.536,Negative Tangible Equity,32.304,956.04,42.55,5.69,24.87,22.61,10.3,4.18,72.06,42.603,24.674,46.017,31.222,5.034,0.075,0.379,0.775,48.292,1.21,0.67,0.284,73.48,40.72,0,32.76,4.97,-,0.28,0,0.02,0.048,0.061
69,2019,292.895,4.35,20.757,Negative Tangible Equity,41.527,1033.03,43.23,46.59,186.03,27.36,8.68,3.71,70.63,44.583,31.288,48.274,31.176,5.831,0.067,0.388,0.756,46.857,4.32,0.663,0.258,80.72,40.31,0,40.41,4.52,-,0.29,0,0.018,0.041,0.055
69,2020,383.559,2.76,20.424,Negative Tangible Equity,39.568,485.15,40.77,17.12,23,28.26,6.59,3.38,70.503,47.425,31.691,48.888,39.722,9.77,0.042,0.412,0.753,45.437,1.22,0.644,0.262,82.44,37.04,0,45.4,4.43,-,0.29,0,0.017,0.036,0.041
