enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
71,1994,2.688,1.52,1.352,2.688,1.352,4.06,2.04,-29.13,-29.73,0.9,0,0,17.846,1.455,1.344,6.368,3.116,0.57,0.5,0.285,0.497,17.949,-0.99,1.006,1.879,0,35.01,18.31,-16.7,0,19.94,0.82,0.041,0.035,2.422,0.531
71,1995,2.869,2.19,1.407,2.869,1.407,7.84,3.86,0,3.55,1.55,0,0,19.388,3.149,1.625,7.216,1.744,0.599,0.483,0.289,0.511,16.793,-0.54,0.866,1.044,0,42.22,22.77,-19.45,0,16.03,0.81,0.05,0.035,1.105,0.666
71,1996,4.57,2.77,2.176,4.57,2.176,8.86,4.26,-18.94,6.47,2.13,0,0,21.023,3.247,2.397,8.375,4.063,0.615,0.469,0.288,0.525,19.081,2.57,0.908,0.551,0,39.59,23.32,-16.27,0,15.65,0.79,0.05,0.044,1.354,0.52
71,1997,6.478,3.13,2.968,6.479,2.968,15.4,7.81,36.7,69.26,3.21,0,0,23.907,5.43,3.152,10.407,7.027,0.631,0.447,0.282,0.547,22.508,-0.47,0.941,0.251,0,39.43,23.07,-16.36,0,15.82,0.76,0.048,0.054,0.999,0.436
71,1998,6.987,3.53,3.103,6.987,3.103,18.46,8.88,30.86,17.27,3.38,0,0,26.993,7.094,3.739,13.591,-3.927,0.674,0.442,0.297,0.552,22.401,0.22,0.83,0.219,0,45.89,28.18,-17.71,0,12.95,0.73,0.056,0.127,1.785,1.45
71,1999,7.064,3.6,3.039,7.064,3.039,16.06,7.38,0,25.28,2.96,0,0,27.84,5.882,3.541,12.656,-0.301,0.718,0.42,0.302,0.568,23.896,0.01,0.858,0.186,0,44.06,28.68,-15.38,0,12.73,0.72,0.057,0.136,2.307,1.023
71,2000,7.438,2.4,3.126,7.438,3.126,15.24,6.65,21.74,1069,2.78,6.33,0,27.409,5.5,3.794,11.974,-2.186,0.736,0.42,0.309,0.568,22.583,-0.02,0.824,0.212,0,47.94,29.4,-18.54,0,12.42,0.73,0.058,0.108,1.971,1.253
71,2001,9.251,4.21,3.869,9.251,3.869,16.6,6.67,15.45,-223.15,3.09,5.43,0,18.963,6.019,5.137,11.993,1.726,0.744,0.416,0.309,0.573,14.279,1.28,0.753,0.178,35.34,46.29,29.75,18.8,10.33,12.27,0.81,0.066,0.091,1.519,0.841
71,2002,7.394,3.85,2.926,7.394,2.926,21.84,8.66,4.17,2.9,4.07,5.11,0,20.837,7.639,3.888,13.295,-0.112,0.923,0.376,0.347,0.609,15.685,4.65,0.753,0.139,36.42,45.74,31.02,21.7,10.02,11.77,0.79,0.067,0.108,1.416,1.01
71,2003,10.877,8.24,3.96,10.877,3.96,25.68,10.29,13.18,3878.93,4.97,1.81,0,20.407,8.203,4.844,13.819,3.064,1.019,0.353,0.36,0.631,16.684,-0.14,0.818,0.14,33.16,41.99,28.27,19.44,11.01,12.91,0.8,0.062,0.104,1.266,0.772
71,2004,15.857,9.5,5.757,15.857,5.757,33.05,12.65,26.41,-137.03,6.3,3.15,0,19.799,9.638,6.719,15.247,4.594,0.925,0.371,0.343,0.609,16.963,-1.13,0.857,0.122,30.33,40.82,26.53,16.04,12.03,13.76,0.8,0.058,0.086,0.893,0.652
71,2005,13.862,9.83,5.149,13.862,5.149,30.58,11.16,19.41,-16.4,5.62,3.27,0,19.844,9.014,6.314,14.392,2.413,0.945,0.372,0.351,0.608,16.181,0.58,0.815,0.144,30.37,42.93,28.81,16.25,12.02,12.67,0.8,0.063,0.104,1.15,0.811
71,2006,13.321,6.8,4.923,13.321,4.923,27.83,10.27,22.58,4.67,4.99,4.16,0,19.451,8.929,6.523,14.687,-1.216,0.985,0.368,0.362,0.612,14.681,1.58,0.755,0.245,32.75,44.68,33.08,21.15,11.15,11.03,0.81,0.073,0.132,1.475,1.102
71,2007,14.654,7.22,5.354,14.654,5.354,29.54,11.31,19.96,2.55,5.24,5.4,0,19.708,9.348,6.865,15.122,1.68,1.025,0.363,0.372,0.617,15.369,1.14,0.78,0.226,30.57,40.87,32.57,22.27,11.94,11.21,0.8,0.072,0.118,1.267,0.876
71,2008,15.588,11.55,5.684,15.589,5.684,33.7,12.93,10.26,-2.1,5.46,4.15,0.41,18.14,8.636,6.535,15.118,0.893,1.029,0.366,0.376,0.614,15.778,0.52,0.87,0.265,26.24,34.88,28.63,19.99,13.91,12.75,0.82,0.064,0.104,1.21,0.921
71,2009,-4.048,-4.17,-1.442,-4.048,-1.442,-6.85,-2.67,-49.97,73.86,-1.98,2.43,0.38,10.101,-2.246,-2.128,4.782,-4.131,1.254,0.346,0.434,0.635,6.846,1.04,0.678,-,30,34.1,31.96,27.86,12.17,11.42,0.9,0.079,0.113,0,1.574
71,2010,2.128,1.93,0.731,2.128,0.731,4.79,1.77,-40.36,-47.56,0.43,2.85,0.28,11.963,0.778,1.105,9.179,5.915,1.208,0.341,0.412,0.64,7.915,0.91,0.662,1.123,30.6,34.58,30.36,26.38,11.93,12.02,0.88,0.073,0.076,9.745,0.562
71,2011,4.153,4.19,1.429,4.153,1.429,7.63,3.23,-55.2,18.5,0.91,2.86,0.25,12.522,2.465,2.149,9.309,1.752,1.2,0.347,0.416,0.634,8.326,1.15,0.665,0.441,69.98,35.85,28.39,62.52,5.22,12.86,0.87,0.068,0.089,3.612,0.836
71,2012,2.702,2.53,0.933,2.702,0.933,4.81,2.39,-154.63,-40.58,0.56,4.19,0.19,11.812,1.914,1.526,8.199,-0.429,1.138,0.344,0.392,0.639,7.224,1.33,0.612,0.579,115.46,41.88,32.73,106.31,3.16,11.15,0.88,0.079,0.082,4.308,1.055
71,2013,7.928,6.24,2.722,7.928,2.722,13.21,6.45,336.77,15.84,2.74,4.43,0.16,15.515,5.987,4.361,11.474,2.163,1.163,0.342,0.398,0.64,9.683,1.11,0.624,0.284,116.76,45.93,35.05,105.88,3.13,10.41,0.84,0.081,0.089,1.495,0.805
71,2014,13.217,10.41,4.572,13.217,4.572,20.93,9.63,59.89,15.35,4.75,3.97,0.12,19.036,8.922,7.096,14.446,3.765,1.128,0.349,0.394,0.633,12.265,1.23,0.644,0.281,108.83,39.44,32.88,102.27,3.35,11.1,0.81,0.073,0.104,1.169,0.735
71,2015,12.856,8.14,4.505,12.856,4.505,20.79,9.29,36.74,6.39,4.73,4.01,0.12,19.802,10.1,7.98,15.88,1.205,1.13,0.352,0.398,0.63,11.179,1.06,0.565,0.284,116.57,41.9,36.49,111.16,3.13,10,0.8,0.08,0.123,1.221,0.911
