enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
79,1994,29.258,6.24,8.119,29.258,8.119,28.7,24.93,5.96,19.48,16.13,9.47,14.01,0,8.395,4.651,10.681,0.793,0.607,0.275,0.167,0.704,174.544,3.19,1.745,0.16,37.69,0,0,37.69,9.68,0,0,0.118,0.049,0.588,0.862
79,1995,31.483,7.81,8.77,31.483,8.77,29.52,26.16,10.21,22.59,15.13,13.34,11.49,0,8.67,5.255,11.694,0.779,0.636,0.282,0.179,0.697,166.879,1.11,1.669,0.17,40.51,0,0,40.51,9.01,0,0,0.124,0.048,0.555,0.861
79,1996,26.981,5.88,7.641,26.981,7.641,26.52,23.11,2.17,10.51,14.37,13.9,11.5,0,8.707,4.674,11.128,1.447,0.613,0.285,0.175,0.691,163.475,1.75,1.635,0.214,39.82,0,0,39.82,9.17,0,0,0.131,0.039,0.442,0.727
79,1997,32.458,6.47,9.149,32.458,9.149,33.13,28.33,7.74,46.44,15.02,13.28,12.27,0,8.123,4.803,11.619,2.932,0.664,0.279,0.185,0.697,190.491,0.88,1.905,0.215,32.77,0,0,32.77,11.14,0,0,0.114,0.035,0.429,0.543
79,1998,54.148,12.31,17.972,54.149,17.972,30.83,19.38,25.72,8.87,17.09,9.39,11.85,7.995,7.995,11.547,7.995,4.829,0.36,0.377,0.136,0.607,12.443,-4.92,1.556,0.114,36.76,57.01,46.88,26.63,9.93,7.79,0.92,0.118,0.029,0.367,0.378
79,1999,37.009,3.78,9.796,37.682,9.843,50.74,27.27,5.39,-4.7,16.38,9.35,8.52,10.905,10.905,7.281,10.905,4.811,0.97,0.156,0.151,0.831,14.674,-1.38,1.346,0.214,0,60.06,47.77,-12.29,0,7.64,0.89,0.117,0.035,0.317,0.418
79,2000,46.728,11.21,9.857,50.5,10.015,56.82,35.3,6,-1.36,16.94,10.39,9.91,0,11.203,6.761,14.433,-10.306,0.628,0.274,0.172,0.701,145.797,-0.68,1.458,0.27,35.43,0,0,35.43,10.3,0,0,0.116,0.032,0.286,0
79,2001,13.192,1.45,2.483,Negative Tangible Equity,3.575,32.96,14.28,-14.14,-5.05,4.97,9.93,5.73,7.877,7.877,2.299,11.045,6.622,2.041,0.142,0.289,0.848,8.507,1.74,1.08,0.513,36,66.97,46.09,15.12,10.14,7.92,0.92,0.116,0.022,0.28,0.25
79,2002,23.824,2.37,3.31,Negative Tangible Equity,6.2,55.01,17.79,-34.87,-27.49,6.31,8.49,11.72,11.236,11.236,3.521,15.544,4.078,1.568,0.136,0.213,0.852,10.563,1.17,0.94,0.452,0,93.4,42.56,-50.84,0,8.58,0.89,0.104,0.026,0.232,0.389
79,2003,35.035,2.77,4.686,Negative Tangible Equity,8.75,92.15,29.01,-34.66,-40.06,9.59,6.83,0,54.618,15.018,4.41,20.368,7.186,3.484,0.132,0.458,0.854,58.032,-0.84,1.063,0.575,31.09,123.62,76.37,-16.16,11.74,4.78,0.45,0.095,0.027,0.179,0.272
79,2004,51.161,5,7.362,Negative Tangible Equity,13.649,103.2,32.91,9.19,-11.43,11.54,6.52,0,53.257,15.738,6.469,20.511,7.475,2.686,0.156,0.419,0.832,60.61,185.31,1.138,0.307,29.61,67.44,72.37,34.54,12.33,5.04,0.47,0.093,0.024,0.154,0.245
79,2005,43.448,5.47,7.695,Negative Tangible Equity,14.353,67.91,19.94,42.97,24.21,9.28,5.7,5.37,49.037,10.711,7.412,16.762,12.053,1.659,0.197,0.327,0.793,50.904,0.08,1.038,0.248,36.06,105.05,73.01,4.02,10.12,5,0.51,0.102,0.029,0.268,0.192
79,2006,45.473,6.13,9.285,Negative Tangible Equity,17.173,77.27,20.94,33.62,47.46,10.37,7.79,5.3,49.119,13.213,9.807,16.872,8.716,1.483,0.212,0.314,0.778,46.504,1.44,0.947,0.159,44.34,156.1,77.98,-33.78,8.23,4.68,0.51,0.109,0.026,0.198,0.231
79,2007,50.646,9.34,13.082,Negative Tangible Equity,24.257,89.56,24.18,42.19,-17.95,12.8,9.32,5.91,49.314,13.642,11.97,16.152,8.539,0.787,0.303,0.238,0.685,53.897,5.67,1.093,0.373,0,138.3,67.98,-70.32,0,5.37,0.51,0.094,0.028,0.208,0.25
79,2008,34.44,5.73,10.961,Negative Tangible Equity,20.158,95.73,25.61,14.85,1.6,12.54,7.65,6.23,48.844,13.052,9.675,16.615,6.704,0.779,0.332,0.259,0.656,55.335,-1.84,1.133,0.582,26.93,95.9,65.15,-3.82,13.55,5.6,0.51,0.091,0.029,0.225,0.305
79,2009,43.168,8.92,13.173,Negative Tangible Equity,23.834,119.99,31.87,23.56,32.85,15.45,6.66,4.69,47.334,17.686,12.405,21.316,6.372,1.126,0.275,0.31,0.713,50.264,0.99,1.062,0.412,31.6,100.89,69.12,-0.17,11.55,5.28,0.53,0.1,0.032,0.18,0.333
79,2010,31.662,6.16,9.558,Negative Tangible Equity,17.481,88.64,23.38,3.19,-141.17,11.9,7.39,4.58,48.321,12.194,8.462,16.131,11.061,0,0.326,0,0.661,54.574,1.11,1.129,0.592,26.85,99.63,63.7,-9.08,13.6,5.73,0.52,0.09,0.034,0.282,0.237
79,2011,30.553,6.64,10.356,Negative Tangible Equity,18.885,87.12,23.79,-4.11,569.91,13.55,7.3,5.24,41.507,14.367,9.588,17.18,8.303,0.631,0.352,0.222,0.634,44.829,1.11,1.08,0.591,20.99,73.44,58.16,5.71,17.39,6.28,0.58,0.093,0.041,0.285,0.331
79,2012,29.472,5.86,9.566,Negative Tangible Equity,17.477,81.3,23.65,4.24,10.34,12.4,5.76,6.26,39.893,13.997,9.151,16.797,7.216,0.545,0.301,0.164,0.686,41.702,0.6,1.045,0.609,21.41,83.83,58.36,-4.06,17.05,6.25,0.6,0.096,0.045,0.323,0.385
79,2013,29.392,5.36,9.311,Negative Tangible Equity,17.424,77.33,23.5,-12.88,2.53,12.12,4.25,5.83,40.178,13.312,8.511,16.078,8.682,0.651,0.333,0.217,0.655,43.956,1.49,1.094,0.638,20.26,82.44,53.79,-8.39,18.02,6.79,0.6,0.088,0.046,0.348,0.348
79,2014,33.29,5.57,10.789,Negative Tangible Equity,20.153,82.72,26.58,14.75,36.91,13.68,4.99,4.82,41.633,14.828,9.724,17.587,8.286,0.757,0.315,0.239,0.674,46.193,1.24,1.11,0.628,20.26,86.53,51.4,-14.87,18.02,7.1,0.58,0.082,0.044,0.294,0.344
79,2015,34.955,5.09,10.49,Negative Tangible Equity,19.443,77.96,27.26,11.81,-7.91,12.58,6.11,4.02,41.393,16.281,10.676,19.737,6.795,0.871,0.284,0.247,0.703,40.671,2.08,0.983,0.625,22.59,99.05,54.92,-21.54,16.16,6.65,0.59,0.088,0.046,0.286,0.406
