enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
81,1994,11.13,6.29,3.643,16.414,4.072,9.91,8.76,-4.35,-0.95,6.69,8.76,8.74,77.224,29.157,8.83,26.658,1.266,0.856,0.326,0.279,0.674,31.857,0.85,0.413,0.393,0,133.5,66.22,-67.28,0,5.51,0.23,0.041,0.15,0.514,0.922
81,1995,10.903,8.86,3.696,12.903,3.901,11.79,9.78,-8.48,-45.09,8.74,8.82,8.01,77.726,31.5,8.41,27.511,3.127,0.873,0.353,0.308,0.647,34.159,0.35,0.439,0.318,22.26,76.86,64.24,9.64,16.39,5.68,0.22,0.039,0.135,0.428,0.812
81,1996,16.459,11.51,5.567,16.459,5.567,11.63,9.19,70.91,-2.63,7.95,7.6,8.3,72.535,26.209,12.637,27.051,5.29,1,0.327,0.327,0.662,31.952,4.24,0.44,0.353,18.16,50.42,43.94,11.68,20.1,8.31,0.27,0.033,0.141,0.539,0.728
81,1997,12.393,6.89,3.817,12.393,3.817,8.25,7.61,6.28,3.22,7.2,8.07,6.96,74.676,28.898,10.289,27.043,3.38,0.976,0.295,0.287,0.705,27.699,-0.69,0.371,0.35,17.78,93.59,44.46,-31.35,20.53,8.21,0.25,0.031,0.155,0.536,0.821
81,1998,5.252,2.79,1.522,5.252,1.522,5.02,5.08,-12.17,30.49,6.42,6.39,7.31,72.868,25.851,3.899,20.977,-4.522,1.036,0.285,0.295,0.715,28.433,5.77,0.39,0.296,20.33,88.82,36.43,-32.06,17.96,10.02,0.27,0.027,0.19,0.734,1.313
81,1999,-8.106,-5.37,-2.174,-8.106,-2.174,0.07,0.07,-314.13,238.37,7.19,4.29,8.3,73.388,21.857,-6.021,10.348,-14.704,1.176,0.252,0.296,0.748,26.5,2.89,0.361,0.137,23.78,87.66,41.68,-22.2,15.35,8.76,0.27,0.03,0.201,0.919,3.736
81,2000,10.524,7.8,2.734,10.524,2.734,7.11,7.24,-42.91,-99.2,6.94,6.17,8.46,75.803,28.032,7.208,26.858,0.312,1.08,0.268,0.289,0.732,28.747,-0.02,0.379,0.132,19.88,79.47,45.64,-13.95,18.36,8,0.24,0.03,0.163,0.582,0.981
81,2001,10.106,6.97,2.77,10.106,2.77,7.3,7.4,-27.77,107.26,4.84,4.52,8.51,64.944,19.052,7.089,26.713,2.273,0.964,0.28,0.27,0.72,25.373,0.06,0.391,0.206,18.1,55.05,30.55,-6.4,20.17,11.95,0.35,0.029,0.15,0.788,0.868
81,2002,10.594,7.31,3.093,10.594,3.093,7.65,7.68,52.2,-84.83,4.86,4.95,8.52,65.18,21.671,8.92,30.517,2.705,0.844,0.303,0.256,0.697,22.6,-0.7,0.347,0.198,20.24,59.28,30.25,-8.79,18.03,12.07,0.35,0.029,0.145,0.67,0.843
81,2003,13.26,9.34,4.17,13.26,4.17,8.92,8.73,101.62,-43.4,5.41,3.61,8.01,66.789,23.407,12.017,33.372,4.526,0.723,0.325,0.235,0.675,23.177,-0.82,0.347,0.171,18.99,49.1,26.69,-3.42,19.22,13.68,0.33,0.024,0.152,0.649,0.77
81,2004,13.78,9.44,4.784,13.78,4.784,7.46,7.22,16.72,-606.13,5.11,4.95,7.32,64.999,22.067,13.722,28.379,5.982,0.647,0.369,0.239,0.631,22.663,-0.1,0.349,0.203,16.67,42.48,24.56,-1.25,21.9,14.86,0.35,0.024,0.152,0.687,0.717
81,2005,4.83,3.47,1.774,4.83,1.774,4.51,4.38,-6.46,506.13,4.28,5.12,6.54,59.492,16.283,4.945,20.418,-2.399,0.643,0.366,0.235,0.634,21.345,0.18,0.359,0.305,15.58,40.61,21.24,-3.79,23.42,17.18,0.41,0.024,0.209,1.282,1.13
81,2006,7.784,4.96,2.922,7.784,2.922,6.16,6.03,0.42,-90.97,4.63,9.48,6.48,57.122,16.247,7.556,22.942,-3.285,0.541,0.385,0.208,0.615,22.092,3.58,0.387,0.263,17.37,43.04,20.06,-5.61,21.02,18.19,0.43,0.024,0.224,1.379,1.172
81,2007,11.069,6.83,4.453,11.069,4.453,9.26,9.21,4.77,459.91,6.63,10.58,6.72,60.714,23.662,10.309,27.212,0.655,0.443,0.419,0.186,0.581,26.223,0.35,0.432,0.155,16.71,43.75,21.65,-5.39,21.85,16.86,0.39,0.023,0.178,0.754,0.965
81,2008,12.008,5.72,4.977,12.008,4.977,10.42,10.27,4.37,-683.1,6.98,10.8,6.67,61.137,25.229,11.392,29.552,0.983,0.493,0.41,0.202,0.59,26.708,-0.25,0.437,0.173,14.69,40.84,24.46,-1.69,24.84,14.92,0.39,0.026,0.191,0.759,0.951
81,2009,15.049,9.65,6.006,15.049,6.006,11.92,11.59,32.29,89.79,8.44,7.68,6.15,59.727,27.323,12.994,30.762,5.02,0.578,0.389,0.225,0.611,27.607,1.59,0.462,0.175,12.45,34.32,22.77,0.9,29.31,16.03,0.4,0.025,0.175,0.64,0.777
81,2010,11.722,6.11,4.615,11.722,4.615,9.8,9.36,14.38,-59.09,6.71,9.48,6.39,67.567,28.749,13.364,35.36,5.303,0.586,0.398,0.233,0.602,23.334,1.26,0.345,0.242,16.26,49.37,36.8,3.69,22.45,9.92,0.32,0.033,0.174,0.604,0.766
81,2011,16.086,6.28,6.52,16.086,6.52,13.35,12.64,16.59,41.27,7.84,9.11,6.31,33.599,29.36,16.387,38.444,9.567,0.52,0.412,0.214,0.588,13.369,1.17,0.398,0.237,19.9,20.88,16.35,15.37,18.34,22.33,0.66,0.03,0.146,0.498,0.605
81,2012,18.117,6.61,7.466,18.117,7.466,14.93,14.25,18.17,27.18,8.66,8.71,6.3,33.267,29.268,16.833,38.109,13.791,0.479,0.412,0.197,0.588,14.756,1.36,0.444,0.289,24.12,20.92,16.05,19.25,15.13,22.74,0.67,0.029,0.162,0.555,0.541
81,2013,20.507,6.9,8.549,20.507,8.549,16.73,15.97,17.78,30.13,9.73,7.7,5.98,35.998,32.233,18.843,41.159,11.579,0.453,0.422,0.191,0.578,16.332,1.33,0.454,0.302,23.83,22.4,17.36,18.79,15.32,21.03,0.64,0.03,0.179,0.554,0.607
81,2014,21.352,5.91,9.058,21.352,9.058,17.67,16.84,23.83,15.61,10.15,8.74,5.66,37.768,33.903,19.979,42.576,15.148,0.451,0.427,0.193,0.573,17.124,1.32,0.453,0.316,22.81,21.74,17.53,18.6,16,20.82,0.62,0.03,0.159,0.47,0.512
81,2015,24.426,4.91,10.147,24.426,10.147,19.78,18.83,20.74,39.01,11.31,3.9,5.35,40.341,36.489,21.594,45.056,12.669,0.539,0.405,0.218,0.595,18.955,1.27,0.47,0.335,23.01,21.42,17.41,19,15.86,20.97,0.6,0.028,0.181,0.497,0.588
81,2016,22.783,7.1,8.922,22.783,8.922,17.38,16.56,13.64,-16.33,9.97,6.51,4.86,41.15,36.914,21.877,47.174,12.35,0.686,0.379,0.26,0.621,16.782,0.67,0.408,0.408,24.82,23.03,20.59,22.38,14.7,17.73,0.59,0.033,0.213,0.577,0.633
81,2017,20.835,4.91,7.674,20.835,7.674,15.02,14.43,5.88,-26.56,8.63,7.36,4.78,41.322,36.322,21.228,47.651,20.16,0.753,0.358,0.269,0.642,14.939,0.76,0.362,0.451,23.92,26.48,22.66,20.1,15.26,16.11,0.59,0.036,0.176,0.484,0.466
81,2018,47.834,11.36,18.872,47.834,18.872,16.38,15.76,36.35,379.9,20.93,8.2,4.5,42.627,38.164,50.433,49.228,18.795,0.682,0.43,0.293,0.57,15.951,13.98,0.374,0.187,23.64,29.47,21.96,16.13,15.44,16.62,0.57,0.035,0.152,0.399,0.448
81,2019,26.352,5.37,10.202,26.352,10.202,16.51,15.89,8.39,-278.58,11.69,8.07,4.42,41.779,37.303,26.13,47.311,22.99,1.096,0.345,0.379,0.655,16.313,-13.28,0.39,0.384,25.96,25.88,20.47,20.55,14.06,17.83,0.58,0.033,0.151,0.404,0.396
81,2020,30.707,4.45,9.798,30.707,9.798,16.23,15.73,10.86,-0.84,11.13,7.47,4.25,44.288,39.405,27.266,50.732,23.752,1.491,0.294,0.438,0.706,15.915,2.69,0.359,0.443,28.16,24.46,22.53,26.23,12.96,16.2,0.56,0.034,0.159,0.404,0.401
81,2021,30.491,3.7,8.623,30.491,8.623,14.57,14.06,10.21,259.07,9.96,6.76,4.12,46.992,40.107,27.384,52.89,28.736,1.671,0.272,0.454,0.728,14.796,0.79,0.315,0.501,28.96,23.99,24.48,29.45,12.6,14.91,0.53,0.036,0.15,0.374,0.343
