enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
84,1994,17.498,6.2,4.869,17.498,4.869,13.75,12.26,936.84,6.27,6.32,6.54,0,68.995,21.536,10.804,41.129,13.215,1.202,0.278,0.335,0.722,31.097,-10.77,0.451,1.646,0,184.62,23.42,-161.2,0,15.58,0.31,0.02,0.194,0.9,0.595
84,1995,-10.49,-3.28,-2.805,-10.49,-2.805,15.04,13.32,92.18,1.75,6.43,8.84,0,70.985,20.336,-5.473,39.566,8.007,1.442,0.254,0.366,0.746,36.382,-437.72,0.513,0.968,0,198.62,23.97,-174.65,0,15.23,0.29,0.019,0.192,0.944,0.706
84,1996,-1.507,-0.39,-0.4,-1.507,-0.4,32.97,28.91,47.48,-182.21,14.43,7.16,0,75.383,19.399,-0.347,38.14,5.692,1.247,0.277,0.345,0.723,86.94,-2.95,1.153,0.893,0,131.24,10.81,-120.43,0,33.75,0.25,0.007,0.226,1.164,0.799
84,1997,34.355,17.53,8.777,34.355,8.777,23.35,19.67,-9.81,-1.47,10.75,7.12,0,73.952,20.849,11.669,38.954,8.184,1.385,0.246,0.341,0.716,55.628,221.42,0.752,0.697,0,213.49,14.69,-198.8,0,24.85,0.26,0.01,0.219,1.052,0.728
84,1998,18.804,3.8,4.575,18.804,4.575,15.01,12.82,-50.19,84.85,6.47,8.26,0,72.034,17.691,8.13,36.748,7.356,1.51,0.241,0.363,0.742,40.531,-1.56,0.563,0.941,0,262.09,22.23,-239.86,0,16.42,0.28,0.017,0.22,1.243,0.749
84,1999,22.62,3.86,5.435,22.62,5.435,18.12,15.61,-96.55,115.03,7.69,6.77,0,68.944,20.994,9.393,51.549,9.2,1.56,0.24,0.374,0.754,39.893,0.77,0.579,0.776,75.85,224.73,20.78,-128.1,4.81,17.56,0.31,0.018,0.406,1.935,0.815
84,2000,41.715,12.84,9.835,53.364,10.369,28.43,22.83,349.13,8,11.32,7.76,0,42.039,25.044,14.194,42.039,6.88,1.8,0.234,0.421,0.749,29.128,0.58,0.693,0.572,58.2,91.89,10.45,-23.24,6.27,34.92,0.58,0.017,0.224,0.893,0.765
84,2001,38.708,11.03,8.5,228.646,10.397,19.31,12.14,45.25,-1.4,5.72,6.19,0,38.985,20.037,18.231,38.985,-2.791,2.021,0.21,0.424,0.658,18.177,-14.93,0.466,0.725,73.35,79.16,15.14,9.33,4.98,24.1,0.61,0.025,0.273,1.36,1.114
84,2002,1.159,0.33,0.232,Negative Tangible Equity,0.312,9.14,5.04,-45.93,23.31,2.54,5.51,4.88,69.214,17.722,0.583,30.212,1.734,1.977,0.191,0.377,0.68,27.524,1.99,0.398,4.667,77.32,101.46,34.46,10.32,4.72,10.59,0.31,0.029,0.275,1.554,0.941
84,2003,12.521,4.27,2.412,Negative Tangible Equity,3.294,14.31,7.83,-12.54,16.39,5.78,6.52,5.32,70.374,18.089,6.083,35.711,13.466,1.633,0.195,0.318,0.662,27.901,17.09,0.396,1.74,72.8,92.07,31.83,12.56,5.01,11.47,0.3,0.026,0.195,1.076,0.591
84,2004,9.313,3.58,1.846,Negative Tangible Equity,2.557,12.15,6.49,-81.5,273.59,3.63,7.09,5.67,67.835,10.77,4.561,33.586,15.701,1.356,0.202,0.273,0.652,27.452,1.76,0.405,1.256,60.46,75.41,23.2,8.25,6.04,15.73,0.32,0.02,0.176,1.634,0.529
84,2005,22.051,8.23,4.719,Negative Tangible Equity,6.58,16.92,8.96,-72.04,-34.89,5.44,9.11,5.52,66.492,16.532,11.91,39.764,13.683,1.045,0.226,0.237,0.623,26.343,3.95,0.396,0.728,54.55,57.51,23.17,20.21,6.69,15.75,0.34,0.021,0.195,1.177,0.587
84,2006,19.153,10.19,4.428,Negative Tangible Equity,6.309,18.46,9.55,681.08,7.56,5.87,5.97,5.49,64.888,17.335,10.64,39.117,10.157,0.964,0.236,0.228,0.607,27.004,-1.24,0.416,0.829,48.13,40.73,22.86,30.26,7.58,15.97,0.35,0.022,0.215,1.242,0.679
84,2007,14.05,6.75,3.472,Negative Tangible Equity,5.1,18.72,9.76,28.38,5.9,5.93,6.15,6.3,59.959,15.165,7.028,32.984,7.944,0.749,0.257,0.193,0.593,29.626,-1.86,0.494,0.886,40.2,36.24,15.69,19.65,9.08,23.26,0.4,0.017,0.194,1.279,0.709
84,2008,11.14,4.82,2.939,Negative Tangible Equity,4.365,19.53,10.27,31.01,-7.68,6.14,8.52,5.42,59.829,16.667,5.907,32.9,9.951,0.616,0.271,0.167,0.557,29.765,-0.86,0.497,0.884,44.18,43.18,15.76,16.76,8.26,23.16,0.4,0.017,0.188,1.126,0.653
84,2009,-4.753,-2.11,-1.127,0,-1.72,4.03,2.04,-757.45,-55.71,3.37,5.86,4.38,60.335,2.683,-2.253,18.563,10.6,1.246,0.206,0.257,0.61,30.176,1.78,0.5,-,43.94,39.45,18.06,22.55,8.31,20.21,0.4,0.02,0.176,6.559,0.624
84,2010,11.78,5.31,2.28,Negative Tangible Equity,3.842,18.62,8.88,100,44.49,6.78,6.06,5.43,58.65,14.821,4.54,30.755,13.467,1.504,0.182,0.274,0.629,29.46,-0.7,0.502,1.09,41.1,33.54,14.4,21.96,8.88,25.34,0.41,0.016,0.157,1.056,0.537
84,2011,6.376,2.43,1.141,Negative Tangible Equity,2.083,16.93,7.86,35.9,65.49,5.65,5.72,4.39,58.571,13.743,2.392,29.665,15.126,1.369,0.175,0.24,0.605,27.932,3.49,0.477,2.141,41.71,34.2,10.57,18.08,8.75,34.53,0.41,0.012,0.162,1.177,0.517
84,2012,6.45,2.04,1.067,Negative Tangible Equity,1.945,15.11,6.84,20.59,60.38,6.04,5.03,5.24,58.625,11.617,2.168,26.883,12.009,1.533,0.156,0.239,0.627,28.859,0.36,0.492,2.324,38.77,32.34,8.24,14.67,9.41,44.3,0.41,0.009,0.149,1.278,0.553
84,2013,2.532,0.68,0.384,Negative Tangible Equity,0.713,14.08,6.27,-15.42,25.33,6.64,4.55,4.8,60.055,11.36,0.755,24.971,9.507,1.568,0.147,0.231,0.62,30.535,10.11,0.508,6.548,38.36,34.11,7.95,12.2,9.51,45.93,0.4,0.009,0.177,1.556,0.65
84,2014,31.939,8.82,4.605,Negative Tangible Equity,8.059,35.97,14.35,-107,-1179.86,12.09,3.34,3.66,62.765,26.519,9.537,40.274,17.946,2.41,0.142,0.341,0.652,30.306,7.62,0.483,0.736,37.87,38.25,8.52,8.14,9.64,42.85,0.37,0.009,0.143,0.538,0.443
84,2015,37.646,2.38,3.799,Negative Tangible Equity,6.55,22.57,8.94,-100.5,24437.16,7.23,3.1,4.75,60.709,15.423,7.574,28.894,10.298,9.211,0.053,0.487,0.941,30.45,1.01,0.502,0.893,37.96,38.57,7.94,7.33,9.62,45.96,0.39,0.009,0.138,0.895,0.573
84,2016,124.48,10.86,7.5,Negative Tangible Equity,14.265,38.23,16.03,224.42,29.62,9.62,5,4.41,60.069,25.118,13.584,37.363,8.593,6.679,0.067,0.449,0.927,33.165,1.15,0.552,0.51,38.06,39.23,8.35,7.18,9.59,43.71,0.4,0.009,0.211,0.838,0.71
84,2017,67.401,6.98,5.376,Negative Tangible Equity,10.669,30.14,11.99,80.52,32.41,8.5,4.85,4.02,58.167,24.017,10.42,32.775,3.251,4.798,0.092,0.443,0.902,30.011,1.12,0.516,0.678,44.86,44.27,8.5,9.09,8.14,42.95,0.42,0.01,0.14,0.581,0.811
84,2018,91.743,18.31,12.009,Negative Tangible Equity,24.012,29.23,11.57,32.44,405.68,18.72,5.73,4.2,57.898,23.168,23.883,33.547,5.148,2.717,0.168,0.455,0.826,29.111,-931.67,0.503,0.295,59.38,48.66,7.69,18.41,6.15,47.46,0.42,0.009,0.141,0.611,0.733
84,2019,32.269,7.38,5.95,Negative Tangible Equity,11.692,27.32,10.85,12.82,-561.39,9.16,4.62,4.2,57.583,20.532,11.866,31.987,12.419,2.127,0.201,0.427,0.793,28.873,14.18,0.501,0.496,67.77,47,7.79,28.56,5.39,46.84,0.42,0.009,0.138,0.673,0.527
84,2020,33.639,8.13,6.923,Negative Tangible Equity,12.882,26.27,11.59,2.39,10.48,10.28,3.94,3.84,58.499,23.178,14.609,33.477,12.823,2.169,0.21,0.456,0.785,27.721,1.9,0.474,0.447,69.93,49.88,9.2,29.25,5.22,39.69,0.42,0.01,0.143,0.616,0.527
84,2021,27.548,7.69,5.854,Negative Tangible Equity,10.283,23.69,10.78,9.42,-162.64,7.97,3.09,2.99,60.09,22.447,13.875,35.025,15.34,2.219,0.214,0.476,0.781,25.35,-2.83,0.422,0.575,70.2,51.3,11.47,30.37,5.2,31.82,0.4,0.013,0.172,0.767,0.529
84,2022,29.492,11.05,6.461,Negative Tangible Equity,12.187,26.64,11.04,-15.36,4.06,7.95,3.04,2.12,57.863,24.285,16.514,36.756,-21.213,2.175,0.223,0.485,0.773,22.636,1.46,0.391,0.424,65.24,47.67,15.72,33.29,5.59,23.21,0.42,0.018,0.508,2.092,1.717
84,2023,24.583,13.51,5.697,Negative Tangible Equity,11.538,24.42,9.83,12.09,-9.39,6.56,3.73,2.04,56.785,22.266,15.534,35.797,7.601,1.935,0.24,0.464,0.756,20.824,1.63,0.367,0.492,64.49,51.82,16.8,29.47,5.66,21.73,0.43,0.02,0.195,0.878,0.72
