enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
87,1994,15.401,6.7,6.242,15.401,6.242,11.8,11.16,23.73,197.07,6.33,7.35,0,39.808,7.466,5.397,12.459,4.648,0.363,0.413,0.15,0.558,46.038,1.73,1.156,0.874,0,76.76,34.96,-41.8,0,10.44,0.6,0.058,0.071,0.952,0.605
87,1995,14.126,6.89,5.93,14.126,5.93,11.22,10.5,1.38,-12.11,6,11.32,0,40.588,7.056,5.116,12.087,3.218,0.339,0.426,0.144,0.549,47.043,0.7,1.159,0.925,0,78.62,33.94,-44.68,0,10.76,0.59,0.055,0.067,0.944,0.674
87,1996,16.621,6.65,7.223,16.622,7.223,14.27,13.05,9.79,101.77,7.3,10,0,42.209,8.525,5.997,13.517,6.228,0.248,0.443,0.11,0.533,50.839,0.88,1.204,0.726,0,80.5,32.85,-47.65,0,11.11,0.58,0.052,0.066,0.775,0.515
87,1997,17.886,6.37,8.04,17.886,8.04,15.23,13.54,26.09,31.56,7.96,10.77,0,39.668,8.617,6.434,13.182,5.1,0.224,0.456,0.102,0.524,49.57,1.65,1.25,0.668,0,74.17,28.42,-45.75,0,12.84,0.6,0.047,0.062,0.717,0.548
87,1998,26.908,7.78,12.247,26.908,12.247,25.06,21.93,23.33,-498.78,12.64,8.49,0,40.999,9.468,6.645,14.128,5.545,0.228,0.454,0.104,0.521,75.561,0.19,1.843,0.677,22.13,51.15,18.87,-10.15,16.5,19.34,0.59,0.031,0.066,0.697,0.543
87,1999,15.266,5.28,6.86,15.266,6.86,11.11,9.78,4.98,-6.9,5.62,7.42,0,50.904,5.374,4.875,10.419,2.238,0.274,0.446,0.122,0.528,71.632,0.73,1.407,1.362,29.23,57.45,31.82,3.6,12.49,11.47,0.49,0.043,0.077,1.43,0.775
87,2000,12.597,2.86,5.573,12.597,5.573,10.19,9.1,-6.25,8.19,5.01,9.1,0,47.919,5.269,4.334,9.818,2.281,0.299,0.439,0.131,0.535,61.627,-3.94,1.286,0.881,34.98,46.92,32.99,21.05,10.43,11.06,0.52,0.047,0.059,1.128,0.723
87,2001,26.404,6.2,12.074,26.404,12.074,55.42,47.69,26.64,-124.77,23.48,6.7,0,45.029,22.275,7.643,25.726,6.25,0.19,0.475,0.09,0.503,71.134,0.28,1.58,0.351,33.18,57.68,24.05,-0.45,11,15.18,0.55,0.036,0.036,0.164,0.368
87,2002,21.29,5.82,10.487,21.29,10.487,51.77,42.42,12.56,-49.82,25.32,6,0,47.752,22.317,7.2,26.05,6.063,0.148,0.511,0.075,0.489,69.554,-35.12,1.457,0.505,36.49,81.45,26.61,-18.35,10,13.72,0.52,0.038,0.047,0.21,0.436
87,2003,15.512,4.94,7.748,15.512,7.748,42.87,34.89,12.78,-50.11,20.92,5.73,0,46.358,19.837,5.604,23.9,4.807,0.144,0.489,0.07,0.493,64.097,1.11,1.383,0.609,36.33,60.98,26.57,1.92,10.05,13.74,0.54,0.039,0.056,0.282,0.538
