enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
16,1994,8.57,9.88,0,1.36,1.58,0,5.98,1.87,0,4.19,0,0,0,0,0,0,3.35,-19.09
16,1995,7.45,7.45,0,1.14,1.36,1.42,1.37,1.6,0,2.24,0,0,0,0,0,0,4.17,70.48
16,1996,9.89,9.89,0,1.65,1.87,0,0,2.25,0,4.21,0,0,0,0,0,0,3.7,-25.04
16,1997,12.47,11.28,4.14,2.68,3.15,10.9,7.58,1.1,0,1.99,0,0,0,0,0,0,2.45,7.44
16,1998,16.85,16.24,7.44,0.99,1.66,196.19,73.99,3.46,0.94,2.24,0,23.79,0,0,0,0,2.25,1.24
16,1999,20.73,16.94,13.42,2.26,3.33,8.15,7.88,3.38,0.83,4.64,0,24.2,0,0,0,0,2.64,12.62
16,2000,11.2,10.74,7.34,1.9,2.77,7.61,7.31,2.71,0.47,4.93,0,25.34,0,0,0,0,3.69,13.78
16,2001,10.15,9.7,155,1.56,2.15,16.49,14.48,2.31,2.12,4.73,0,13.97,0,0,0,0,4.49,6.24
16,2002,15.06,13.34,0,2.03,2.7,0,0,2.91,6.95,4.43,0,6.16,16.07,2.45,2.72,14.76,3.62,-13.92
16,2003,11.77,11.77,0,2.08,2.76,0,0,3.1,31.81,4.7,0,0.71,16.13,2.51,2.86,44.52,3.51,-12.4
16,2004,11.3,11.3,5.56,2.42,3.26,5.06,5.02,3.14,1.92,5.12,0,8.44,16.98,2.74,3.13,21.88,3.58,20.77
16,2005,12.91,12.54,0,1.92,3.79,0,0,3.62,1.23,6.57,0,10.2,17.94,2.9,3.44,78.19,3.62,-2.3
16,2006,11.42,11.23,0,2.12,4.3,0,0,3.42,0.93,6.95,0,9.7,15.99,2.51,3.11,62.97,4.12,-6.27
16,2007,11.63,11.35,28.19,1.8,4.4,17.83,16.91,3.53,0.72,6.88,0,14.89,16.85,2.62,3.84,67.99,3.97,5.76
16,2008,12.54,12.29,0,1.29,3.58,20.7,16.68,2.93,0.8,8.32,0,17,12.17,1.88,2.95,49.99,5.82,4.85
16,2009,26.07,19.45,0,0.65,2.52,33.44,16.04,0.9,2.17,7.08,0,8.78,4.31,0.61,1.01,33.3,15.91,2.15
16,2010,At Loss,At Loss,1.6,0.67,1.71,0.91,0.9,1.06,0,4.83,0,30.2,4.93,0.62,1.04,8.57,0.27,97.86
16,2011,At Loss,23.24,3.28,0.64,1.19,1.6,1.58,1.24,0,5,0,38.06,4.81,0.54,0.92,5.5,0.3,60.62
16,2012,556,22.06,1.98,0.28,0.46,0.9,0.88,0.66,0,3.94,0,117.92,2.15,0.22,0.39,1.52,0.72,107.79
16,2013,46.44,23.13,0,0.57,0.92,0,0,1.55,0,3.95,0,46.69,5.09,0.44,0.83,2.82,0.34,-12.83
16,2014,17.3,17.3,2.47,0.75,1.19,1.94,1.93,2.08,0,3.85,0,36.97,7.96,0.59,1.17,3.9,0.26,55.97
16,2015,42.6,42.6,6.4,0.84,1.29,6.39,6.15,2.2,0,3.91,0,28.47,11.51,0.69,1.43,3.87,0.67,15.75
16,2016,12.85,12.85,7.14,0.75,1.11,6.66,6.66,2.28,7.98,3.55,0,22.56,13.89,0.66,1.43,3.17,1.19,16.25
16,2017,14.83,14.83,30.32,0.92,1.31,14.13,14.13,2.92,3.76,3.95,0,17.46,26.37,0.89,2.02,4.25,1.13,7.78
16,2018,18.92,18.92,0,1.24,1.73,32.26,32.26,3.65,4.17,4.79,0,13.28,47.5,1.22,2.86,5.71,1.32,3.25
16,2019,9.44,9.44,7.36,0.98,1.37,6.38,6.38,2.77,2.43,3.57,0,13.64,29.88,1.03,2.58,4.43,2.19,16.59
16,2020,12.81,12.81,7.26,1.29,1.8,5.38,5.38,3.64,3.12,4.72,0,12.5,31.21,1.45,3.91,8.22,1.87,19.85
16,2021,16.21,16.21,0,1.06,1.46,7.02,7.02,3.12,3.62,2.13,0,15.66,22.02,1.22,3.42,7.98,2.38,14.49
16,2022,12.46,12.46,0,1.46,2.04,0,0,4.27,2.25,3.73,0,11.71,24.17,1.64,4.65,13.79,1.75,-2
16,2023,10.38,10.38,0,1.08,1.51,0,0,2.85,1.84,3.78,0,13.07,14.72,1.13,3.19,9.34,2.6,-2.39
