enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
18,1994,14.64,27.89,12.65,4.12,4.91,12.35,6.79,0.82,0,1.24,9.83,18.06,5.54,0,0,2.21,0.81,265.08,0.68,8.52
18,1995,11.73,12.44,11.98,3.8,4.13,10.66,6.45,0.79,2.31,1.15,7.1,10.06,9.94,7.49,109.66,2.82,0.94,46.54,0.83,9.62
18,1996,10.35,11.37,7.4,3.36,3.54,7.78,5.37,0.73,0.28,1.07,6.46,8.69,11.51,24.46,62.28,3,0.93,25.76,2.06,13.25
18,1997,10.64,11.81,12.1,3.48,3.69,14.47,8.21,0.89,0.2,1.29,7.14,9.31,10.74,25.33,46.29,3.71,1.1,27.14,2,7.06
18,1998,11.1,12.35,11.21,3.81,4.01,18.67,8.81,0.98,0.37,1.38,7.4,9.36,10.68,26.45,42,4.63,1.31,31.13,1.86,5.55
18,1999,11.19,12.25,11.51,3.2,4.22,33.29,9.52,0.81,0.58,1.36,7.91,10.4,9.62,25.6,33.43,4.21,1.16,29.46,2.39,3.1
18,2000,17.89,20.46,9.78,3.05,4.24,12.91,6.53,0.86,2.06,1.52,9.97,14.56,6.87,15.65,31.16,4.14,1.1,26.02,2.66,7.87
18,2001,15.67,16.26,17.21,2.9,3.97,24.59,8.01,0.82,2.54,1.54,8.99,12.78,7.82,11.61,26.36,3.99,1.03,22.19,2.81,4.13
18,2002,22.53,25.64,69.49,3.2,4.55,967.78,9.13,0.89,29.14,1.67,13.77,26.05,3.84,4.54,23.95,4.24,1.06,23.51,2.64,0.11
18,2003,19.88,21.21,0,2.88,4.15,0,0,0.79,0,1.65,10.62,17.39,5.75,-9.07,14.14,3.46,0.86,67.14,3.06,-36.44
18,2004,26.61,27.58,0,4.7,6.43,0,0,1.28,0,2.13,13.68,22.07,4.53,-7.73,24.33,5.68,1.45,0,1.71,-25.85
18,2005,33.86,37.25,0,4.48,5.87,0,0,2.28,7.1,1.87,13.85,21.06,4.75,-4.78,25.64,6,1.54,0,1.6,-18.25
18,2006,14.3,15.79,25.79,4.6,5.91,58.41,13.1,1.12,1.21,1.74,9.9,12.86,7.78,4.44,26.39,6.38,1.64,0,1.58,1.8
18,2007,11.86,10.15,10.45,5.77,8.67,13.42,7.23,1.01,0.37,1.6,8.55,10.78,9.28,14.31,24.2,6.21,1.55,0,1.79,7.89
18,2008,13.51,11.67,8.07,5.1,7.02,9.74,6.02,1.06,0.46,1.62,8.86,11.34,8.82,16.26,25.07,6.72,1.62,0,1.82,10.86
18,2009,7.89,6.51,14.45,4.41,8.11,35.68,6,0.55,0.26,1.17,7.62,10.17,9.83,17.89,14.03,3.96,0.91,0,3.49,2.93
18,2010,39.85,18.82,9.39,4.07,5.93,8.86,5.49,1.1,2.34,1.94,14.5,31.42,3.18,15.11,17.57,4.82,1.09,0,2.95,11.31
18,2011,22.57,22.27,30.79,5.53,8.08,25.14,12.16,1.43,0,1.99,13.26,20.69,4.83,-0.08,26.65,7.48,1.68,0,1.84,4.05
18,2012,12.24,12.3,15.61,4.55,40.88,19.9,8.67,1,0,1.5,9.35,12.67,7.89,3.03,21.51,6.52,1.45,0,1.99,5.17
18,2013,10.57,9.74,34.53,3.35,8.93,556.58,11.57,0.91,1.48,1.42,8.11,10.73,9.32,10.46,17.97,5.74,1.28,109.77,2.19,0.18
18,2014,15.79,15.1,8.92,2.78,5.65,10.41,5.87,1.07,1.06,1.61,10.33,16.03,6.24,19.14,16.7,5.15,1.21,30.25,1.89,9.92
18,2015,23.47,14.35,20.94,3.31,7.95,12.31,7.14,1.04,1.33,1.59,12.87,24.07,4.15,16.22,16.05,4.66,1.16,18.96,2.84,8.43
18,2016,16.26,14.65,14,2.67,7.37,11.89,6.1,0.87,0,1.51,10.18,18.04,5.54,5.2,11.99,3.23,0.84,12.79,4.33,8.69
18,2017,At Loss,27.12,264.22,4.14,11.41,19.99,9.61,1.41,0,2.18,22.86,130.56,0.77,-8.75,17.99,4.12,1.13,17.39,3.32,4.98
18,2018,125.06,22.9,131.1,6.88,17.49,28.02,16.55,2.08,0,2.66,16.14,26.2,3.82,-10.4,33.14,6.6,1.88,30.7,1.97,3.58
18,2019,12.38,11.33,31.7,5.21,12.34,20.91,11.61,1.39,11.93,1.86,9.27,12.38,8.08,5.66,24.4,5.04,1.5,22.32,2.58,4.98
18,2020,13.75,12.95,23.91,5.57,11.9,19.75,12.12,1.56,0.75,2.06,10.24,13.44,7.44,21.22,23.69,5.46,1.64,25.43,2.56,5.22
18,2021,33.34,27.75,34.35,6.47,13.01,23.71,15.78,2.39,1.44,3.04,18.31,28.19,3.55,22.75,28.55,6.44,2,29.29,2.26,4.24
18,2022,17.48,19.12,18.95,6.72,14.93,23.99,15.75,2.22,1.12,2.73,12.62,16.03,6.24,20.55,29.04,6.7,2.16,29.63,2.07,4.27
18,2023,18.95,17.31,26.59,7.79,14.96,24.59,16.36,2.14,3.8,2.59,13.47,16.72,5.98,7.69,30.88,7.34,2.38,28.56,1.92,4.18
