enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
19,1994,At Loss,At Loss,3.73,0,0,2.9,1.57,0.4,0,3.5,2.8,3.5,28.57,0,0,0,1.74,6.86,0.3,34.43
19,1995,At Loss,At Loss,28.13,0,0,35.56,9.52,2.55,0,6.66,5.35,6.66,15.02,43.5,0,0,1.05,4.96,0.59,2.82
19,1996,At Loss,At Loss,11.71,0,0,0,8.26,1.28,0,3.38,11.15,34.43,2.9,39.79,0,0,1.09,6.61,0.54,-2.5
19,1997,At Loss,At Loss,14.85,10.81,0,66.82,6.74,1.2,0,3.74,12.91,29.01,3.45,39.73,0,0,0.98,7.21,0.51,1.16
19,1998,At Loss,At Loss,108.37,6.91,6.91,0,12.41,2.38,0,3.87,13.36,37.04,2.7,-15.89,0,0,1.68,14.58,0.23,-0.99
19,1999,23.93,382.8,14.12,6.41,6.41,0,20.9,4.16,0,4.96,17.97,48.27,2.07,-24.56,0,0,2.86,29.8,0.04,-1.3
19,2000,36.27,At Loss,25.66,3.65,0,0,30.06,5.75,0,5.81,20.17,57.11,1.75,-13.76,0,0,4.43,49.26,0.03,-1.12
19,2001,19.39,459,8.72,2.75,0,0,48.15,7.15,0,5.65,18.79,-288.32,-0.35,-0.96,0,0,3.49,43.06,0,-1.08
19,2002,57.14,At Loss,13.94,2.34,0,0,42.25,5.38,0,4.54,16.26,-58.78,-1.7,56.46,314.21,50.31,2.82,42.86,0,-2.83
19,2003,At Loss,At Loss,100.77,1.38,0,68.95,16.21,4.84,0,10.53,30.09,92.65,1.08,2.98,124.59,12.17,1.74,27.3,0,1.07
19,2004,23.01,At Loss,12.14,1.77,0,0,25.9,4.03,0,5.29,15.19,49.68,2.01,-0.25,54.29,4.16,4.04,0,0,-1.77
19,2005,76.48,176.03,17.01,1.43,0,30.89,12.31,3.89,0,4.24,10.93,28.78,3.47,-4.83,47.55,3.12,3.84,0,0,4.08
19,2006,92.9,106.67,44.08,1.13,0,70.82,17.74,4.07,0,3.24,8.2,19.39,5.16,-1.43,34.84,1.91,2.98,0,0,2.68
19,2007,35.72,59.79,18.86,1.78,0,46.88,13.55,3.59,8.54,3.98,10.37,21.5,4.65,7.72,47.25,2.58,4.63,0,0,2.62
19,2008,22,28.71,12.59,1.12,0,26.16,6.63,1.89,1.23,2.48,6.51,13.76,7.27,21.86,24.68,1.42,2.73,823.38,0,4.82
19,2009,19.63,18.71,9.44,1.2,0,12.6,4.87,1.45,0.67,2.32,6.2,12.31,8.12,23.67,23.25,1.21,2.34,91.76,1.47,8.13
19,2010,13.38,14.22,9.07,0.97,0,10.47,4.73,1.36,0.54,1.96,5.01,9.38,10.66,25.33,22.13,1.11,2.12,41.98,1.77,11.24
19,2011,17.04,17.9,10.62,1.2,0,10.91,5.54,1.63,0.83,2.08,5.24,9.55,10.47,25.43,30.16,1.4,2.53,33.66,1.71,10.66
19,2012,15.81,16.36,9.07,1.2,0,8.15,4.59,1.18,0.93,1.99,4.42,10.36,9.65,24.41,27.99,1.42,2.35,22.59,1.89,14.2
19,2013,16.39,16.78,11.05,1.8,0,12.35,6.83,1.62,0.67,2.15,6.13,9.51,10.52,25.71,33.82,2.07,3.14,28.13,1.73,9.24
19,2014,20.3,21.44,18.08,2.43,0,21.12,9.78,2.14,0.91,2.59,7.75,12.21,8.19,24.53,41.37,2.79,3.72,31.77,1.51,5.32
19,2015,18.13,18.54,15.13,2.57,0,18.09,8.97,2.21,1.2,2.62,7.81,11.97,8.35,20,37.62,3.05,3.6,30.64,1.56,6.2
19,2016,17.42,17.51,12.3,2.63,0,14.77,7.29,1.91,2.73,2.56,7.71,11.87,8.42,11.83,30.43,2.89,3.03,24.99,1.77,6.99
19,2017,19.4,19.42,15.72,3.26,0,18.7,8.55,2.09,0,2.94,8.88,13.73,7.28,4.38,32.13,3.41,3.22,26.52,1.6,5.12
19,2018,8.43,8.43,16.48,2.71,0,18.96,9.02,2.25,1.87,2.93,8.73,13.52,7.4,8.8,26.24,3.76,3.3,26.69,1.58,5.43
19,2019,13.46,13.3,11.77,2.15,0,12.55,6.5,1.67,1.39,2.8,8.87,14.07,7.11,15.3,19.37,2.94,2.48,19.77,2.23,8.17
19,2020,15.89,16.55,14.69,2.48,0,15.63,8.07,1.9,1.56,2.79,8.81,14.1,7.09,15.66,22.41,3.56,2.87,23,1.82,6.48
19,2021,22.98,24.8,17.8,2.66,0,18.49,9.79,2.34,3.02,3.23,10.54,17.95,5.57,12.9,23.97,3.85,3.02,24.4,1.72,5.46
19,2022,16.56,16.85,12.34,2.37,0,13.71,8.04,2.01,2.42,2.72,8.51,13.53,7.39,12.54,19.68,3.25,2.53,20.17,1.95,7.49
19,2023,28.9,12.5,31.73,1.82,0,12.25,5.87,1.28,3.93,1.97,8.84,18.11,5.52,11.57,12.97,2.03,1.56,12.73,3.02,8.57
