enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
20,1994,24.02,40.93,690.63,2.16,2.16,62.78,4.41,0.46,0,0.71,5.28,10.52,9.51,-6.31,13.54,2,0.37,0,5.07,1.58
20,1995,13.57,15.76,53.11,2.21,2.21,132.77,5.43,0.53,0,0.77,4.96,8.49,11.78,-19.43,15.51,2.28,0.41,0,4.49,0.75
20,1996,14.62,15.13,13.38,2.14,2.14,48.73,4.27,0.5,0,0.73,4.42,7.25,13.79,-5.86,16.07,2.29,0.45,0,4.6,2.05
20,1997,6.87,15.59,10.31,2.09,2.09,16.54,4.29,0.57,1.94,0.72,4.06,6.11,16.37,8.34,16.56,2.76,0.57,0,3.71,6.09
20,1998,10.27,10.84,14.88,2.03,2.03,48.64,4.38,0.64,0.84,0.82,4.21,5.73,17.45,14.46,15.27,2.83,0.62,2657.84,3.62,2.07
20,1999,35.71,15.7,0,1.94,1.94,0,5.19,0.71,1.44,1.04,6.36,11.83,8.45,11.68,14.89,2.34,0.56,0,4.18,-5.15
20,2000,14.99,15.13,35.75,2,2,36.33,4.7,0.66,0,0.96,5.26,8.18,12.22,0.67,15.2,2.45,0.62,0,3.8,2.76
20,2001,5.97,6.2,4.86,1.82,1.82,5.57,2.77,0.49,0.72,0.79,2.45,2.91,34.36,12.46,15.76,2.72,0.7,50.88,3.14,18.03
20,2002,8.16,8.58,13.92,1.22,1.57,24.97,3.81,0.54,0.35,1.04,5.19,7.09,14.1,24.68,14.26,2.56,0.71,34.85,3.05,3.09
20,2003,At Loss,24.95,45.76,0.85,1.79,30.33,3.6,0.31,0.99,0.79,3.94,4.89,20.45,24.86,11.68,1.74,0.51,23.55,4.01,2.36
20,2004,7.23,7.41,5.79,0.99,1.88,10.75,3.66,0.33,0.19,0.5,1.96,2.25,44.44,25.76,13.18,2,0.6,24.82,3.26,9.34
20,2005,5.71,5.58,5.83,1.08,1.73,18.83,3.88,0.39,0.19,0.51,3.53,4.53,22.08,25.91,13.66,2.2,0.67,27.44,2.7,5.36
20,2006,4.64,4.59,4.47,1.16,1.68,10.46,3.57,0.34,0.27,0.4,2.54,2.98,33.56,22.08,13.24,2.42,0.73,27.08,2.66,9.83
20,2007,5.68,5.42,6.69,1.09,1.8,14.91,4.1,0.47,0.23,0.62,3.12,3.87,25.84,23.98,13.45,2.43,0.78,28.81,2.63,6.56
20,2008,9.32,6.35,8.21,1.18,1.79,8.68,4.51,0.57,1.04,0.65,3.32,4.25,23.53,11.7,14.21,2.42,0.83,24.8,2.44,12.14
20,2009,At Loss,10.64,0,1.06,1.16,16.9,2.66,0.25,0,0.36,11.49,-57.24,-1.75,1.66,11.06,1.24,0.42,13.08,4.76,6.09
20,2010,13.24,12.63,54.83,0.96,1.03,36.05,4.67,0.39,0,0.59,4.28,7.8,12.82,-5.86,10.23,1.09,0.38,12.37,4.91,2.73
20,2011,6.81,11.57,7.88,1.11,1.19,8.14,4.54,1.38,0,1.58,3.23,4.57,21.88,-7.46,12.45,1.32,0.51,15.52,4.14,12.48
20,2012,6.19,10.83,8.26,1.09,1.17,9.14,3.92,1.2,0,1.37,3.74,5.26,19.01,4.11,11.49,1.27,0.52,14.3,4.75,11.81
20,2013,8.63,10.69,15.28,1.47,1.47,0,5.22,1.25,0,1.54,3.86,5.4,18.52,2.29,10.32,1.26,0.55,14.98,4.55,-0.35
20,2014,9.57,11.72,10.83,1.66,1.66,145.07,5.43,1.61,0,1.88,4.46,6.59,15.17,2.57,11.76,1.48,0.69,19.17,3.82,0.7
20,2015,12.53,13.97,21.92,1.64,1.64,0,5.19,1.64,10.83,1.96,5.46,9.78,10.22,5.18,11.75,1.41,0.72,20.01,4.11,-0.61
20,2016,At Loss,At Loss,0,1.45,1.45,0,7.66,1.96,0,2.72,24.58,-13.8,-7.25,-14.74,10.58,0.96,0.56,16.87,6.3,-4.29
20,2017,At Loss,At Loss,0,1.77,1.77,0,14.18,2.64,0,3.63,16.51,-22.25,-4.49,-48.95,16.39,1.07,0.69,21.24,1.99,-0.75
20,2018,At Loss,36.81,0,2.11,2.11,26.96,9.47,2.3,0,2.56,13.08,-64.43,-1.55,-44.22,24.91,1.24,0.88,32.38,1.93,3.85
20,2019,11.72,12.5,11.91,2.22,2.22,11.85,5.67,2.01,0,2.15,4.61,7.09,14.1,-15.28,15.17,1.5,1.29,30.85,1.86,8.71
20,2020,10.16,13.15,10.67,2.02,2.02,16.35,6.58,2.24,0.35,2.31,4.5,7.08,14.12,22.25,14.47,1.59,1.6,27.79,2.05,6.33
20,2021,At Loss,At Loss,0,1.43,1.43,493.7,8.98,2.3,0,2.67,14.6,-24.12,-4.15,25.03,11.78,1.03,1.04,24.77,4.23,0.2
20,2022,11.89,12.77,7.45,2.07,2.07,8.21,5.64,2.09,0.83,2.34,5.1,7.76,12.89,20.84,22.97,1.86,2.03,38.92,2.11,12.42
20,2023,8.1,8.54,6.72,3.01,3.01,8.31,5.33,1.92,0.49,1.93,4.13,5.18,19.31,22.82,29.9,2.97,3.1,34.42,2.04,12.57
