enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
21,1994,At Loss,17.35,0,2.03,2.03,0,13.68,0.21,0,0.26,8.11,11.09,9.02,0,17.33,2.15,0.27,0,0,-6.64
21,1995,24.82,153.45,0,2.15,2.15,0,11.94,0.19,5.81,0.25,16.82,36,2.78,11.51,18.21,2.19,0.25,0,0,-7.66
21,1996,16.3,16.73,0,2.2,2.2,0,9.51,0.21,0.56,0.26,7.92,10.52,9.51,15.25,20.05,2.44,0.27,0,0,-2.06
21,1997,24.36,25.15,163.91,3.12,3.12,207.24,12.89,0.35,0.66,0.39,11.22,14.74,6.78,17.45,33.95,4.15,0.44,0,0,0.48
21,1998,23.07,23.89,54.98,3.45,3.45,65.73,14.78,0.45,1.02,0.45,11.1,13.86,7.22,19.05,40.71,5.04,0.53,0,0,1.62
21,1999,42.97,33.38,72.44,4.69,4.69,115.02,18.72,0.64,1.6,0.62,15.57,19.64,5.09,19.83,59.53,7.36,0.78,0,0,0.92
21,2000,25.51,25.51,51.87,3.63,3.63,0,15.31,0.51,0.9,0.49,12.18,15.17,6.59,20.1,47.18,5.96,0.65,0,0,-1.03
21,2001,29,29,165.53,3.43,3.43,0,17.24,0.51,2.57,0.5,13.37,17.43,5.74,11.08,46.92,5.74,0.65,0,0,-2.48
21,2002,22.57,22.57,348.02,2.67,2.67,0,15.72,0.41,2.15,0.41,10.75,14,7.14,10.27,37.41,4.58,0.53,0,0,-0.13
21,2003,21.08,21.4,31.34,2.25,2.25,21.82,10.08,0.36,2.34,0.34,9.47,12.67,7.89,9.5,33.11,3.9,0.48,0,0,4.73
21,2004,22.25,22.24,17.63,2.5,2.5,14.29,9.48,0.41,2.42,0.36,9.47,12.48,8.01,10.66,33.73,4.31,0.56,139.81,0.49,7.3
21,2005,19.91,19.7,25.37,2.31,2.31,27.36,12.03,0.4,2.09,0.34,9.06,11.99,8.34,11.63,30.12,3.86,0.53,79.94,0.99,3.81
21,2006,20.34,20.28,23.31,2.37,2.37,36.55,12.3,0.37,1.92,0.32,9.05,11.91,8.4,13.31,28.41,3.57,0.51,64.63,1.05,2.84
21,2007,26.05,25.85,24.91,3.13,3.13,40.92,13.61,0.44,2.68,0.4,11.92,16.11,6.21,12.27,33.88,4.22,0.62,70.08,0.89,2.56
21,2008,23.2,23.2,28.27,3.16,3.16,49.09,13.5,0.41,2.12,0.39,10.18,13.32,7.51,13.55,32.26,4.02,0.58,65.87,0.91,2.09
21,2009,20.64,20.64,30.55,2.22,2.23,26.66,10.73,0.31,1.87,0.29,8.12,11.34,8.82,14.09,23.31,2.89,0.42,44.17,1.33,3.79
21,2010,19.35,19.48,17.58,2.26,2.28,14.61,9.06,0.32,1.81,0.28,7.44,10.17,9.83,14.24,24.24,2.97,0.43,35.35,1.36,7.04
21,2011,23.8,23.89,21.71,2.84,2.84,18.24,10.88,0.39,2.23,0.35,9.31,12.49,8.01,13.93,30.36,3.77,0.53,35.56,1.13,5.59
21,2012,25.16,25.54,27.82,3.42,3.44,27.27,14.07,0.43,2.44,0.39,10.34,13.63,7.34,13.42,34.56,4.32,0.6,37.46,1.05,3.73
21,2013,24.16,24.48,23.47,4.51,4.51,36.39,14.34,0.47,2.05,0.46,11.7,15.21,6.57,15.03,35.58,4.69,0.63,38.48,1.05,2.77
21,2014,26.04,26.25,25.69,4.31,4.31,26.91,13.45,0.48,1.9,0.45,11.75,15.4,6.49,17.1,35.29,4.84,0.62,39.81,1.1,3.76
21,2015,26.08,26.43,23.26,5.78,5.78,32.77,14.47,0.53,2.19,0.53,12.62,16.44,6.08,15.26,37.75,5.52,0.67,40.28,1.08,3.08
21,2016,30.41,30.65,154.22,5.87,5.87,111.25,21.73,0.6,3.19,0.6,14.3,19.08,5.24,12.11,40.4,6.25,0.73,46.21,1.05,0.91
21,2017,25.78,25.75,19.23,6.36,6.36,16.36,10.28,0.54,4.06,0.54,12.56,16.68,6,9.56,35.48,5.87,0.66,35.92,1.21,6.16
21,2018,32.88,33.05,39.55,7.98,7.98,36.72,17.84,0.73,5.68,0.72,16.86,22.12,4.52,8.09,47.46,8.4,0.9,46.98,0.92,2.75
21,2019,35.69,35.89,45.09,8.5,8.5,38.88,20.54,0.85,5.47,0.83,19.87,25.9,3.86,8.52,53.27,10.18,1.06,52.82,0.83,2.59
21,2020,38.54,38.59,28.92,8.39,8.39,25.51,17.42,0.93,5.74,0.9,21.01,27.26,3.67,8.86,56.4,11.46,1.16,52.98,0.78,3.94
21,2021,40.42,40.76,39.79,11.46,11.46,37.69,22.59,1.03,4.06,1.02,23.14,29.15,3.43,11.99,62.94,14.04,1.36,59.84,0.65,2.67
21,2022,39.73,40.29,75.56,11.2,11.2,66.32,31.41,1.02,3.33,1.01,23.15,28.65,3.49,13.91,60.15,14.5,1.35,60.76,0.65,1.51
21,2023,38.79,38.92,40.76,9.71,9.71,36.19,22.06,1.01,2.87,0.98,22.09,27.39,3.65,15.57,55.92,13.98,1.29,55.67,0.7,2.77
