enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
23,1994,390,390,390,6.32,6.32,390,390,90,0,4.28,10.25,10.89,9.18,0,0,0,0,0,0,4.8
23,1995,19.38,19.38,46.27,9.72,9.72,30.1,19.87,3.94,0.25,6.56,18.96,20.99,4.76,21,0,0,0,0,0,1.92
23,1996,37.58,37.58,37.34,11.9,11.9,43.89,32.3,8.37,0.59,7.95,21.24,23.25,4.3,20.95,0,0,0,0,0,2.32
23,1997,52,57.03,63.14,12.43,12.43,49.66,38.27,8.57,1.01,8.07,28.26,31.97,3.13,20.96,111.97,45.25,24.03,133.94,0,2.09
23,1998,79.8,79.8,59.33,13.95,14.3,43.61,37.12,12.52,1.66,11.55,40.88,47.37,2.11,20.93,168.64,55.7,34.01,155.86,0,2.44
23,1999,107.1,107.1,66.51,17.34,18.05,60.43,50.75,18.02,2.67,16.66,60.32,70.58,1.42,20.77,261.36,73.25,52.35,209.6,0,1.77
23,2000,181.78,181.78,123.01,17.63,20.84,105.55,79.23,25.71,7.32,24.39,112.65,142.7,0.7,20.53,420.89,91.1,75.21,313.83,0,0.99
23,2001,At Loss,At Loss,77.19,5.19,6.27,33.54,21.64,6.2,0,6.01,95.49,-160.53,-0.62,11.68,0,17.19,16.15,71.36,0,2.93
23,2002,52.76,36.64,25.86,3.36,3.96,24.89,14.9,5.19,0,4.42,17.16,28.67,3.49,-1.46,78.35,8.7,9.07,40.73,0,4.1
23,2003,38.98,35.63,43.8,4.87,5.82,30.6,26.48,7.46,5.22,6.78,20.16,26.2,3.82,9.72,89.16,10.06,11.27,49.85,0,3.37
23,2004,33.74,30.41,31.36,5.46,6.61,23.24,21.2,6.7,1.49,6,17.66,21.03,4.76,23.1,75.08,8.82,10.09,42.82,0,4.51
23,2005,22.01,22.27,20.05,5.23,7,18.41,16.72,5.11,0.57,4.24,12.47,14.18,7.05,23.76,52.39,6.87,7.78,31.8,0,5.67
23,2006,20.09,20.41,17.84,4.53,8.65,15.74,14.2,3.94,0.39,3.4,10.67,12.45,8.03,24.71,39.5,5.52,6.1,24.65,0,6.58
23,2007,24.71,25.27,19.16,5.6,10.49,20.46,17.92,5.19,1.3,4.6,14.27,16.31,6.13,22.88,51.28,7.81,8.42,33.5,0,5.02
23,2008,16.79,16.95,12.44,3.77,6.52,12.52,11.21,3.43,0.9,2.79,8.95,10.43,9.59,24.36,31.16,5.05,5.34,21.09,0,8.35
23,2009,20.96,20.74,16.83,3.29,5.3,14.5,13.02,3.57,1.5,2.84,10.47,12.77,7.83,19.98,28.92,4.68,4.98,19.9,0,6.98
23,2010,17.35,17.35,16.55,2.95,5.37,14.72,13.26,3.37,2.01,2.64,8.78,10.55,9.48,15.01,26.85,4.47,4.77,19.26,0,7.03
23,2011,13.65,12.7,11.46,1.84,3.11,9.98,8.81,2.06,2.82,1.37,5.4,6.99,14.31,14.3,15.91,2.8,2.95,11.99,0.75,10.26
23,2012,10.7,10.42,9.8,1.65,2.61,8.32,7.5,1.87,2.83,1.13,4.02,4.85,20.62,14.12,14.05,2.56,2.65,10.81,1.76,12.27
23,2013,13.76,13.62,12.75,2.33,4.08,11.73,10.68,2.83,1.83,2.13,7.25,8.76,11.42,14.38,19.97,3.71,3.81,15.59,2.42,8.51
23,2014,16.93,16.63,12.75,2.27,4.42,12.05,10.81,2.83,1.9,2.07,7.68,9.5,10.53,16.07,18.29,3.3,3.43,14.24,2.85,8.58
23,2015,16.24,15.89,14.22,2.42,4.4,12.91,11.65,2.97,2.64,2.23,7.7,9.3,10.75,13.07,19.61,3.4,3.61,15.22,2.81,7.84
23,2016,14.47,14.13,13.53,2.41,4.46,12.5,11.45,3.15,1.89,2.36,7.39,8.56,11.68,14.52,19.47,3.32,3.65,15.32,3.08,8.09
23,2017,16.55,15.43,14.05,2.37,4.63,12.3,11.44,3.31,2.66,2.5,7.77,9.12,10.96,13.07,19.11,3.11,3.57,14.86,3.5,8.24
23,2018,2114.5,1458.28,17.81,4.52,21.81,16.09,15.1,4.18,232.21,3.53,10.77,12.46,8.03,11.95,27.36,3.91,4.54,18.91,2.93,6.58
23,2019,21.23,20.76,17.87,7.01,0,16.53,15.58,4.75,2.56,4.37,13.08,14.69,6.81,12.87,32.39,4.97,5.58,22.77,2.45,6.34
23,2020,17.84,17.41,15.34,5.26,78.63,13.67,12.99,4.06,2.32,3.75,11.29,12.69,7.88,13.62,25.68,4.19,4.54,18,3.01,7.34
23,2021,22.15,21.25,17.67,5.66,0,15.89,15.18,4.71,4.1,4.43,14.17,16.1,6.21,10.74,27.05,4.7,4.95,18.97,2.64,6.32
23,2022,16.09,16.61,17.08,4.69,0,14.92,14.38,3.69,3.48,3.43,10.52,11.91,8.4,11.78,19.55,3.61,3.69,14.03,3.31,6.84
23,2023,16.95,16.2,12.81,4.77,52.89,11.22,10.74,3.75,6.35,3.4,11.09,12.31,8.12,9.42,21.16,4.12,4.03,14.79,2.96,9
