enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
34,1994,At Loss,At Loss,0,1.68,2.1,8.44,3.71,0.49,0,0.84,-61.04,-7,-14.29,0,10,0.83,0.47,26.15,2.8,11.68
34,1995,13.98,13.98,4.39,1.85,2.13,5.58,3.48,0.66,0,0.86,4.25,8.45,11.83,0,15.63,1.13,0.59,16.59,1.37,17.82
34,1996,12.36,12.36,8.75,2.16,2.42,9.73,4.67,0.7,0,0.86,4.38,7.26,13.77,0,23.01,1.45,0.71,17.08,1.1,10.75
34,1997,14.44,20.49,10.18,3.44,3.69,19.07,7.6,1.06,0,1.2,6.18,9.51,10.52,0,38.09,2.46,1.12,25.72,0.86,5.57
34,1998,16.66,17.97,22.57,4.89,5.11,57.5,11.4,1.29,0,1.47,7.82,11.83,8.45,0,52.02,3.53,1.47,36.71,0.74,1.84
34,1999,26.76,28.64,31.65,8.41,8.68,67.53,18.23,2.07,0,2.27,12.56,18.99,5.27,0,89.2,6.43,2.49,64.03,0.47,1.55
34,2000,25.01,26.25,18.53,9.07,9.07,52.28,19.07,2.2,2.38,2.36,10.83,16.55,6.04,12.57,85.29,7.61,2.76,70.12,0.44,2.01
34,2001,18.29,19.33,30.33,6.94,6.94,47.56,15.86,1.66,1.62,1.88,9.66,13.6,7.35,14.04,60.28,6.36,2.05,49.62,0.6,2.19
34,2002,31.31,34.83,46.03,8.49,9.13,28.02,17.22,2.91,4.46,2.65,15.31,22.31,4.48,9.55,65.52,9.55,2.85,55.87,0.45,4.33
34,2003,35.93,27.3,21.02,5.6,7.04,15.18,9.29,1.58,0,1.82,12.13,19.24,5.2,1.1,30.86,6.28,1.74,28.27,0.76,6.62
34,2004,23.67,26.12,20.13,5.38,7.81,16.23,10.67,1.74,0,1.86,11.47,17.36,5.76,-2.03,27.04,7.14,1.97,29.39,0.68,6.38
34,2005,21.5,24.15,20.24,4.89,7.22,15.62,10.47,1.67,0,1.74,10.64,15.48,6.46,1.33,25.74,7,1.93,28.42,0.71,6.64
34,2006,16.12,21.35,14.24,3.72,5.6,12.43,8.57,1.4,4.59,1.45,7.49,10.61,9.43,11.32,19.41,5.4,1.51,20.8,0.95,8.35
34,2007,15.19,17.5,16.58,4.9,10.39,14.63,9.6,1.58,1.21,1.66,8.17,11.16,8.96,20.66,20.9,5.9,1.69,21.78,1.13,7.05
34,2008,14.44,16.21,14.01,5.02,11.83,14.21,9.35,1.52,1.17,1.64,7.98,10.73,9.32,19.91,20.86,6.17,1.76,20.42,1.39,7.4
34,2009,9.04,9.68,8.77,7.99,0,8.01,5.93,1.08,0.66,1.24,5.64,7.41,13.5,23.58,14.88,4.67,1.33,13.67,2.26,12.94
34,2010,12.49,13.56,11.3,7.21,0,10.05,8.07,1.75,0.98,1.83,7.46,9.46,10.57,20.4,20.77,7.09,1.97,17.77,1.64,10.23
34,2011,12.17,12.01,12.18,7.47,0,12.2,9.23,1.81,0.93,1.89,7.59,9.42,10.62,19.75,20.9,7.67,2.13,17.34,1.7,8.59
34,2012,13.45,13.07,14.57,10.14,0,14.04,10.74,1.99,1.08,2.09,8.53,10.45,9.57,18.15,22.65,9.23,2.46,19.42,1.58,7.43
34,2013,12.73,11.73,13.94,10.84,0,14.22,10.79,2.05,1.15,2.2,8.19,9.86,10.14,16.64,20.19,9.39,2.42,18.54,1.72,7.27
34,2014,11.99,10.77,12.91,8.29,0,14.81,11.3,2.01,1.25,2.21,8.6,10.54,9.49,15.57,17.52,9.12,2.26,17,1.97,7.06
34,2015,12.88,9.27,13.96,12.79,0,12.2,9.18,1.67,1.35,1.98,7.38,9,11.11,15,14,8.03,1.87,13.78,2.65,8.36
34,2016,9.8,8.81,11.55,8.9,0,9.86,7.49,1.58,3.09,1.94,7.84,9.68,10.33,12.7,11.16,7.2,1.56,11.17,3.63,10.32
34,2017,12.81,11.8,10.86,8.22,0,11.75,8.9,1.9,0,2.3,10.6,14.18,7.05,4.55,12.65,8.89,1.82,12.57,3.31,8.62
34,2018,23.87,10.73,10,7.68,0,10.61,8.21,1.74,0,2.14,10.24,14.11,7.09,2,11.66,8.04,1.64,10.94,3.85,9.58
34,2019,11.4,7.86,9.58,5.77,0,8.82,6.53,1.25,0,1.64,7.91,10.85,9.22,5.11,8.54,5.87,1.19,7.92,5.46,11.64
34,2020,12.12,9.99,8.53,5.45,0,9.64,7.74,1.98,0,3,11.84,20.24,4.94,5.63,9.95,6.6,1.4,9.23,4.8,10.44
34,2021,19.3,13.87,6.23,5.21,0,7.2,5.92,1.95,0,2.88,15.04,41.13,2.43,5.79,9.78,6.05,1.35,8.37,5.17,13.94
34,2022,21.05,16.85,10.76,6.35,0,12.06,9.45,2.11,0,2.93,13.54,28.04,3.57,-0.1,10.97,6.25,1.47,8.94,4.9,8.35
34,2023,78.27,15.43,34.26,5.82,0,15.19,12.32,2.12,0,2.86,24.12,72.94,1.37,-4.87,12.48,6.21,1.53,9.28,4.67,6.63
