enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
39,1994,6.96,7.13,0,1.07,1.07,0,0,1.16,0,2.2,0,0,15.18,1.32,1,19.91,3.42,-83.64
39,1995,7.73,7.73,0,0.95,0.95,3.87,3.87,1.1,0.65,1.88,0,20.22,15.75,1.11,0.91,10.17,4.58,26.79
39,1996,9.69,9.65,0,1.38,1.38,0,0,1.12,0.8,1.39,0,15.79,30.25,1.71,1.37,19.91,3.31,-2.42
39,1997,18.05,18.05,0,2.1,2.1,0,0,2.55,1.62,2.88,0,9.45,62.5,2.37,2.03,35.28,2.51,-2.55
39,1998,13.67,13.67,0,2.3,2.3,156.65,8.83,2.87,1.73,3.36,0,7.33,23.6,2.8,2.49,28.69,2.27,0.67
39,1999,16.74,16.74,0,2.64,2.64,23.64,17.18,3.31,2.3,3.8,0,6.44,36.31,3.46,3.18,32.46,2.03,4.34
39,2000,14.04,19.38,0,2.83,2.83,2071.6,2071.6,3.36,3.1,1.79,0,8.89,22.54,3.57,3.19,38.4,2.11,0.08
39,2001,15.89,17.12,0,2.15,3.51,0,0,2.72,2.83,4.53,0,2.01,17.73,2.85,2.62,0,2.82,-15.61
39,2002,45.66,25.73,0,1.8,2.91,0,0,2.54,2.94,3.83,0,5.58,14,2.12,2.16,0,3.72,-4.31
39,2003,30,15.46,0,1.16,1.69,0,0,1.63,2.55,3.09,0,-13.35,9.29,1.31,1.38,0,5.67,-52.4
39,2004,11.34,11.26,6.73,1.66,2.49,5.17,5.17,2.27,2.56,4.09,0,-6.32,13.54,1.9,2.05,0,3.7,19.46
39,2005,25.17,21.17,0,1.32,2.93,0,0,2.62,3.77,6.08,0,-8.46,14.15,1.86,2.09,0,3.49,-10.92
39,2006,16.68,16.12,0,1.29,2.83,0,0,2.6,1.76,4.14,0,-0.47,14.07,1.73,2.14,0,3.43,-21.85
39,2007,11.96,12.46,0,1.44,3,0,0,2.78,0.99,4.77,0,5.66,15.66,1.96,2.56,0,2.82,-29.65
39,2008,10.08,9.99,0,1.19,2.33,0,0,2.11,0.75,5.22,0,-13.73,13.27,1.6,2.18,0,3.39,-75.22
39,2009,23.36,30.64,0,0.88,1.65,4.64,4.64,1.65,3.01,6.34,0,-29.18,10.3,1.1,1.57,0,4.82,20.2
39,2010,18.44,17.64,0,1.04,1.85,1.32,1.32,1.61,2.86,4.45,0,2.72,15.93,1.34,2.08,0,0.48,74.76
39,2011,10.71,8.06,0,0.99,1.63,0,0,1.64,0,4.53,0,-6.85,15.83,1.29,2.1,0,0.47,-2.26
39,2012,7.42,6.57,0,0.71,1.07,1.36,1.36,1.34,0,3.28,0,20.6,10.72,0.93,1.55,0,3.01,76.48
39,2013,8.46,8.46,0,0.86,1.22,6.7,6.7,1.73,0,3.42,0,46.28,12.3,1.14,1.96,36.81,2.73,14.99
39,2014,13.47,13.47,0,1.1,1.56,2.07,2.07,2.29,0,2.35,0,48.67,16.03,1.4,2.51,18.75,2.46,49.15
39,2015,11.83,11.83,0,1.1,1.5,6.49,6.49,2.5,0,1.19,0,29.75,15.61,1.4,2.6,12.6,2.52,15.74
39,2016,11.01,11.01,0,1.09,1.45,3.39,3.39,2.66,1.58,2.49,0,32.58,15.19,1.4,2.65,8.27,2.6,30.37
39,2017,13.94,13.94,0,1.35,1.77,14.55,14.55,3.3,2.19,2.83,0,23.57,18.85,1.7,3.33,8.28,2.18,7.12
39,2018,16.95,16.95,0,1.6,2.09,0,0,3.8,2.84,2.95,0,16.57,22.28,1.97,3.98,7.58,1.98,-2.96
39,2019,10.85,10.85,0,1.39,1.82,21.34,21.34,3.06,1.91,3.85,0,12.57,17.34,1.68,3.44,6.95,2.54,4.88
39,2020,13,13,0,1.83,2.38,110.02,110.02,3.89,2.29,4.54,0,10.84,21.22,2.24,4.72,12.98,2.37,0.95
39,2021,14.31,14.31,0,1.55,1.98,0,0,3.27,2.5,1.81,0,4.1,17.96,1.93,4.13,15.08,2.83,-20.62
39,2022,10.31,10.31,0,1.8,2.3,6.14,6.14,3.94,1.59,0.94,0,8.48,18.43,2.15,4.66,18.42,2.34,16.75
39,2023,11.09,11.09,0,1.49,1.93,3.72,3.72,3.1,1.75,1.5,0,13.16,13.83,1.66,3.6,11.29,3,27.22
