enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
46,1994,16.67,13.79,28.29,3.88,11.52,17.74,11.84,3.44,1.04,4.01,9.78,10.82,9.24,16.57,23.27,7.83,4.94,21.98,3.26,5.24
46,1995,14.64,15.44,15.16,3.85,10.93,14.02,10.6,2.93,1.71,2.93,8.3,9.95,10.05,13.36,22.23,7.11,4.75,20.79,3.22,7.29
46,1996,22.43,25.52,24.03,6.2,14.82,38.75,25.52,4.51,1.98,4.5,14.25,17.03,5.87,15.64,33.05,10.52,7.08,35.53,2.06,2.66
46,1997,23.02,27.13,22.48,7.24,16.56,21.11,16.46,4.51,2.21,4.51,15.12,17.93,5.58,15.13,34.42,11.26,7.34,36.5,1.96,4.88
46,1998,25.57,28.17,25.55,9.06,19.64,24.23,18.68,4.99,2.06,4.93,17.38,19.86,5.04,16.37,39.93,13.52,8.46,42.52,1.74,4.26
46,1999,30.94,41.9,30.89,12.27,34.78,48.42,30.48,6.04,3.6,6.02,21.92,25.41,3.94,13.72,48.85,17.3,10.22,56.87,1.35,2.14
46,2000,24.74,28.74,27.2,10.66,24.95,40.82,23.77,4.46,2.09,4.51,16.28,19.41,5.15,16.12,38.88,14.37,7.89,49.24,1.76,2.53
46,2001,29.12,32.64,36.12,13.14,26.13,40.07,25.85,4.92,1.91,5.02,18.96,22.29,4.49,19.14,46.88,17.84,9.14,60.05,1.42,2.54
46,2002,17.15,18.18,18.65,7.62,14.3,21.05,14.98,5.9,1.11,6.26,12.75,14.31,6.99,19.94,26.59,10.31,5.49,33.52,2.44,4.86
46,2003,16.31,17.38,16.5,6.32,10.49,16.29,12.56,5.44,1.42,5.76,11.96,13.58,7.36,16.46,22.73,8.79,4.62,27.25,2.64,6.23
46,2004,14.83,15.35,14.4,6.28,7.18,12.49,10.06,4.41,2.19,4.64,10.56,12.19,8.2,12.67,17.82,6.92,3.76,20.43,3.16,8.12
46,2005,11.7,12.29,9.59,3.91,4.36,9.65,7.75,2.97,0,3.04,8.51,10.34,9.67,9.06,11.49,4.52,2.47,12.83,4.67,10.45
46,2006,14.44,14.09,11.18,3.68,4.04,10.76,8.77,3.03,0,2.77,8.07,10.42,9.6,3.67,10.84,4.19,2.34,11.42,4.78,9.38
46,2007,20.48,21.3,19.16,5.13,5.94,15.72,13.45,4.02,0,4,15.22,24.59,4.07,-1.53,14.48,5.42,3.13,15.01,3.49,6.42
46,2008,At Loss,43.46,32.98,6.62,7.52,20.29,17.36,5.02,0,4.97,15.82,21.41,4.67,-5.03,20.99,6.77,4.04,19.13,2.62,4.97
46,2009,7.99,8.8,12.3,3.26,3.64,11.78,9.45,2.6,5.03,2.69,5.44,6.31,15.85,11.52,10.66,3.46,2.17,9.79,5,8.63
46,2010,6.17,16.05,7.06,1.83,0,40.99,23.35,2.89,1.17,4.32,6.47,7.53,13.28,20.35,11.46,3.83,2.64,11.92,4.16,1.78
46,2011,122.73,10.05,15.13,1.95,41.65,11.72,9.91,2.33,0.59,2.48,11.7,48.15,2.08,23.84,12.51,3.39,2.71,11.48,4.22,8.63
46,2012,17.8,9.54,10.77,2.01,13.56,10.43,8.98,2.31,0.99,2.38,7.39,14.23,7.03,16.47,13.65,3.16,2.67,11.59,4.14,9.75
46,2013,19.52,10.22,14.38,2.23,10.01,14.88,11.98,2.54,24.93,2.65,7.61,13.23,7.56,6.82,15.66,3.14,2.96,12.94,4.13,6.83
46,2014,32.47,13.67,15.9,2.81,10.23,14.15,12.27,3.25,0,3.4,11.24,23.61,4.24,1.67,20.72,3.58,3.51,16.16,3.46,7.23
46,2015,13.3,15.52,9.61,3.16,10.07,27.96,19.85,3.75,0,3.78,6.46,8.85,11.3,3.9,22.54,3.83,3.91,19.55,3.12,3.69
46,2016,32.29,14.03,17.13,3.14,32.2,12.71,11.41,3.62,1.1,3.88,12.3,25.22,3.97,18.89,21.7,3.37,3.57,17.7,3.43,8.04
46,2017,39.81,14.85,41.09,3.85,33.39,17.85,15.08,3.93,51.21,4.15,15.25,30.83,3.24,5.68,24.09,3.56,3.84,19.33,3.14,5.68
46,2018,61.67,13.48,0,4.21,77.42,32.32,22.85,3.67,0,4.01,13.46,22.11,4.52,-0.05,20.7,3.26,3.56,19.1,3.36,3.15
46,2019,31.4,16.79,27.34,7.07,0,23.5,17.87,4.62,0,4.85,14.67,21.67,4.61,-3.41,29.75,4.31,4.66,25.24,2.6,4.4
46,2020,22.76,23.25,25.5,8.5,0,22.22,16.65,5.72,0,6.04,20.77,29.29,3.41,-3.19,39.15,5.14,5.39,26.62,2.48,4.57
46,2021,28.06,26.26,65.11,7.8,0,34.03,19.33,4.77,7.21,5.33,21.73,33.04,3.03,7.42,31.3,4.83,4.79,24.5,3.03,2.95
46,2022,14.91,14.27,19.7,5.07,0,20.13,13.79,3.99,3.21,4.49,12.22,14.9,6.71,8.4,26.05,4.67,4.39,22.76,3.44,4.99
46,2023,19.43,14.83,25.78,6.12,62.33,19.18,14.77,4.76,1.37,5.05,14.03,17.19,5.82,14.28,32.35,6.57,5.85,28.97,2.53,5.22
