enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
49,1994,33.96,33.96,0,0,0,0,0,1.4,0,1.4,1.4,1.4,71.43,-12.87,29.82,0,0.9,0,6.31,0
49,1995,24.12,26.29,11.34,1.56,1.56,10.5,4.74,1.21,0,2.03,5.87,9.57,10.45,-18.16,24.76,1.52,0.82,10,5.35,9.52
49,1996,29.29,30.69,11.33,1.95,1.95,10.19,5.67,1.53,0,2.26,5.97,10.54,9.49,-22.09,32.91,1.97,1.11,11.37,3.79,9.8
49,1997,27.64,27.25,9.27,1.83,1.83,7.51,5.27,1.39,0,1.96,5.55,10.1,9.9,-18.06,32.02,1.88,1.1,9.46,4,13.32
49,1998,33.18,33.48,10.08,2.22,2.22,10.29,6.74,1.69,0,2.23,6.21,11.57,8.64,-12.98,41.07,2.35,1.43,11.49,3.24,9.72
49,1999,16.01,16.49,8.32,2.17,2.17,9.46,6.12,1.6,0,2.1,5.52,11.17,8.95,0.69,42.59,2.36,1.56,11.33,3.25,10.12
49,2000,10.51,11.41,6.94,1.43,1.43,10.43,4.68,1.14,2.07,1.78,5.18,9.75,10.26,17.48,28.81,1.57,1.13,8.05,4.86,9.16
49,2001,17.32,19.04,11.79,2.25,2.25,0,12.51,1.72,8.58,2.53,7.88,14.44,6.93,7.44,33.76,2.51,1.95,16.49,3.01,-2.56
49,2002,24.39,28.89,10.03,1.65,1.65,12.09,4.91,1.16,15.62,2.06,7.06,11.99,8.34,8.19,25.04,1.91,1.48,12.7,3.97,7.95
49,2003,43.47,60.16,22.79,1.72,1.72,9.75,4.43,1.27,0,2.33,8.95,16.18,6.18,3.48,27.72,1.96,1.52,13.13,3.86,9.65
49,2004,25.89,29.96,8.82,1.73,1.73,13.48,5.16,1.21,0,2.28,8.28,14.33,6.98,3.5,28.49,2.05,1.56,13.96,3.67,7.16
49,2005,30.13,37.21,7.42,1.85,1.85,12.08,5.08,1.28,21.51,2.23,8.58,15.78,6.34,5.63,31.5,2.2,1.67,15.36,3.48,8.02
49,2006,17.76,21.33,10.39,1.93,1.93,0,10.36,1.35,5.25,2.24,8.87,17.77,5.63,7.69,30.89,2.29,1.71,18.92,3.42,-0.5
49,2007,16.84,19.3,31.95,2.22,2.22,32.1,8.64,1.37,2.23,2.15,9.6,16.11,6.21,11.65,34.42,2.81,2.03,26.89,2.76,3.04
49,2008,20.72,21.32,18.42,2.57,2.57,15.65,7.56,1.78,1.96,2.69,10.91,17.97,5.56,13.56,36.75,3.23,2.31,31.25,2.42,6.29
49,2009,12.36,11.87,10.46,1.76,1.76,22.96,5.95,1.23,1.27,2.26,8.17,12.79,7.82,13.44,23.92,2.3,1.62,25.32,3.54,4.29
49,2010,13.3,13.79,12.47,1.69,1.69,14.11,4.82,1.38,1.19,2.59,8.45,14.52,6.89,15.57,21.94,2.23,1.58,24.43,3.58,6.97
49,2011,10.97,11.28,8.26,1.51,1.51,24.21,5.6,1.4,1,2.77,7.65,12.23,8.18,15.04,19.4,2.05,1.47,20.25,3.85,4.05
49,2012,13.26,12.67,23.89,1.69,1.69,543.57,6.26,1.66,1.46,3.12,8.98,13.74,7.28,13.03,20.11,2.21,1.65,25.77,3.61,0.19
49,2013,15.18,16.49,26.29,1.83,1.83,0,7.27,2.03,2.54,3.95,10.4,15.48,6.46,8.38,19.79,2.34,1.81,36.76,3.47,-2.99
49,2014,19.15,19.7,18.9,2.07,2.07,19.27,7.17,2.42,9.7,4.31,10.7,18.25,5.48,4,22.33,2.71,2.2,41.87,3.08,5.09
49,2015,18.98,19.95,17.64,2.36,2.36,22.59,8.51,2.75,3.98,4.43,9.67,15.38,6.5,6.83,24.78,3.15,2.67,47.54,2.73,4.4
49,2016,17.14,17.54,13.23,2.12,2.12,21.27,7.75,2.7,1.74,4.43,9.23,14.91,6.71,12.43,22.36,2.87,2.58,37.5,3.46,4.63
49,2017,19.15,22.42,14.47,2.3,2.3,26.13,8.74,3.45,2.13,5.36,9.71,15.79,6.33,13.01,23.98,3.05,3,38.66,2.91,3.81
49,2018,13.71,15.05,18.98,2.61,2.81,70.11,11.43,4.3,1.28,6.3,12.21,17.39,5.75,14.19,26.72,3.66,3.92,54.57,2.52,1.43
49,2019,12.52,23.98,10.48,2.43,2.55,130.9,12.58,4.96,2.26,7.38,9.5,13.95,7.17,12.78,25.27,3.67,4.41,62.28,2.55,0.76
49,2020,31.21,38.03,32.62,3.2,3.67,0,14.42,6.12,8.04,8.58,15.6,27.08,3.69,5.4,32.99,4.64,6.11,135.35,2.06,-2.47
49,2021,52.13,67.03,383.83,4.14,4.79,676.75,19.03,8.44,47.54,11.48,23.81,47.36,2.11,1.63,41.32,5.46,7.82,192.24,1.81,0.15
49,2022,51.58,59.88,168.52,4.93,5.8,0,24.38,10.79,0,14.39,28.37,55.27,1.81,-7.84,45.24,5.84,9.06,226.24,1.65,-0.15
49,2023,39.81,41.97,78.35,4.23,4.94,0,20.02,7.89,0,11.38,25.91,54.01,1.85,-10.34,37.01,4.72,7.64,193.06,2.02,-0.89
