enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
52,2011,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2012,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2013,At Loss,At Loss,0,15.59,15.63,330,45.5,9.11,0,14.28,-154.85,-96.72,-1.03,0,0,0,0,0,0,0.18
52,2014,At Loss,At Loss,0,19.94,20.7,287.23,92.73,17.86,0,17.99,-174.72,-112.56,-0.89,0,0,0,0,0,0,0.34
52,2015,At Loss,At Loss,0,23.67,31.78,114.03,69.95,14.45,0,14.53,-93.59,-67,-1.49,0,0,0,0,0,0,0.85
52,2016,At Loss,At Loss,0,24.56,29.73,58.96,42.41,13.4,0,13.52,-131.66,-83.08,-1.2,0,0,0,0,0,0,1.64
52,2017,At Loss,At Loss,0,32.17,52.17,352.32,76.88,8.79,0,8.67,-40.75,-31.81,-3.14,0,0,0,0,0,0,0.28
52,2018,At Loss,At Loss,1498.74,29.18,40.36,45.94,34.72,11.63,0,11.53,432.91,-352.29,-0.28,0,0,0,0,0,0,2.14
52,2019,At Loss,At Loss,288.57,28.87,37.23,56.33,39.04,12.14,0,11.98,191.31,2279.08,0.04,0,0,0,0,0,0,1.75
52,2020,88.78,88.78,260.44,25.14,29.27,62.01,45.05,16.09,0,15.3,150.36,529.28,0.19,0,0,0,0,0,0,1.68
52,2021,932.93,711.15,226.7,38.04,44.18,82.31,62.4,24.66,0,23.64,205.86,583.83,0.17,0,0,130.99,51.49,240.41,0,1.26
52,2022,574.43,574.43,286.33,35.07,49.25,73.6,60.19,22.37,0,21.79,171.53,463.82,0.22,0,0,102.94,48.2,208.87,0,1.38
52,2023,242.67,242.67,128.52,15.65,19.81,36.37,29.02,10.91,4,10.59,89.32,180.11,0.56,21.71,0,43.93,22.48,88.88,0,2.76
