enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
61,1994,18.29,19.82,23.59,5.27,11.57,21.32,10.57,1.27,0,1.39,8.96,11.79,8.48,0,32.3,5.08,1.41,33.94,2.35,4.98
61,1995,20.53,21.89,29.47,5.65,11.95,37.52,14.96,1.59,0,1.64,9.99,12.94,7.73,0.68,37.49,6.54,1.76,42.68,1.97,2.9
61,1996,22.98,24.83,32.45,6.28,11.12,34.17,16.26,1.92,2.03,1.9,10.84,13.9,7.19,14.46,40.91,7.78,2.09,48.11,1.78,3.2
61,1997,31.91,33.33,26.92,9.31,15.2,28.15,17.96,2.95,1.57,2.76,14.13,17.96,5.57,21.96,53.54,11.45,3.11,59.55,1.29,3.96
61,1998,38.36,39.81,53.69,11.62,35.55,60.59,28.86,3.8,1.37,3.46,16.79,21.23,4.71,21.65,60.57,14.15,3.87,73.26,1.11,1.92
61,1999,34.93,38.08,35.12,11.39,33.89,23.63,11.58,1.68,3.29,3.29,14.93,20.06,4.99,13.41,53.28,13.21,3.64,66.35,1.29,2.32
61,2000,24.32,27.52,29.22,7.05,42.16,24.51,8.69,1.02,2.55,2.17,10.65,14.56,6.87,13.66,31.11,7.95,2.2,41.56,2.25,2.23
61,2001,30.64,35.91,25.7,7.97,40.92,26.87,15.36,2.27,5.31,2.38,13.33,19.72,5.07,9.81,32.68,8.31,2.34,38.57,2.21,4.04
61,2002,28.9,30.37,24.82,9.62,0,20.69,16.21,3.12,15.82,3.21,15.42,19.33,5.17,4.48,42.26,11.21,3.23,44.79,1.7,5.22
61,2003,26.23,27.16,20.15,7.94,105.41,17.32,14.37,2.88,8.59,2.88,13.07,15.91,6.29,6.44,34.6,10.47,3.11,36.72,1.84,6.23
61,2004,24.75,25.18,21.41,8.79,0,20.72,16.24,2.95,4.15,3.01,13.94,16.52,6.05,9.41,37.17,11.48,3.55,37.69,1.72,5.29
61,2005,20.85,21.6,21.67,7.68,0,22.22,16.64,2.54,1.81,2.61,11.99,14.15,7.07,16.01,32.06,10.18,3.23,31.82,1.95,4.98
61,2006,21.06,21.55,20.94,2.88,0,20.98,16.06,2.68,1.39,3.06,13.13,15.73,6.36,19.95,29.93,8.46,3.15,29.06,2.07,4.93
61,2007,20.13,20.96,18.66,2.92,0,19.35,15.1,2.65,1.69,2.91,11.96,14.38,6.95,16.73,29.51,7.35,3.24,28.84,2.09,5.49
61,2008,16.71,17.6,15.59,2.71,0,16.86,13.44,2.47,1.52,2.68,10.82,12.82,7.8,16.25,25.41,5.8,2.93,24.33,2.38,6.48
61,2009,12,15.5,11.03,2.41,0,13.8,10.8,2.1,1.59,2.38,9.7,11.59,8.63,15.74,19.52,4.29,2.41,18.85,3.21,7.84
61,2010,14.59,17.29,11.84,2.85,0,14.23,11.52,2.4,2.42,2.57,10.52,12.59,7.94,12.8,20.69,4.36,2.72,19.44,3,7.66
61,2011,16.18,16.43,18.39,2.65,0,19.04,14.31,2.35,3.9,2.55,11.07,13.06,7.66,9.8,19.43,4.01,2.67,18.79,3.1,5.7
61,2012,16.73,16.16,17.69,2.7,0,19.33,13.56,2.2,42.53,2.38,11.84,14.7,6.8,6.25,17.53,3.42,2.43,17.59,3.49,5.54
61,2013,19.95,19.79,19.51,3.15,0,20.77,15.17,2.82,0,2.98,13.38,16.07,6.22,4.32,20.65,3.85,2.92,21.47,2.97,5.15
61,2014,19.6,20.41,22.53,3.13,0,22.58,16.36,3.07,0,3.22,13.81,16.86,5.93,4.15,19.99,3.54,2.89,21.37,3.12,4.75
61,2015,32.07,20.81,34.62,3.46,0,20.75,15.44,3.19,0,3.29,15.76,20.01,5,2.75,20.24,3.3,2.88,20.76,3.32,5.12
61,2016,22.95,23.07,21.74,4.01,0,19.87,15.6,3.69,0,3.75,14.38,17.55,5.7,1.98,21.4,3.49,3.11,21.61,3.14,5.37
61,2017,15.59,22.23,17.07,4.11,0,25.49,18.73,3.67,0,3.7,14.54,17.53,5.7,3.43,20.64,3.58,3.19,22.06,3.1,4.21
61,2018,21.27,18.5,19.7,3.8,0,18.6,13.95,3.1,13.7,3.23,12.96,15.62,6.4,6.25,18.23,3.18,2.81,19.22,3.57,5.72
61,2019,76.68,24.26,78.94,5.94,0,23.41,18.27,4.11,65.57,4.37,31.46,44.96,2.22,4.08,27.52,4.47,3.93,26.43,2.64,4.33
61,2020,24.11,23.35,22.81,6.5,0,21.91,18.04,4.43,0,4.47,16.41,19.45,5.14,0.56,29.75,5.02,4.29,28.32,2.53,4.83
61,2021,24.53,23.84,24.07,7.2,0,22.52,19.1,4.61,11.74,4.62,16.86,19.4,5.15,5.51,31.24,5.55,4.65,28.97,2.4,4.75
61,2022,24.75,24.75,27.16,7.52,0,26.91,21.83,4.55,3.04,4.62,17.44,20.09,4.98,11.65,29.68,5.65,4.59,27.51,2.45,3.94
61,2023,25.72,25.72,28.53,7.8,0,27.34,22.37,4.6,1.89,4.72,17.72,20.24,4.94,17.12,29.88,6.08,4.74,27.81,2.43,3.85
