enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
69,1994,281.67,25.61,14.98,4.06,0,7.72,6.9,1.46,0,1.92,9.76,14.42,6.93,0,22.39,3.33,1.55,14.26,3.36,12.45
69,1995,16.3,17.42,13.14,3.64,0,9.82,8,1.2,0,1.48,6.73,10.85,9.22,0,21.55,3.28,1.44,12.72,3.49,10.14
69,1996,19.11,21.52,13.61,4.21,57.02,11.61,10.03,1.48,1.58,1.7,7.85,12.37,8.08,20.75,27.07,4.22,1.76,15.2,2.75,8.58
69,1997,9.3,20.16,6.46,3.37,83.55,11.62,10.02,1.5,1.2,1.68,7.81,12.22,8.18,24.36,23.8,4.31,1.75,14.89,2.88,8.65
69,1998,25.34,27.61,32.57,5.11,57.99,29.41,19.74,2.08,1.94,2.27,10.29,16.52,6.05,19.09,36.37,6.59,2.64,24.19,1.95,3.42
69,1999,30.69,33.16,17.6,6.47,34.37,18.39,13.43,2.72,3.25,2.83,12.47,19.29,5.18,14.31,47.7,8.65,3.44,30.15,1.54,5.49
69,2000,28.79,31.7,21.18,7.13,27.51,25.13,17.28,3.07,3.19,3.15,12.79,18.63,5.37,13.36,48.06,9.83,3.87,34.07,1.4,4.04
69,2001,28.46,26.55,24.18,6.47,178.72,18.45,15.94,2.68,2.01,2.9,10.51,15.16,6.6,17.35,40.83,8.66,3.38,27.63,1.61,5.47
69,2002,32.19,32.56,15.88,6.44,335.87,12.35,11.04,2.71,2.43,2.89,11.86,19.28,5.19,18.26,39.89,8.61,3.33,24.24,1.59,8.23
69,2003,20.56,20.69,12.07,5.39,32.41,11.06,10.38,2.52,1.93,2.59,9.18,13.26,7.54,16.96,32.69,7.85,3.05,20.04,1.68,9.19
69,2004,19.53,22.47,10.38,5.21,15.07,10.6,9.72,2.75,2.04,2.59,8.21,11.12,8.99,17.57,31.13,8.15,3.27,20.22,1.54,9.52
69,2005,23.35,23.35,18.67,5.82,16.85,19.09,16.6,3.36,2.13,3.18,10.65,14.22,7.03,16.51,35.46,9.38,3.98,23.88,1.31,5.32
69,2006,23.36,23.38,13.62,6.18,25.28,13.7,12.65,3.29,2.08,3.08,10.57,13.55,7.38,17.02,34.82,9.34,4.12,23.05,1.28,7.48
69,2007,28.34,28.34,20.61,8.99,67.88,23.04,16.53,3.99,2.26,3.79,13.12,16.73,5.98,17.12,42.42,11.34,5.01,27.54,1.07,4.5
69,2008,14.9,15.06,10.27,8.79,0,10.27,8.8,2.23,1.3,2.2,7.23,8.97,11.15,19.37,23.39,6.92,2.93,14.96,1.87,10.41
69,2009,9.24,9.24,8.05,5.69,0,9.43,6.32,1.16,0.97,1.27,4.48,5.97,16.75,23.78,11.53,3.67,1.48,7.75,3.79,10.74
69,2010,14.38,14.38,10.89,5.72,0,9.9,7.89,1.76,2.14,1.78,6.18,8.45,11.83,17.06,15.51,5.2,2,10.3,2.69,10.04
69,2011,13.74,19.58,19.6,5.07,0,18.39,16.15,3.12,37.65,3,9.64,10.65,9.39,9.31,15.72,5.5,2.17,11.02,2.58,5.52
69,2012,14.99,22.49,14.99,8.23,0,16.41,14.78,3.45,0,3.24,10.66,11.91,8.4,-1.16,17.54,6.5,2.63,13.42,2.22,6.7
69,2013,35.73,23.87,98.5,19.89,0,24.54,21.31,3.64,0,3.89,12.69,14.21,7.04,-5,21.27,7.93,3.15,16.66,1.87,4.16
69,2014,15.93,27.93,24.11,16.29,0,32.9,27.98,4.65,0,4.53,14.24,15.67,6.38,-0.64,27.23,11.81,4.41,24.8,1.43,3.14
69,2015,At Loss,At Loss,0,49.6,0,21.63,19.98,4.78,0,4.62,94.57,206.71,0.48,-2.38,34.22,14.35,4.94,27.09,1.35,4.62
69,2016,23.42,23.57,0,135.23,0,124.78,76.06,5.1,0,5.52,14.13,15.29,6.54,-7.56,35.56,18.02,5.42,33.58,1.34,0.83
69,2017,13.54,21.35,12.86,42.74,0,19.74,18.28,5.04,2.2,5.31,8.47,8.93,11.2,12.27,32.22,21.91,5.77,33.75,1.34,5.2
69,2018,29.31,29.31,29.04,60.7,0,23.17,21.75,7.23,1.06,7.46,16.21,17.32,5.77,22.3,46.57,36.1,8.89,48.75,0.97,4.4
69,2019,21.98,21.94,26.37,67.38,0,22.06,20.85,6.88,0.53,7.31,15.13,16.24,6.16,22.94,40.57,38.29,8.68,42.21,1.18,4.61
69,2020,31.75,31.44,29.64,139.1,0,25.33,24.29,10.06,0.57,10.56,21.6,23.03,4.34,22.33,56.07,66.45,13.34,56.92,0.84,3.99
69,2021,34.03,31.26,29.79,155.65,0,22.8,22.31,10.69,3.02,11.11,23.13,24.55,4.07,13.13,58.81,91.72,14.65,54.11,0.82,4.41
69,2022,37.72,38,37.25,55.97,0,32.03,31.72,13.75,5.05,13.91,25.88,26.95,3.71,9.78,68.46,130.02,18.19,61.49,0.65,3.13
69,2023,32.84,59.63,29.11,3.03,0,42.44,40.98,9.54,3.93,11.07,20.57,24.73,4.04,18.48,40.8,22.71,11.46,38.68,0.98,2.28
