enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
73,2001,N/A,N/A,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
73,2002,N/A,N/A,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
73,2003,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2004,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2005,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2006,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2007,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2008,69.46,39.06,0,3.66,0,0,9.78,2.58,0,3.72,13.02,18.06,5.54,0,0,0,0,0,0,-2.93
73,2009,35.36,28.95,0,2.56,0,0,11.8,1.92,0,2.76,10.64,16.55,6.04,0,0,0,0,0,0,-15.78
73,2010,15.57,15.6,0,1.18,0,177.44,3.02,0.78,0,1.49,5.68,9.71,10.3,-17.08,0,0,0,0,0,0.57
73,2011,23.39,17.49,355.77,1.76,231.74,20.13,4.52,1.11,0,1.74,6.92,12.33,8.11,16.42,0,0,0,0,0,4.98
73,2012,At Loss,3.27,0,1.07,8.1,2.09,0.93,0.23,0,0.27,-4.41,-1.33,-75.19,16.77,0,0,0,0,0,70.82
73,2013,At Loss,At Loss,0,0.59,0,9.27,1.38,0.27,0,0.29,-1.81,-0.9,-111.11,10.3,0,0,0,0,0,15.84
73,2014,672.8,214.27,16.9,1.89,0,0,6.42,0.93,0,1.56,7.79,29.96,3.34,7.66,0,2.71,0.92,28.3,0,-3.19
73,2015,89.8,At Loss,16.16,1.39,0,0,5.3,0.74,0,1.11,5.31,18.59,5.38,3.74,0,1.91,0.73,46.3,0,-14.12
73,2016,47.71,38.58,0,1.93,0,0,5.94,0.99,0,1.39,6.29,18.22,5.49,0,0,2.6,0.97,112.95,0,-3.89
73,2017,34.03,50.45,0,2.61,0,0,17.24,1.28,0,1.71,6.23,15.83,6.32,0,0,3.4,1.28,0,0,-12.4
73,2018,12.21,12.61,0,2.42,0,0,14.45,1.36,0,2.01,7.55,16.9,5.92,6.68,0,3.4,1.31,0,1.08,-13.25
73,2019,18.93,18.93,0,2.19,0,0,14,1.26,1.2,1.52,5.6,12.48,8.01,8.87,0,3.1,1.21,0,0,-3.27
73,2020,19.51,19.51,0,2.33,0,0,9.92,1.5,1.36,2.35,8.56,18.43,5.43,9.42,0,3.45,1.38,0,0,-0.79
73,2021,50.89,50.87,0,2.56,0,0,18.02,2.28,5.32,3.82,12.82,41.93,2.38,6.72,0,5.16,2.22,0,0,-2.23
73,2022,48.12,48.12,69.83,2.1,0,0,10.46,1.82,4.67,3.05,10.59,36.5,2.74,6.37,0,3.66,2.02,0,0,-5.37
73,2023,67.96,45.38,86.05,2.48,0,0,10.47,2.21,6.11,3.47,13.7,42.41,2.36,5.73,52.43,3.83,2.39,0,0,-0.3
