enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
80,1994,30.58,30.58,36.18,6.09,7.71,26.63,21.35,2.35,0,2.26,16,18.63,5.37,0,0,0,0,0,0.04,3.82
80,1995,4.75,23.8,4.6,2.79,3.13,32.05,24.21,2.1,0.55,1.64,10.19,11.39,8.78,22.32,36.32,10.62,4.78,39.08,0.07,3.16
80,1996,41.68,30.83,69.24,3.59,7.97,35.68,26.7,2.05,0.34,1.71,13.66,15.76,6.35,22.07,46.02,10.43,5.17,50.54,0.05,2.84
80,1997,25.59,24.27,17.43,2.18,4.94,21.09,14.89,0.83,0.24,0.67,9.01,10.97,9.12,23.6,27.72,5.28,2.51,30.97,0.07,4.77
80,1998,21.94,21.94,20.29,2.09,4.21,19.11,13.89,0.8,0.35,0.7,9.3,11.13,8.98,23.86,26.01,4.66,2.12,30.73,0.06,5.22
80,1999,At Loss,37.1,5.51,1.96,5.2,9.52,7.66,0.47,0,0.39,7.85,9.97,10.03,0,22.61,3.44,1.35,21.89,0.07,10.88
80,2000,16.6,16.6,6.63,2.3,8.87,9.5,7.93,0.48,0,0.35,0.18,0.18,555.56,4.74,23.55,3.59,1.23,22.28,0.06,11.16
80,2001,27.99,28.67,11.4,5.28,25.07,16.18,13.58,0.98,0,0.9,13.17,15.88,6.3,3.65,44.93,7.03,2.17,38.78,0.03,6.56
80,2002,25.27,31.25,14.15,5.61,19.15,16.26,12.51,1,0,0.93,11.8,13.8,7.25,45.2,43.5,7.13,2,35.66,0.05,6.5
80,2003,19.61,21.91,12.56,5.65,26.53,13.22,10.94,1.07,0,1.01,10.22,11.41,8.76,45.93,40.97,7.42,1.93,32.29,0.04,8.01
80,2004,21.71,21.71,14.08,6.48,6.48,13.56,11.97,1.21,0,1.14,1.13,1.14,87.72,59.36,45.93,9.13,2.2,34.19,0.03,7.82
80,2005,24.05,27.06,18.1,5.28,1333.94,16.24,14.77,1.53,1.6,1.48,13.26,14.55,6.87,20.73,64.27,11.61,2.72,39.02,0.03,6.3
80,2006,26.9,30.03,24.46,4.74,0,23.18,20.29,1.8,0.74,1.86,15.45,16.82,5.95,23.24,67.84,13.48,3.16,44.15,0.02,4.24
80,2007,18.09,20.87,12.81,3.47,34.69,12.99,11.54,1.07,521.75,0.97,8.99,9.85,10.15,4.82,44.5,9.28,2.21,29.48,0.06,8.02
80,2008,17.02,20.18,15.86,3.63,49.53,15.82,13.48,1.07,0,1,8.6,9.47,10.56,-6.95,37.2,8.05,1.95,26.17,0.05,6.86
80,2009,11.08,13.3,9.35,1.56,0,9.58,7.79,0.41,0,0.46,5.91,7.02,14.25,-6.77,14.62,3.15,0.77,10.96,0.11,10.66
80,2010,9.41,10.47,7.74,1.48,70.23,7.36,6.39,0.42,0.89,0.43,5.09,5.88,17.01,23.14,14.23,2.97,0.74,10.81,0.1,13.98
80,2011,8.81,8.81,8,1.52,230,7.57,6.51,0.43,0.98,0.44,4.65,5.28,18.94,19.46,14.35,2.93,0.75,11.21,1.12,13.76
80,2012,10.71,10.71,9.35,1.86,34.59,9.34,7.91,0.54,1.13,0.51,5.45,6.18,16.18,17.66,17.03,3.4,0.89,13.62,1.21,11.21
80,2013,10.27,10.27,9.18,1.77,0,9.32,7.93,0.51,0.75,0.57,5.94,6.78,14.75,22,15.87,3.07,0.82,13.03,1.48,11.01
80,2014,13.69,13.69,13.28,2.31,0,13.55,11.02,0.63,0.84,0.68,7.57,8.65,11.56,23.11,19.56,3.66,0.99,16.71,1.4,7.64
80,2015,17.74,17.74,14.3,2.97,0,15.27,12.38,0.76,1.46,0.81,9.02,10.32,9.69,17.64,23.98,4.36,1.18,20.79,1.39,6.77
80,2016,19.57,19.57,13.66,3.31,0,13.9,11.68,0.72,1.81,0.85,10.44,12.05,8.3,16.14,25.77,4.59,1.19,21.72,1.59,7.3
80,2017,22.07,22.07,19.27,3.98,0,19.15,15.82,0.84,1.97,0.94,11.61,13.45,7.43,15.24,31.66,5.64,1.41,27.25,1.48,5.31
80,2018,20.57,20.57,19.78,4.47,0,18.76,15.97,1.08,1.65,1.16,13.41,15.39,6.5,16.09,37.81,6.96,1.69,32.65,1.3,5.42
80,2019,20.44,20.44,18.55,4.63,0,17.94,15.58,1.08,1.48,1.18,13.45,15.33,6.52,17.62,36.21,7.02,1.68,31.37,1.38,5.71
80,2020,20.52,20.52,17.95,4.84,0,17.32,15.38,1.17,1.44,1.28,13.82,15.73,6.36,18.21,36.34,7.39,1.75,31.51,1.41,5.88
80,2021,21.88,21.88,17.4,5.07,0,16.75,15.2,1.31,1.37,1.4,14.25,16.09,6.22,20.03,37.62,7.92,1.87,31.9,1.38,6.07
80,2022,27.77,27.77,23.88,6.58,0,24.14,21.49,1.67,2.06,1.74,18.44,20.83,4.8,16.62,44.64,9.71,2.29,37.94,1.12,4.21
80,2023,25.03,25.03,21.8,6.37,0,21.52,19.22,1.55,2.02,1.65,16.76,18.76,5.33,15.77,39.48,8.94,2.08,33.51,1.21,4.73
