enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
85,1994,13.1,14.03,11.17,2.21,2.21,46.14,21.07,2.09,0,4.34,0,0,21.74,2.63,2.15,17.17,2.61,2.5
85,1995,9.68,10.39,36.5,2.17,2.17,2.83,2.57,1.69,0.91,4.67,0,22.7,17.32,2.38,1.93,8.22,3.27,36.58
85,1996,12.13,13.12,0,2.32,2.32,0,0,2.17,1.14,5.71,0,13.66,20.86,3.12,2.55,54.06,2.74,-32.21
85,1997,16,18.89,4.66,2.73,2.73,4.16,3.87,1.23,1.54,2.27,0,18.5,23.92,3.78,2.63,21.29,2.43,24.03
85,1998,26.19,29.14,7.03,1.52,3.09,12.23,11.9,2.06,1.47,3.41,0,23.58,35.56,5.79,3.99,29.6,1.59,8.2
85,1999,34.14,35.41,16.8,3.24,5.9,0,0,4.25,1.85,5.82,0,20.64,34.89,5.58,3.73,50.31,1.76,-6.83
85,2000,17.66,21.02,13.84,2.79,4.62,4.34,4.31,3.88,1.05,6.16,0,23.54,30.61,5.04,3.69,23.95,1.94,24.59
85,2001,24,35.65,28.44,3.64,6.07,13.05,13.05,4.88,2.03,7.14,0,23.7,36.85,5.99,4.71,25.04,1.62,7.72
85,2002,22.07,22.07,8.59,2.72,4.44,0,0,3.57,1.61,6.35,0,15.77,26.61,4.15,3.46,25.2,2.3,-13.72
85,2003,14.84,14.12,22.35,2.63,5.28,0,0,3.19,1.71,5.73,0,7.73,24.77,3.95,3.45,114.35,2.35,-19.56
85,2004,16.21,16.21,14.44,2.93,6.19,3.22,3.22,3.54,1.68,6.08,0,14.3,27.22,4.44,4.01,27.2,2.53,31.04
85,2005,15.16,15.15,0,2.8,5.72,16.43,16.43,3.59,1.6,6.35,0,13.29,24.85,4.09,3.86,29.59,2.99,6.16
85,2006,13.96,14.03,0,2.61,6.25,0,0,3.3,1.39,5.36,0,11.03,21.95,3.65,3.58,28.86,3.18,-11.37
85,2007,14.4,14.41,4.75,2.64,7.42,4.33,4.33,3.47,1.39,5.54,0,15.8,21.85,3.7,4,22.12,3.04,23.3
85,2008,12.68,12.69,0,2.11,6.19,11,11,2.64,1.28,5.56,0,19.75,16.43,2.85,3.29,17.33,3.91,9.33
85,2009,42.11,42.17,0,1.84,9.29,0,0,2.34,4.85,10.53,0,19.56,16,2.59,3.17,15.95,4.41,-3.83
85,2010,15.42,15.4,6.14,1.35,2.89,4.3,4.3,1.39,1.42,3.85,0,17.36,14.04,2.13,2.49,13.94,1.82,20.47
85,2011,14.02,12.57,22.99,1.39,2.46,8.69,8.69,1.93,0.92,3.93,0,24.74,15.31,2.2,2.6,14.83,0.65,11.51
85,2012,9.77,9.77,0,1.13,1.8,10.74,10.74,1.85,0.65,3.55,0,26.1,12.3,1.74,2.13,9.89,1.49,9.42
85,2013,10.17,10.18,0,1.24,1.82,3.12,3.12,2.16,0.66,3.81,0,28.83,14.16,1.93,2.47,7.6,2.28,32.52
85,2014,11.67,11.66,0,1.55,2.26,4.23,4.23,2.96,0.96,4.94,0,24.57,17.41,2.32,3.13,10.12,2.53,24.15
85,2015,13.37,13.38,6.64,1.72,2.34,16.65,16.65,3.56,1.37,5.86,0,20.81,19.72,2.55,3.64,11.9,2.46,6.18
85,2016,13.19,13.23,4.5,1.62,2.16,17.81,17.81,3.38,1.53,5.9,0,19.12,18.48,2.31,3.47,10.14,2.71,5.75
85,2017,13.81,13.83,3.55,1.58,2.11,279.75,279.75,3.19,1.83,6.29,0,15.75,17.74,2.12,3.34,12.23,2.75,0.36
85,2018,14.8,14.8,5.01,1.63,2.15,16.35,16.35,3.44,2.36,3.92,0,13.34,18.37,2.13,3.52,13.05,2.54,6.27
85,2019,10.77,10.78,0,1.22,1.63,6.18,6.18,2.58,2.2,3.52,0,13.36,12.45,1.48,2.58,8.18,3.56,17.09
85,2020,13.15,13.15,0,1.34,1.77,35.37,35.37,2.74,2.92,3.96,0,10.36,13.53,1.6,3,10.46,3.57,3.03
85,2021,70.19,43.42,0,0.76,0.97,60.85,60.85,1.68,13.04,1.46,0,11.42,7.94,0.85,1.67,6.22,4.04,1.64
85,2022,9.69,9.66,0,1.11,1.39,0,0,2.5,2.76,1.89,0,8.1,11.36,1.22,2.47,10.45,1.25,-6.18
85,2023,13.15,13.15,0,0.99,1.27,5.86,5.86,2.15,4.66,2.93,0,9.31,9.41,0.97,2,9.87,2.66,17.09
