enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
3,1994,300.676,78.149,378.825,1336.222,0,0,0,1336.222,247.492,216.493,0,476.548,0,940.533,929.96,3585.535,0,137.636,1261.62,4169.279,652.611,0,6221.146,-2710.155,3510.991,0,0,592.043,4103.034,7688.569,638.509,0,0,933.049,1571.558,843.594,0,843.594,0,0,0,679.781,3094.933,306.84,0,306.84,0.313,0,51.383,560.484,918.707,4013.64,470,0,3364.952,-108.068,0,-51.783,-0.172,3674.929,0,3674.929,0.478
3,1995,290.272,25.056,315.328,1468.519,0,0,0,1468.519,284.833,218.643,0,514.715,0,1018.191,1074.29,3876.328,0,145.634,1349.668,4764.296,794.006,0,7053.604,-3132.754,3920.85,0,0,726.546,4647.396,8523.724,671.1,0,0,1140.154,1811.254,772.503,0,772.503,0,0,0,892.109,3475.866,287.091,0,287.091,0.262,0,55.597,655.77,998.458,4474.324,505,0,3652.434,-56.659,0,-51.545,0.17,4049.4,0,4049.4,0.475
3,1996,281.197,34.5,315.697,1563.038,0,0,0,1563.038,311.361,238.943,0,560.637,0,1110.941,1237.04,4226.711,0,152.401,1531.202,5518.21,560.629,0,7762.442,-3512.904,4249.538,0,0,936.331,5185.869,9412.58,755.921,0,0,1217.016,1972.937,1049.863,0,1049.863,0,0,0,767.514,3790.314,435.198,0,435.198,0.338,0,67.993,722.228,1225.419,5015.733,582,0,3926.917,-60.364,0,-51.268,-0.438,4396.847,0,4396.847,0.467
3,1997,110.2,0,110.2,1708.8,0,0,0,1708.8,0,0,0,0,1238.2,1238.2,1423.7,4480.9,0,0,0,0,0,8370.2,8370.2,-3908.7,4461.5,979.8,0,1203.4,6644.7,11125.6,923,0,0,0,923,1383.7,0,1383.7,0,0,0,2037,4343.7,932.9,0,932.9,0.481,0,153.3,875.5,1961.7,6305.4,0,0,4262.8,0,0,0,557.4,4820.2,0,4820.2,0.433
3,1998,230,0,230,1782.3,0,0,0,1782.3,0,0,0,0,1280,1280,1745.9,5038.2,0,0,0,0,0,8790.2,8790.2,-4220.5,4569.7,1112.1,0,1341.1,7022.9,12061.1,1001.1,0,0,0,1001.1,1781.4,0,1781.4,0,0,0,2252,5034.5,938,0,938,0.544,0,136.5,953.4,2027.9,7062.4,0,0,4165.3,0,0,0,833.4,4998.7,0,4998.7,0.414
3,1999,315.2,95.8,411,1955.9,0,0,0,1955.9,0,0,0,0,1412.7,1412.7,1810.2,5589.8,0,0,0,0,0,9403.5,9403.5,-4660.6,4742.9,1349.8,0,1577.4,7670.1,13259.9,1057.4,0,0,0,1057.4,1759.1,0,1759.1,0,0,0,2149.4,4965.9,1339.7,0,1339.7,0.539,0,109,1091.7,2540.4,7506.3,1311,0,4743.3,-253.5,0,-46.7,-0.5,5753.6,0,5753.6,0.434
3,2000,608.097,115.199,723.296,2055.839,0,0,0,2055.839,0,0,0,0,1495.444,1495.444,2145.18,6419.754,0,0,0,0,0,9797.567,9797.567,-5027.508,4770.059,1574.851,0,1706.38,8051.29,14471.044,1226.854,0,0,0,1226.854,896.271,0,896.271,0,0,0,2393.586,4516.711,1336.789,0,1336.789,0.301,0,0,1189.949,2526.738,7043.449,1940,0,6174.007,-428.329,0,-257.756,-0.327,7427.595,0,7427.595,0.513
3,2001,914.218,242.5,1156.718,2179.451,0,0,0,2179.451,466.951,370.407,0,903.973,0,1741.331,2298.74,7376.241,0,245.85,1953.665,7597.553,330.83,0,10127.898,-5310.987,4816.911,1555.26,0,1534.842,7907.013,15283.254,1355.985,0,0,1549.245,2905.23,479.454,0,479.454,0,0,0,912.856,4297.54,1076.368,0,1076.368,0.182,0,0,1338.44,2414.808,6712.348,2218,0,7229.586,-621.328,0,-255.586,0.234,8570.906,0,8570.906,0.561
3,2002,657.378,56.162,713.54,2812.727,0,0,0,2812.727,570.396,487.31,0,1154.329,0,2212.035,2680.89,8419.189,0,332.268,2248.959,8097.044,547.134,0,11225.405,-5673.858,5551.547,7294.32,0,2031.367,14877.234,23296.423,1525.215,0,0,2285.644,3810.859,2953.335,0,2953.335,0,0,0,1162.623,7926.817,4335.493,0,4335.493,0.805,0,0,1974.681,6310.174,14236.991,2643,0,7281.395,-612.968,0,-252.438,0.443,9059.432,0,9059.432,0.389
3,2003,704.45,261.677,966.127,2927.37,0,0,0,2927.37,602.883,563.659,0,1274.76,0,2441.302,2786.97,9121.772,0,335.566,2387.583,8790.209,634.315,0,12147.673,-6319.551,5828.122,7651.781,0,1657.427,15137.33,24259.102,1661.65,0,0,2202.477,3864.127,2148.654,0,2148.654,0,0,0,989.421,7002.202,4273.973,0,4273.973,0.602,0,0,2318.374,6592.347,13594.549,2891,0,8601.386,-596.254,0,-231.845,0.266,10664.553,0,10664.553,0.44
