enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
4,2001,1880.083,0,1880.083,1498.812,0,0,801.302,2300.114,0,0,0,0,0,0,399.44,4579.637,0,332.126,75.371,1110.39,0,0,1517.887,-695.569,822.318,0,0,659.401,1481.719,6061.356,371.794,0,0,1442.749,1814.543,190.669,0,190.669,810.043,29.373,839.416,1334.192,4178.82,1.09,0,1.09,0.68,0,50.969,1140.363,1192.422,5371.242,0,0,-1435.31,884.746,832.731,0,0.021,282.188,407.926,690.114,0.047
4,2002,1316.976,0,1316.976,1330.642,0,0,813.702,2144.344,0,0,0,0,0,0,590.99,4052.311,0,374.969,10.699,1183.534,0,0,1569.202,-852.698,716.504,167.603,0,542.53,1426.637,5478.948,450.208,0,0,1791.118,2241.326,63.099,0,63.099,543.917,18.884,562.801,459.836,3327.062,3.428,0,3.428,0.152,0,16.674,1173.762,1193.864,4520.926,0,0,-1190.415,767.786,1397.828,-536.596,0.023,438.626,519.396,958.022,0.08
4,2003,2332.161,0,2332.161,1416.153,0,0,828.515,2244.668,0,0,0,0,0,0,460.38,5037.211,33.33,0,3.058,1327.399,0,429.144,1759.601,-1109.146,650.455,188.659,188.66,549.585,1422.029,6459.24,573.201,671.026,0,344.384,1588.611,46.162,0,46.162,676.841,22.39,699.231,974.319,3308.323,13.955,0,13.955,0.072,575.973,3.572,801.781,1395.281,4703.604,670,0,-641.915,-188.233,1501.136,-397.076,-112.37,831.542,924.094,1755.636,0.129
4,2004,2552.958,285.288,2838.246,1662.211,0,0,1049.87,2712.081,0,0,0,0,0,0,588.87,6139.194,0,0,440.986,1422.46,0,0,1863.446,-1219.5,643.946,214.482,0,1015.862,1874.29,8013.484,523.931,0,0,2013.99,2537.921,36.715,0,36.715,980.461,42.744,1023.205,795.948,4393.789,32.161,0,32.161,0.047,0,18.769,1155.996,1206.926,5600.715,0,0,46.636,210.703,1643.652,-429.207,0.022,1471.806,940.963,2412.769,0.184
4,2005,2483.99,463.46,2947.45,1752.937,0,0,1353.676,3106.613,0,0,0,0,0,0,631.2,6685.267,0,0,462.715,1499.653,0,0,1962.368,-1268.658,693.71,378.488,0,1199.887,2272.085,8957.352,807.317,0,0,1865.689,2673.006,31.072,0,31.072,1284.303,42.609,1326.912,900.143,4931.133,44.116,0,44.116,0.044,0,5.621,1298.609,1348.346,6279.479,0,0,962.339,133.224,1365.013,-763.682,0.02,1696.914,980.959,2677.873,0.189
4,2006,3066.988,352.951,3419.939,3103.699,0,0,0,3103.699,0,0,0,0,0,0,667.22,7190.859,0,0,534.144,1553.526,0,0,2087.67,-1359.978,727.692,527.648,527.65,1051.293,2306.633,9497.492,856.087,0,0,2652.378,3508.465,24.792,0,24.792,1467.48,49.87,1517.35,722.096,5772.703,27.065,0,27.065,0.027,0,16.88,918.711,962.656,6735.359,0,0,1607.391,455.795,701.006,-869.957,0.02,1894.255,867.878,2762.133,0.199
4,2007,3314.396,231.278,3545.674,3699.334,0,0,0,3699.334,0,0,0,0,0,0,726.17,7971.178,0,0,621.407,1742.808,0,0,2364.215,-1556.146,808.069,643.728,643.73,1324.187,2775.984,10747.162,985.071,0,0,3187.076,4172.147,23.795,0,23.795,1785.286,39.078,1824.364,942.31,6962.616,2.565,0,2.565,0.013,0,31.758,946.705,981.028,7943.644,0,0,2362.703,733.636,0,-1033.025,0.018,2063.332,740.186,2803.518,0.192
4,2008,3602.76,20.282,3623.042,4515.395,0,0,0,4515.395,0,0,0,0,0,0,1020.69,9159.128,19.034,0,4.424,1783.584,0,637.841,2425.849,-1625.685,800.164,839.957,839.96,1580.242,3239.397,12398.525,1017.227,593.644,0,3362.518,4973.389,6.57,0,6.57,1810.661,57.258,1867.919,0,6847.878,1.708,0,1.708,0.003,483.857,1674.437,197.97,2357.972,9205.85,0,0,3120.515,6.128,0,-1405.732,819.595,2540.506,652.169,3192.675,0.205
4,2009,4541.662,7.904,4549.566,3361.785,0,0,0,3361.785,0,0,0,0,0,0,1079.16,8990.514,29.011,0,4.286,1736.03,0,600.701,2341.017,-1639.873,701.144,825.152,825.15,1709.913,3265.22,12255.734,717.379,492.559,0,3282.195,4492.133,0.594,0,0.594,1725.179,21.053,1746.232,0,6238.959,0.361,0,0.361,0,678.333,608.006,1343.869,2630.569,8869.528,0,0,3947.129,-227.178,0,-1755.446,870.716,2835.221,550.985,3386.206,0.231
4,2010,4838.292,2.987,4841.279,2534.598,0,0,1127.827,3662.425,0,0,0,0,0,0,1059.92,9563.625,41.023,0,3.321,1637.271,0,578.715,2219.307,-1559.738,659.569,841.234,841.23,1729.802,3271.628,12835.253,885.328,511.028,0,671.493,2067.849,0.143,0,0.143,1772.833,43.287,1816.12,2683.492,6567.604,1.445,0,1.445,0.001,952.747,565.078,1473.656,2992.926,9560.53,0,0,4634.329,-386.292,137.883,-2524.137,973.963,2835.746,438.977,3274.723,0.221
4,2011,5701.078,4.929,5706.007,3236.059,0,0,1385.733,4621.792,0,0,0,0,0,0,1143.38,11471.183,40.365,0,3.807,1763.402,0,657.987,2425.196,-1639.965,785.231,1131.991,1131.99,2302.74,4260.327,15731.51,949.25,586.543,0,855.208,2391.001,4.419,0,4.419,2219.27,32.647,2251.917,3259.252,7906.589,0,0,0,0.001,995.695,625.697,1852.657,3474.049,11380.638,0,0,6281.517,-134.38,525.037,-3577.574,784.351,3878.951,471.921,4350.872,0.247
4,2012,6640.526,2.261,6642.787,3080.877,0,0,1399.834,4480.711,0,0,0,0,0,0,1464.43,12587.931,28.18,0,3.296,1670.32,0,654.134,2327.75,-1548.256,779.494,1215.383,1215.38,2054.427,4077.484,16665.415,903.847,571.149,0,4337.23,5812.226,0.011,0,0.011,2275.052,21.916,2296.968,0,8109.205,0.022,0,0.022,0,1352.266,659.308,1920.186,3931.782,12040.987,0,0,7904.242,-678.148,1341.576,-5285.625,863.788,4145.833,478.595,4624.428,0.249
4,2013,5631.885,2.525,5634.41,3333.126,0,0,1513.448,4846.574,0,0,0,0,0,0,1363.19,11844.178,43.631,0,3.502,1686.93,0,697.454,2387.886,-1608.211,779.675,2144.537,1818.59,2055.028,5022.871,16867.049,961.851,575.248,0,4369.245,5906.344,0,0,0,2230.615,24.031,2254.646,0,8160.99,25.6,0,25.6,0.005,872.761,692.215,1687.654,3278.23,11439.22,0,0,10069.844,-1052.746,2393.936,-7326.079,875.231,4960.186,467.643,5427.829,0.294
4,2014,4921.305,2.602,4923.907,3859.567,0,0,1803.767,5663.334,0,0,0,0,0,0,1317.2,11904.442,66.783,0,3.484,1773.311,0,769.614,2546.409,-1752.965,793.444,2793.774,2395.89,2372.009,6026.01,17930.452,1064.228,715.704,0,4005.846,5785.778,0.33,0,0.33,2348.034,23.937,2371.971,0,8158.079,26.403,0,26.403,0.005,1107.931,743.565,1609.137,3487.036,11645.115,0,0,11758.131,-871.948,3347.392,-9423.202,921.662,5732.035,553.302,6285.337,0.32
4,2015,4360.766,2.448,4363.214,3840.92,0,0,1884.504,5725.424,0,0,0,0,0,0,611.44,10700.074,45.027,0,2.939,1697.197,0,750.716,2450.852,-1648.968,801.884,3394.74,2929.83,3260.922,7502.573,18202.647,1151.464,836.177,0,4249.9,6237.541,1.848,0,1.848,2251.617,0,2251.617,0,8491.006,25.587,0,25.587,0.004,1108.623,615.827,1314.033,3064.07,11555.076,0,0,13470.008,-1411.972,4516.81,-11472.4,1031.279,6133.725,513.846,6647.571,0.337
4,2016,4905.609,2.875,4908.484,4072.18,0,0,2150.219,6222.399,0,0,0,0,0,0,845.34,11976.222,198.633,0,2.914,1782.657,0,900.996,2686.567,-1730.025,956.542,4119.588,3609.44,3358.019,8632.782,20609.004,1280.821,721.322,0,4509.28,6511.423,2.773,0,2.773,2364.728,0,2364.728,0,8878.924,24.457,0,24.457,0.004,1494.789,865.832,1155.626,3540.704,12419.628,0,0,7879.96,-1661.72,2924.729,-2591.907,1004.2,7555.262,634.114,8189.376,0.367
