enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
6,1994,160.3,0,160.3,405.8,0,0,0,405.8,56.3,81.4,0,32.2,75.8,245.7,418.7,1230.5,0,0,0,0,0,622.6,622.6,-170.1,452.5,0,0,19.7,472.2,1702.7,378.2,0,0,0,378.2,58.5,0,58.5,0,0,0,59.7,496.4,209.1,0,209.1,0.277,0,11.6,19.3,240,736.4,1,0,545.9,28.9,390.7,0,-0.2,966.3,0,966.3,0.568
6,1995,285.8,483.5,769.3,817.7,0,0,0,817.7,118.6,139.5,0,37.8,131.5,427.4,297.2,2311.6,0,0,0,0,0,859.6,859.6,-228.9,630.7,0,0,23.1,653.8,2965.4,659.6,0,0,0,659.6,82.8,0,82.8,0,0,0,119.3,861.7,279.8,0,279.8,0.203,0,11.6,28.8,320.2,1181.9,2,0,1000,21.7,760.1,0,-0.3,1783.5,0,1783.5,0.601
6,1996,403.9,0,403.9,822.4,0,0,0,822.4,0,0,0,0,478.6,478.6,988.2,2693.1,0,0,0,0,0,1265.6,1265.6,-346.6,919,0,0,25.9,944.9,3638,791.9,0,0,0,791.9,100.2,0,100.2,0,0,0,43.1,935.2,275.5,0,275.5,0.158,0,11.6,45.3,332.4,1267.6,0,0,1599.6,0,0,0,770.8,2370.4,0,2370.4,0.652
6,1997,448,1094.9,1542.9,1110.9,0,0,0,1110.9,106.4,256.7,0,115.4,208,686.5,430.1,3770.4,0,112.1,561.8,727.8,164.1,0,1565.8,-499.7,1066.1,199.6,0,34.7,1300.4,5070.8,1157.8,0,0,0,1157.8,66.5,0,66.5,0,0,0,177.8,1402.1,623.1,0,623.1,0.234,0,47.2,56.2,726.5,2128.6,4,0,2098,-10.4,850.9,0,-0.3,2942.2,0,2942.2,0.58
6,1998,575.2,0,575.2,764.5,0,0,0,764.5,0,0,0,0,555.9,555.9,1623.4,3519,0,0,0,0,0,1998.1,1998.1,-736.6,1261.5,0,0,149.2,1410.7,4929.7,1041.3,0,0,0,1041.3,8,0,8,0,0,0,69,1118.3,616.6,0,616.6,0.2,0,11.3,62.9,690.8,1809.1,0,0,2328.9,0,0,0,791.7,3120.6,0,3120.6,0.633
6,1999,868.121,1951.254,2819.375,1268.146,0,0,0,1268.146,0,0,0,0,727.107,727.107,496.09,5310.72,0,0,0,0,0,2209.469,2209.469,-931.2,1278.269,162.015,0,263.506,1703.79,7014.51,382.915,0,0,0,382.915,42.273,0,42.273,0,0,0,1306.309,1731.497,584.357,0,584.357,0.137,0,123.398,0,707.755,2439.252,8,0,3122.337,1.266,1443.723,0,-0.068,4575.258,0,4575.258,0.652
6,2000,1647.604,2580.435,4228.039,2351.379,0,0,0,2351.379,384.84,413.228,0,262.088,443.595,1503.751,755.98,8839.147,0,199.062,933.078,1042.386,321.95,0,2496.476,-1129.694,1366.782,0,0,339.801,1706.583,10545.73,2268.608,0,0,0,2268.608,106.297,0,106.297,0,0,0,384.806,2759.711,573.126,0,573.126,0.096,0,108.545,0,681.671,3441.382,8,0,5185.181,-19.17,1930.212,0,0.125,7104.348,0,7104.348,0.674
6,2001,1356.304,3485.088,4841.392,776.451,0,0,0,776.451,301.586,193.505,0,351.624,566.282,1412.997,751.33,7782.174,0,217.649,1255.032,1194.375,348.531,0,3015.587,-1309.099,1706.488,0,0,339.848,2046.336,9828.51,1477.531,0,0,0,1477.531,4.807,0,4.807,0,0,0,50.478,1532.816,564.805,0,564.805,0.075,0,124.152,0,688.957,2221.773,8,0,5693.01,24.445,1881.124,0,0.158,7606.737,0,7606.737,0.774
6,2002,1284.791,3644.735,4929.526,1046.016,0,0,0,1046.016,191.956,195.409,0,242.099,644.352,1273.816,823.44,8072.793,0,253.322,1354.146,1295.933,319.732,0,3223.133,-1458.196,1764.937,202.29,0,184.745,2151.972,10224.765,1348.156,0,0,0,1348.156,49.776,0,49.776,0,0,0,103.524,1501.456,573.853,0,573.853,0.078,0,129.807,0,703.66,2205.116,16,0,5962.014,18.609,2022.546,0,0.48,8019.649,0,8019.649,0.784
6,2003,1364.857,4128.349,5493.206,912.875,0,0,0,912.875,115.481,143.13,0,211.311,480.77,950.692,1014,8370.773,0,265.571,1396.976,1207.76,224.12,0,3094.427,-1534.597,1559.83,316.033,0,64.986,1940.849,10311.622,1319.471,0,0,0,1319.471,105.292,0,105.292,0,0,0,216.114,1640.877,456.422,0,456.422,0.07,0,146.289,0,602.711,2243.588,17,0,5812.867,14.84,2223.553,0,-0.226,8068.034,0,8068.034,0.782
6,2004,1493.292,5084.704,6577.996,1670.153,0,0,0,1670.153,179.63,222.663,0,309.672,427.403,1139.368,894,10281.519,0,277.597,1371.078,1211.157,93.298,0,2953.13,-1607.602,1345.528,307.612,0,158.786,1811.926,12093.445,350.105,0,0,0,350.105,45.864,0,45.864,301.22,0,301.22,1590.792,2287.981,410.436,0,410.436,0.049,0,133.001,0,543.437,2831.418,17,0,7164.17,10.321,2070.733,0,-0.197,9262.027,0,9262.027,0.766
6,2005,990.342,2342.952,3333.294,1615.504,0,0,0,1615.504,136.371,129.778,0,384.941,383.003,1034.093,852.19,6835.077,0,280.391,1424.922,1219.877,85.92,0,3011.11,-1736.086,1275.024,420.075,338.98,2738.981,4434.08,11269.157,1618.042,0,0,0,1618.042,7.574,0,7.574,0,0,0,139.798,1765.414,407.38,0,407.38,0.046,0,0,167.814,575.194,2340.608,16,0,8227.793,-37.248,721.937,0,0.067,8928.549,0,8928.549,0.792
6,2006,861.463,1035.875,1897.338,2026.199,0,0,0,2026.199,236.913,272.654,0,430.796,466.414,1406.777,750.71,6081.019,0,222.381,1241.195,1212.736,77.571,0,2753.883,-1729.589,1024.294,773.624,572.56,1601.9,3399.818,9480.837,2023.651,0,0,0,2023.651,202.535,0,202.535,0,0,0,209.859,2436.045,204.708,0,204.708,0.061,0,0,188.684,393.392,2829.437,14,0,9472.303,-19.01,3678.202,-6494.012,-0.083,6651.4,0,6651.4,0.702
6,2007,1202.722,1166.857,2369.579,2049.427,0,0,0,2049.427,201.055,230.244,0,381.765,500.173,1313.237,875.35,6607.593,0,218.181,1253.322,1203.013,107.688,0,2782.204,-1730.962,1051.242,1379.588,1006.41,1623.855,4054.685,10662.278,455.894,0,0,1388.164,1844.058,2.561,0,2.561,377.458,0,377.458,157.549,2381.626,202.281,0,202.281,0.026,0,0,256.962,459.243,2840.869,14,0,10863.291,11.353,4658.832,-7725.924,-0.143,7821.409,0,7821.409,0.734
6,2008,1411.624,689.044,2100.668,1691.027,0,0,125.605,1816.632,908.282,665.123,0,413.612,0,1987.017,759.84,6664.157,1446.589,226.906,1158.097,580.691,171.086,695.172,2831.952,-1737.752,1094.2,1563.102,1174.67,238.27,4342.161,11006.318,588.255,295.014,79.846,364.778,1327.893,1.068,0,1.068,1225.735,0,1225.735,390.856,2945.552,201.576,0,201.576,0.027,0,0,310.232,511.808,3457.36,13,0,11601.288,-26.57,5095.894,-9134.962,0.308,7548.958,0,7548.958,0.686
6,2009,1576.381,638.349,2214.73,1041.495,0,0,184.76,1226.255,615.512,667.484,0,344.461,0,1627.457,620.5,5688.947,1052.165,228.057,1164.384,713.505,146.232,654.779,2906.957,-1816.524,1090.433,1477.348,1170.93,265.35,3885.296,9574.243,477.148,49.389,80.455,300.415,907.407,1.24,0,1.24,864.28,0,864.28,166.53,1939.457,200.654,0,200.654,0.028,339.524,0,0,540.178,2479.635,13,0,10934.004,-1.68,5195.437,-9046.562,0.409,7094.608,0,7094.608,0.741
6,2010,1857.664,726.918,2584.582,1831.006,0,0,0.857,1831.863,584.284,499.931,0,463.163,0,1547.378,801.49,6765.315,1307.283,227.202,1233.85,719.119,19.144,669.473,2868.788,-1905.784,963.004,1623.247,1336.43,284.496,4178.03,10943.345,657.971,372.055,92.96,377.151,1500.137,1.258,0,1.258,847.231,0,847.231,539.25,2887.876,204.271,0,204.271,0.027,315.085,0,0,519.356,3407.232,13,0,11510.843,1.666,5406.598,-9396.274,0.28,7536.113,0,7536.113,0.689
6,2011,5960,283,6243,1532,0,0,0,1532,735,336,0,630,0,1701,879,10355,931,163,1155,722,12,686,2738,-1872,866,1546,1335,163,3506,13861,484,239,104,385,1212,0,0,0,1116,0,1116,466,2794,1947,0,1947,0.221,216,104,0,2267,5061,13,0,13029,6,5616,-9864,0,8800,0,8800,0.635
6,2012,1392,545,1937,1220,0,0,87,1307,643,234,0,395,0,1272,586,5102,1055,169,1196,734,58,760,2917,-2007,910,4873,3518,162,7000,12102,396,92,108,355,951,0,0,0,755,0,755,559,2265,1946,0,1946,0.269,216,200,240,2602,4867,12,0,12700,-61,5863,-11279,0,7235,0,7235,0.598
6,2013,1711,180,1891,1633,0,0,178,1811,644,292,0,477,0,1413,527,5642,1005,167,1217,589,52,792,2817,-1967,850,4397,3294,149,6401,12043,582,114,121,376,1193,0,0,0,794,0,794,456,2443,1946,0,1946,0.275,193,71,302,2512,4955,12,0,12487,-38,6151,-11524,0,7088,0,7088,0.589
6,2014,3002,160,3162,1670,0,0,79,1749,721,316,0,530,0,1567,489,6967,935,156,1227,575,61,829,2848,-1987,861,4255,3304,156,6207,13174,613,193,122,431,1359,0,0,0,940,0,940,524,2823,1947,0,1947,0.247,208,32,296,2483,5306,12,0,13072,-76,6384,-11524,0,7868,0,7868,0.597
6,2015,4797,168,4965,1739,0,0,127,1866,843,271,0,719,0,1833,597,9261,946,157,1247,574,48,920,2946,-2054,892,4064,3302,145,6047,15308,658,118,116,432,1324,1200,0,1200,765,0,765,509,3798,3342,0,3342,0.597,187,56,312,3897,7695,11,0,13967,-92,6575,-12848,0,7613,0,7613,0.497
