enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
8,1994,128.5,0,128.5,0,0,0,164.3,164.3,0,0,0,0,74.7,74.7,687,1054.5,0,0,0,0,0,730.6,730.6,-143.7,586.9,0,0,124.1,711,1765.5,23.1,0,0,0,23.1,109.8,0,109.8,0,0,0,279.4,412.3,181.2,0,181.2,0.248,0,0,0,181.2,593.5,0,0,535.8,0,0,0,636.2,1172,0,1172,0.664
8,1995,211.3,0,211.3,0,0,0,194.7,194.7,0,0,0,0,98,98,611.6,1115.6,0,0,0,0,0,873.4,873.4,-208.1,665.3,0,0,213.2,878.5,1994.1,30.5,0,0,0,30.5,99.7,0,99.7,0,0,0,406.2,536.4,183.4,0,183.4,0.222,0,0,0,183.4,719.8,0,0,555,0,0,0,719.3,1274.3,0,1274.3,0.639
8,1996,66.7,0,66.7,0,0,0,199.3,199.3,0,0,0,0,88.8,88.8,1099.3,1454.1,0,0,0,0,0,1033.4,1033.4,-289.6,743.8,0,0,234.9,978.7,2432.8,54.4,0,0,0,54.4,69.7,0,69.7,0,0,0,459.7,583.8,177.2,0,177.2,0.148,0,0,0,177.2,761,0,0,807,0,0,0,864.8,1671.8,0,1671.8,0.687
8,1997,169.3,0,169.3,0,0,0,225.4,225.4,0,0,0,0,97.4,97.4,1010.5,1502.6,0,0,0,0,0,1301.2,1301.2,-390.7,910.5,0,0,352.5,1263,2765.6,75,0,0,0,75,118.2,0,118.2,0,0,0,449.7,642.9,59,0,59,0.093,0,0,157.4,216.4,859.3,0,0,879.4,0,0,0,1026.9,1906.3,0,1906.3,0.689
8,1998,239.1,0,239.1,0,0,0,269,269,0,0,0,0,109.2,109.2,926.2,1543.5,0,0,0,0,0,1669.2,1669.2,-483,1186.2,0,0,380.5,1566.7,3110.2,103.9,0,0,0,103.9,30,0,30,0,0,0,608,741.9,229,0,229,0.121,0,0,0,229,970.9,0,0,943.2,0,0,0,1196.1,2139.3,0,2139.3,0.688
8,1999,201.1,0,201.1,0,0,0,319.9,319.9,0,0,0,0,110.8,110.8,1231.5,1863.3,0,0,0,0,0,2051.9,2051.9,-601.7,1450.2,0,0,358.7,1808.9,3672.2,121.6,0,0,0,121.6,105.7,0,105.7,0,0,0,659.7,887,223,0,223,0.128,0,0,0,223,1110,0,0,894.3,0,0,0,1667.9,2562.2,0,2562.2,0.698
8,2000,130.9,1202.1,1333,0,0,0,412.2,412.2,0,0,0,0,184.3,184.3,135.8,2065.3,0,0,0,0,0,2315.2,2315.2,-761.6,1553.6,0,0,458.7,2012.3,4077.6,83.4,0,0,0,83.4,99.5,0,99.5,0,0,0,648.2,831.1,223,0,223,0.107,0,0,0,223,1054.1,2072,0,966,-14.8,0,0,0.3,3023.5,0,3023.5,0.741
8,2001,226.5,1801.6,2028.1,389.2,0,0,0,389.2,0,0,0,0,305.2,305.2,214.6,2937.1,0,0,0,0,0,2719.2,2719.2,-937.7,1781.5,0,0,681,2462.5,5399.6,143.2,0,0,0,143.2,99.7,0,99.7,0,0,0,619.2,862.1,223,0,223,0.075,0,0,0,223,1085.1,2947,0,1304.6,62.6,0,0,0.3,4314.5,0,4314.5,0.799
8,2002,689.1,1973.1,2662.2,497.2,0,0,0,497.2,21.9,266.7,0,67,0,355.6,343.6,3858.6,0,207.7,1047.1,1645.6,209.5,0,3109.9,-1163.8,1946.1,0,0,638.4,2584.5,6443.1,136.7,0,0,766.3,903,99.9,0,99.9,0,0,0,0,1002.9,223,0,223,0.062,0,0,0,223,1225.9,3474,0,1686.8,56.3,0,0,0.1,5217.2,0,5217.2,0.81
8,2003,1852,2812,4664,752,0,0,0,752,77,360,0,108,0,545,443,6404,0,200,1443,2125,472,1,4241,-1427,2814,14673,0,565,18052,24456,255,0,0,1152,1407,123,0,123,0,0,0,-1,1529,3048,0,3048,0.173,0,1593,0,4641,6170,19344,0,-1126,67,0,0,1,18286,0,18286,0.748
