enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
9,1997,6.2,0,6.2,0,0,0,0,0,0,0,0,0,0.6,0.6,0.3,7.1,0,0,0,0,0,1.3,1.3,-0.3,1,0,0,0.2,1.2,8.3,2.9,0,0,0,2.9,0,0,0,0,0,0,2,4.9,0,0,0,0,0,0,0,0,4.9,0,0,-6,0,0,0,9.4,3.4,0,3.4,0.41
9,1998,1.876,123.499,125.375,0,0,0,0,0,0,0,0,8.971,0,8.971,3.36,137.709,0,0,0,12.122,0,1.368,13.49,-3.764,9.726,0,0,2.409,12.135,149.844,33.027,0,0,3.454,36.481,1.5,0,1.5,0,0,0,6.57,44.551,76.521,0.181,76.702,2.735,0,0,0,76.702,121.253,1,0,-37.514,0,66.586,0,-1.481,28.591,0,28.591,0.191
9,1999,25.561,347.884,373.445,0,0,0,0,0,0,0,0,29.501,0,29.501,21.31,424.254,7.74,0,0,35.848,1.76,5.977,43.585,-13.794,29.791,178.638,174.05,8.037,224.206,648.46,113.273,0,0,47.494,160.767,0.808,0,0.808,0,0,0,0,161.575,348.14,0,348.14,2.515,0,0,0,348.14,509.715,3,0,-162.06,1.806,298.537,0,-2.538,138.745,0,138.745,0.214
9,2000,133.309,572.879,706.188,0,0,0,0,0,0,0,0,220.646,0,220.646,79.64,1006.477,371.462,0,0,187.345,83.29,96.342,366.977,-49.364,317.613,730.144,534.7,40.154,1459.373,2465.85,463.026,0,0,201.096,664.122,4.52,9.802,14.322,54.79,0,54.79,0,733.234,1444.874,21.464,1466.338,5.561,0,0,0,1466.338,2199.572,3,0,-882.028,-1.709,1194.369,0,-47.354,266.278,0,266.278,0.108
9,2001,822.435,278.087,1100.522,0,0,0,0,0,0,0,0,174.563,0,174.563,86.04,1361.129,92.25,0,0,296.461,25.467,159.336,481.264,-114.848,366.416,255.325,158.99,60.049,774.04,2135.169,485.383,0,0,341.879,827.262,4.831,11.746,16.577,131.117,0,131.117,0,974.956,2102.627,24.837,2127.464,-2.217,0,0,0,2127.464,3102.42,4,0,-2293.301,-2.376,1338.303,0,-13.877,-967.251,0,-967.251,-0.453
9,2002,540.282,456.303,996.585,67.613,0,0,0,67.613,0,0,0,143.722,0,143.722,0,1207.92,28.359,0,0,238.311,0,199.832,438.143,-166.392,271.751,79.749,70.81,49.768,429.627,1637.547,444.748,0,0,373.696,818.444,5.07,9.922,14.992,87.978,0,87.978,0,921.414,2149.64,6.493,2156.133,-1.508,0,0,0,2156.133,3077.547,4,0,-2860.578,-36.07,1462.769,0,-10.121,-1440,0,-1440,-0.879
9,2003,738.254,562.715,1300.969,112.282,0,0,0,112.282,0,0,0,202.425,0,202.425,0,1615.676,15.442,0,0,55.607,0,321.387,376.994,-137.596,239.398,74.271,70.81,45.662,374.773,1990.449,618.128,0,0,386.596,1004.724,5.813,7.506,13.319,47.916,0,47.916,-0.001,1065.958,2276.32,0.985,2277.305,-1.693,0,0,0,2277.305,3343.263,4,0,-3009.71,9.662,1649.946,0,-6.712,-1352.814,0,-1352.814,-0.68
9,2004,1102.273,292.55,1394.823,131.473,0,0,0,131.473,0,0,0,293.917,0,293.917,0.6,1820.809,0,0,0,57.413,0,314.325,371.738,-147.453,224.285,69.121,69.12,47.818,341.224,2162.033,819.811,0,0,390.83,1210.641,2.658,1.558,4.216,37.844,0,37.844,0,1252.701,1944.28,1.159,1945.439,-1.882,0,0,0,1945.439,3198.14,4,0,-2974.428,37.739,1899.398,0,-2.816,-1036.107,0,-1036.107,-0.479
9,2005,1303,476,1779,398,0,0,0,398,0,0,0,480,0,480,-118,2539,0,0,0,380,0,43,423,-177,246,139,139,324,709,3248,1142,0,0,478,1620,0,0,0,0,0,0,0,1620,1855,0,1855,-8.172,0,0,0,1855,3475,4,0,-2386,32,2123,0,0,-227,0,-227,-0.07
9,2006,1013,987,2000,548,0,0,0,548,0,0,0,566,0,566,-185,2929,0,0,0,138,0,433,571,-223,348,159,159,260,767,3696,1366,0,0,533,1899,0,0,0,0,0,0,0,1899,1480,5,1485,6.037,0,20,46,1551,3450,4,0,-2027,6,2263,0,0,246,0,246,0.067
9,2007,1022,997,2019,798,0,0,0,798,0,0,0,877,0,877,-321,3373,0,0,0,230,0,594,824,-367,457,195,195,338,990,4363,1816,0,0,716,2532,0,0,0,0,0,0,0,2532,1247,20,1267,2.94,0,75,58,1400,3932,4,0,-1837,-1,2517,-252,0,431,0,431,0.099
9,2008,2539,573,3112,1410,0,0,0,1410,0,0,0,1200,0,1200,-558,5164,0,0,0,285,15,723,1023,-480,543,222,222,556,1321,6485,2795,0,0,902,3697,17,0,17,0,0,0,0,3714,1282,62,1344,1.137,0,98,132,1574,5288,4,0,-1375,5,3063,-500,0,1197,0,1197,0.185
9,2009,2769,958,3727,1654,0,0,0,1654,0,0,0,1399,0,1399,-623,6157,0,0,0,331,87,991,1409,-555,854,438,438,865,2157,8314,3594,0,0,1152,4746,0,0,0,0,0,0,0,4746,409,0,409,0.153,0,268,219,896,5642,4,0,-730,-123,4121,-600,0,2672,0,2672,0.321
9,2010,3444,2922,6366,988,0,0,0,988,0,0,0,2171,0,2171,272,9797,0,0,0,398,278,1239,1915,-625,1290,1801,1234,925,4016,13813,5605,0,0,1759,7364,0,0,0,0,0,0,0,7364,109,143,252,0.048,0,202,738,1192,8556,5,0,172,-56,5736,-600,0,5257,0,5257,0.381
9,2011,3777,4985,8762,1587,0,0,0,1587,0,0,0,3202,0,3202,196,13747,0,0,0,487,384,2385,3256,-842,2414,1912,1349,724,5050,18797,8051,0,0,2321,10372,0,0,0,0,0,0,0,10372,184,457,641,0.093,0,243,677,1561,11933,5,0,1324,-190,6325,-600,0,6864,0,6864,0.365
9,2012,5269,4307,9576,5142,0,0,0,5142,0,0,0,4992,0,4992,-2220,17490,0,1437,0,4106,106,137,5786,-1369,4417,2602,1955,769,7788,25278,11145,0,0,3751,14896,0,0,0,0,0,0,0,14896,255,1160,1415,0.182,0,266,944,2625,17521,5,0,1955,-316,6990,-877,0,7757,0,7757,0.307
9,2013,8084,3364,11448,7634,0,0,0,7634,0,0,0,6031,0,6031,-3817,21296,0,2966,0,6228,214,174,9582,-2522,7060,3277,2552,922,11259,32555,13318,0,0,4892,18210,0,0,0,792,0,792,0,19002,3084,746,3830,0.468,0,812,719,5361,24363,5,0,1916,-239,8347,-1837,0,8192,0,8192,0.252
9,2014,8658,3789,12447,9534,0,0,0,9534,0,0,0,7411,0,7411,-4767,24625,0,4584,0,9274,720,231,14809,-3860,10949,3300,2655,1285,15534,40159,15133,0,0,6688,21821,0,0,0,1159,0,1159,0,22980,3191,1990,5181,0.532,0,1028,1224,7433,30413,5,0,2190,-185,9573,-1837,0,9746,0,9746,0.243
