enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
10,1996,35.413,0,35.413,0,0,0,137.37,137.37,0,0,0,0,118.263,118.263,9.31,300.352,0,0,0,0,0,69.59,69.59,-31.79,37.801,0,0,0.33,38.131,338.483,46.119,0,0,0,46.119,0.824,0,0.824,0,0,0,125.098,172.041,8.483,0,8.483,0.06,0,2.059,0,10.542,182.583,0,0,70.908,0,0,0,84.992,155.9,0,155.9,0.461
10,1997,64.65,0,64.65,0,0,0,200.486,200.486,0,0,0,0,165.021,165.021,22.82,452.981,0,0,0,0,0,784.635,784.635,-718.626,66.008,0,0,8.23,74.238,527.219,80.941,0,0,0,80.941,0,0,0,0,0,0,125.738,206.679,0,0,0,0,0,4.157,-0.084,4.073,210.752,0,0,174.778,0,0,0,141.689,316.467,0,316.467,0.6
10,1998,36.478,0,36.478,0,0,0,282.039,282.039,0,0,0,0,264.855,264.855,31.58,614.956,0,0,0,0,0,134.492,134.492,-56.446,78.045,0,0,0,78.045,693.001,124.7,0,0,0,124.7,0,0,0,0,0,0,105.98,230.68,0,0,0,0,0,5.472,0.096,5.568,236.248,0,0,2.208,0,0,0,454.545,456.753,0,456.753,0.659
10,1999,158.467,0,158.467,0,0,0,219.873,219.873,0,0,0,0,408.503,408.503,40.79,827.629,0,0,0,0,0,233.109,233.109,-89.678,143.431,0,0,13.506,156.937,984.566,63.567,0,0,0,63.567,0,0,0,0,0,0,106.785,170.352,285.871,0,285.871,0.544,0,3.242,-0.001,289.112,459.464,0,0,391.305,0,0,0,133.796,525.101,0,525.101,0.533
10,2000,609.739,0,609.739,0,0,0,460.218,460.218,0,0,0,0,380.031,380.031,29.74,1479.732,0,0,0,0,0,331.799,331.799,-127.415,204.385,20.197,0,18.087,242.669,1722.401,144.798,0,0,0,144.798,0,0,0,0,0,0,159.669,304.467,797.845,0,797.845,1.291,0,2.11,-0.099,799.856,1104.323,8,0,458.611,-0.503,151.631,0,0.34,618.079,0,618.079,0.359
10,2001,638.962,0,638.962,0,0,0,604.67,604.67,0,0,0,0,445.852,445.852,187.14,1876.627,0,0,0,0,0,410.441,410.441,-167.908,242.533,15.872,0,13.693,272.098,2148.725,162.538,0,0,0,162.538,0,0,0,0,0,0,269.407,431.945,736.115,0,736.115,0.846,0,2.844,0,738.959,1170.904,7,0,711.305,-0.794,152.283,0,0.443,870.237,107.584,977.82,0.405
10,2002,813.069,0,813.069,509.011,0,0,0,509.011,574.652,440.49,-500.627,261.243,0,775.758,222.39,2320.223,0,119.335,190.254,787.119,0,0,1096.708,-495.532,601.176,16.407,0,315.477,933.06,3253.283,259.152,0,0,480.139,739.291,0,0,0,0,0.594,0.594,-0.001,739.884,1370.861,0,1370.861,1.252,0,30.625,0,1401.486,2141.37,8,0,432.257,136.809,517.445,0,0.339,1094.85,17.063,1111.914,0.337
10,2003,681.263,0,681.263,567.07,0,0,0,567.07,272.473,373.875,-291.052,389.541,-1.165,743.672,468.49,2460.497,0,0,285.476,768.071,0,-0.79,1052.757,-547.767,504.991,14.332,0,383.592,902.915,3363.412,217.413,0,0,457.239,674.652,0,0,0,0,4.548,4.548,87.646,766.846,1104.766,0,1104.766,0.824,0,136.012,0,1240.778,2007.624,10,0,281.491,162.068,886.726,0,-0.176,1340.109,15.679,1355.788,0.398
10,2004,1262.007,0,1262.007,386.157,0,0,0,386.157,282.09,391.946,-262.299,318.865,-0.002,730.6,260.94,2639.699,0,0,305.308,793.571,0,0,1098.879,-671.724,427.154,17.915,0,437.095,882.164,3521.863,270.317,0,0,543.187,813.504,0,0,0,0,2.806,2.806,26.643,842.953,1056.044,0,1056.044,0.754,0,208.296,0,1264.34,2107.293,12,0,142.567,171.431,1075.4,0,-0.15,1401.248,13.322,1414.571,0.398
10,2005,1645.071,0,1645.071,673.969,0,0,0,673.969,242.362,557.871,-218.425,379.529,0.001,961.338,312.16,3592.535,0,0,330.802,842.634,0,0,1173.436,-766.643,406.792,42.621,0,303.052,752.465,4345,459.752,0,0,607.902,1067.654,0,0,0,0,1.784,1.784,19.759,1089.197,1094.811,0,1094.811,0.587,0,268.859,28.093,1391.763,2480.96,13,0,470.926,180.19,1199.966,0,-0.042,1864.04,0,1864.04,0.429
