enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
13,1994,1351.991,199.692,1551.683,1414.118,0,0,699.662,2113.78,344.654,394.947,0,408.26,0,1147.861,81.36,4894.681,0,0,0,0,0,2490.977,2490.977,0,2490.977,0,0,38.459,2529.436,7424.117,625.703,267.736,1156.736,0,2050.175,1013.254,0,1013.254,0,0,0,427.489,3490.918,829.833,0,829.833,0.831,0,0,779.539,1609.372,5100.29,349,0,1193.716,0,1.479,0,673.129,2217.324,106.503,2323.827,0.299
13,1995,856.745,292.357,1149.102,1399.246,0,0,705.096,2104.342,301.737,329.878,0,581.586,0,1213.201,81.3,4547.942,0,0,0,0,0,2709.379,2709.379,0,2709.379,0,0,60.972,2770.351,7318.293,791.082,325.188,1258.54,0,2374.81,347.076,0,347.076,0,0,0,242.328,2964.214,822.35,0,822.35,0.444,0,0,806.716,1629.066,4593.28,369,0,1494.614,0,6.254,0,764.467,2634.335,90.677,2725.013,0.36
13,1996,251.87,971.939,1223.809,1514.309,0,0,703.072,2217.381,321.404,353.854,0,639.718,0,1314.976,108.16,4864.33,0,0,0,3501.453,0,1729.093,5230.546,-2314.729,2915.817,27.814,0,61.808,3005.439,7869.769,822.053,343.037,1228.445,0,2393.535,418.753,0,418.753,0,0,0,315.223,3127.511,849.867,0,849.867,0.441,0,0,856.048,1705.915,4833.426,366,0,1648.742,0,10.816,0,850.083,2875.641,160.702,3036.343,0.365
13,1997,443.539,1226.153,1669.692,1601.192,0,0,650.752,2251.944,282.563,327.088,0,556.564,0.001,1166.216,109.6,5197.452,0,0,0,3812.035,0,1823.818,5635.853,-2515.669,3120.184,42.813,0,202.075,3365.072,8562.524,820.29,434.976,1197.041,0,2452.307,397.301,0,397.301,0,0,0,352.776,3202.384,845.977,0,845.977,0.357,0,0,852.827,1698.804,4901.188,406,0,2068.706,0,15.413,0,993.116,3483.235,178.1,3661.335,0.407
13,1998,500.893,704.225,1205.118,1601.865,0,0,570.323,2172.188,325.663,357.072,0,520.73,0,1203.465,140.51,4721.285,0,0,0,3992.263,0,1887.853,5880.116,-2654.897,3225.22,133.902,0,201.68,3560.802,8282.087,874.496,413.278,1172.055,0,2459.829,309.132,0,309.132,0,0,0,310.785,3079.746,862.924,0,862.924,0.328,0,0,715.797,1578.721,4658.467,392,0,2449.911,0,39.675,0,689.134,3570.72,52.9,3623.62,0.431
13,1999,3138,274,3412,0,0,0,3963,3963,0,0,0,0,2029,2029,0,9404,0,0,0,0,0,12232,12232,-5951,6281,2440,0,353,9074,18478,0,0,0,0,0,377,0,377,0,0,0,5273,5650,761,0,761,0.104,0,0,1085,1846,7496,0,0,1220,0,9552,0,157,10929,53,10982,0.591
13,2000,429,2859,3288,0,0,0,4470,4470,0,0,0,0,2156,2156,0,9914,0,0,0,0,0,10195,10195,-4214,5981,3736,0,185,9902,19816,1614,0,0,0,1614,379,0,379,0,0,0,5026,7019,740,0,740,0.109,0,0,1715,2455,9474,444,0,8538,0,202,0,1118,10302,40,10342,0.52
13,2001,1021.627,3430.816,4452.444,2664.596,0,0,939.479,3604.075,543.673,767.714,0,794.599,0,2105.986,358.46,10520.97,0,0,0,4559.983,0,3647.389,8207.372,-3245.609,4961.764,2952.862,0,10.455,7925.081,18446.051,3005.138,891.684,2038.774,0,5935.596,213.586,0,213.586,0,0,0,751.284,6900.466,631.796,0,631.796,0.089,0,0,1365.157,1996.953,8897.419,442,0,6961.704,0,235.99,0,1888.027,9527.721,20.911,9548.632,0.517
13,2002,705,3118,3823,2388,0,0,664,3052,796,720,0,886,0,2402,1087,10364,0,2490,0,5295,1119,0,8904,-3495,5409,2700,0,23,8132,18496,2385,0,0,0,2385,321,0,321,0,0,0,3774,6480,635,0,635,0.1,0,0,1752,2387,8867,436,0,6904,0,334,0,1912,9586,43,9629,0.518
13,2003,726,3962,4688,2645,0,0,674,3319,992,1062,0,539,0,2593,1526,12126,0,3145,0,6600,1298,0,11043,-4446,6597,2807,0,46,9450,21576,3171,0,0,0,3171,516,0,516,0,0,0,4528,8215,328,0,328,0.076,0,0,1807,2135,10350,429,0,8451,0,403,0,1889,11172,54,11226,0.518
13,2004,733,3218,3951,3203,0,0,540,3743,715,1206,0,1101,0,3022,2217,12933,0,4128,0,7964,948,0,13040,-5504,7536,2884,0,220,10640,23573,3086,0,0,0,3086,152,0,152,0,0,0,4457,7695,303,0,303,0.035,0,0,2318,2621,10316,423,0,10449,0,449,0,1857,13178,79,13257,0.559
13,2005,1055,4210,5265,3590,0,0,538,4128,646,970,0,1404,0,3020,612,13025,0,4801,0,9082,767,0,14650,-6553,8097,3050,0,1480,12627,25652,3125,0,0,0,3125,142,0,142,0,0,0,3320,6587,1127,0,1127,0.088,0,0,3441,4568,11155,411,0,11590,0,550,0,1853,14404,93,14497,0.562
