enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
14,1994,2342,0,2342,1615,0,0,0,1615,0,0,0,0,3434,3434,1784,9175,0,0,0,0,0,13232,13232,-6144,7088,0,0,4187,11275,20450,5854,0,0,0,5854,17,0,17,0,0,0,660,6531,2613,0,2613,0.293,0,0,2323,4936,11467,0,0,7180,0,0,0,1803,8983,0,8983,0.439
14,1995,2084,559,2643,1664,0,0,0,1664,917,0,0,0,4062,4979,1128,10414,0,400,5662,7090,436,0,13588,-6786,6802,0,0,4247,11049,21463,3207,0,0,0,3207,6,0,6,0,0,0,3614,6827,2603,0,2603,0.269,0,51,2282,4936,11763,1746,0,7696,0,586,-328,0,9700,0,9700,0.452
14,1996,3730,0,3730,1470,0,0,0,1470,894,0,0,0,6039,6933,1045,13178,0,404,5791,7251,298,0,13744,-7288,6456,0,0,2464,8920,22098,3017,0,0,0,3017,271,0,271,0,0,0,4127,7415,2344,0,2344,0.264,0,0,2441,4785,12200,1746,0,7746,0,615,-209,0,9898,0,9898,0.448
14,1997,5469,883,6352,2870,0,0,0,2870,1476,0,-15616,0,23291,9151,2136,20509,0,539,7883,9778,525,0,18725,-10459,8266,2478,2478,6627,17371,37880,4787,0,0,2000,6787,637,0,637,0,0,0,5302,12726,6852,0,6852,0.555,0,0,4800,11652,24378,4967,0,8896,-1280,920,-1,0,13502,0,13502,0.356
14,1998,4420,729,5149,3121,0,0,0,3121,1869,0,-19468,0,26566,8967,2026,19263,0,530,8133,9940,691,0,19294,-10903,8391,2395,2395,7975,18761,38024,5609,0,0,2154,7763,731,0,731,0,0,0,5658,14152,6123,0,6123,0.529,0,0,4796,10919,25071,5000,0,8147,-1275,1090,-9,0,12953,0,12953,0.341
14,1999,2183,279,2462,3288,0,0,0,3288,2162,0,-15390,0,21812,8584,2276,16610,0,499,8244,10521,977,0,20241,-11652,8589,2312,2312,9513,20414,37024,5263,0,0,2326,7589,869,0,869,0,0,0,5316,13774,6103,0,6103,0.566,0,0,4831,10934,24708,5059,0,8706,-1275,1147,-1321,0,12316,0,12316,0.333
14,2000,3354,100,3454,3453,0,0,0,3453,2042,0,-15040,0,19537,6539,2266,15712,0,430,8148,10411,1130,0,20119,-11874,8245,2233,0,9957,20435,36147,4909,0,0,2421,7330,752,0,752,0,0,0,5574,13656,5980,0,5980,0.587,0,172,4877,11029,24685,5059,0,10487,-1607,1684,-4161,0,11462,0,11462,0.317
14,2001,1010,0,1010,5519,0,0,0,5519,2075,8456,-14577,0,10898,6852,3132,16513,0,460,9241,10378,891,0,20970,-12156,8814,5214,0,12136,26164,42677,12312,1866,0,0,14178,1232,0,1232,0,0,0,3517,18927,7567,0,7567,0.798,0,0,5163,12730,31657,5059,0,12090,-2,2693,-6221,-2599,11020,0,11020,0.258
14,2002,633,0,633,5156,0,0,0,5156,2629,7307,-13461,0,11084,7559,3497,16845,0,489,8598,10642,1099,0,20828,-12369,8459,6447,5127,17227,32133,48978,14237,909,0,0,15146,1399,0,1399,0,0,0,4021,20566,10866,0,10866,1.133,0,799,5922,17587,38153,5059,0,14340,-485,1975,-8509,-1555,10825,0,10825,0.221
14,2003,2333,0,2333,5007,0,0,0,5007,2713,9790,-13698,0,7379,6184,3331,16855,0,461,9081,11105,837,0,21484,-12719,8765,3888,2760,22834,35487,52342,13739,1134,0,0,14873,1814,0,1814,0,0,0,3123,19810,12589,0,12589,1.871,0,542,11705,24836,44646,5059,0,14262,-4045,2141,-8397,-1324,7696,0,7696,0.147
