enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
17,2003,225.61,32.53,258.14,1553.039,0,0,96.541,1649.58,0,0,0,0,465.912,465.912,97.59,2471.222,946.515,0,0,0,0,3685.321,3685.321,0,3685.321,3978.09,3838.53,614.918,9224.844,11696.066,2035.741,235.055,0,0,2270.796,1513.164,0,1513.164,0,0,0,86.046,3870.006,1503.72,0,1503.72,0.68,345.236,253.943,-174.192,1928.707,5798.713,349,0,1092.374,113.33,3370.515,0,-485.415,4439.804,485.85,4925.653,0.38
17,2004,560.432,0,560.432,1862.65,0,0,37.782,1900.432,0,0,0,0,579.323,579.323,40.3,3080.488,868.985,0,0,0,0,4208.909,4208.909,0,4208.909,5002.33,4715.19,671.259,10751.483,13831.971,2463.383,153.647,0,0,2617.03,877.801,0,877.801,0,0,0,109.567,3604.398,2770.676,0,2770.676,0.672,377.819,316.109,-214.097,3250.507,6854.905,419,0,1768.195,292.18,4048.965,0,-1100.334,5428.006,516.353,5944.36,0.392
17,2005,1323.067,2.711,1325.778,2680.024,0,0,0,2680.024,0,0,0,0,1148.194,1148.194,176.23,5330.224,379.568,0,0,0,0,7181.976,7181.976,0,7181.976,10444.908,10111.43,1937.155,19943.607,25273.831,4451.795,0,0,0,4451.795,2947.077,0,2947.077,0,0,0,530.04,7928.912,3005.368,0,3005.368,0.553,1005.856,325.344,717.114,5053.682,12982.594,602,0,2650.201,-746.936,8772.096,0,-507.108,10770.253,506.995,11277.248,0.426
17,2006,726.037,207.27,933.306,2790.444,0,0,0,2790.444,0,0,0,0,1100.307,1100.307,225.04,5049.093,52.114,0,0,0,0,7102.841,7102.841,0,7102.841,13795.881,13156.31,1905.698,22856.534,27905.627,4101.574,0,0,0,4101.574,1459.18,0,1459.18,0,0,0,585.093,6145.847,5289.526,0,5289.526,0.514,1107.413,324.525,554.3,7275.764,13421.611,557,0,3195.509,1147.683,8686.383,0,-449.22,13137.355,448.887,13586.242,0.471
17,2007,826.195,294.316,1120.511,3393.208,0,0,0,3393.208,0,0,0,0,1342.238,1342.238,431.58,6287.532,69.949,0,0,0,0,8316.066,8316.066,0,8316.066,17909.699,16240.15,2056.25,28351.964,34639.496,5172.3,0,0,0,5172.3,1707.822,0,1707.822,0,0,0,878.988,7759.11,6791.696,0,6791.696,0.49,993.81,840.713,909.343,9535.562,17294.672,624,0,4833.111,943.658,9782.365,0,1161.69,17344.824,0,17344.824,0.501
17,2008,1949,264,2213,3783,0,0,450,4233,1059,159,0,429,0,1647,60,8153,286,4662,0,16178,990,0,21830,-12071,9759,22205,20365,1844,34094,42247,6492,839,0,0,7331,2235,0,2235,0,0,0,275,9841,8095,0,8095,0.515,919,689,754,10457,20298,0,0,6617,0,9361,0,4079,20057,1892,21949,0.475
17,2009,2936,270,3206,4126,0,0,580,4706,1767,335,0,766,0,2868,51,10831,7110,9025,0,20666,1201,0,30892,-11221,19671,73881,50244,2255,102917,113748,10238,405,0,0,10643,12066,0,12066,0,0,0,458,23167,49802,0,49802,2.757,2983,12569,796,66150,89317,0,0,6482,0,19207,0,-3247,22442,1989,24431,0.197
17,2010,3689,55,3744,4099,0,0,590,4689,1556,256,0,542,0,2354,66,10853,7021,7855,0,20679,756,0,29290,-12829,16461,75290,52125,2900,101672,112525,11377,526,0,0,11903,2043,0,2043,0,0,0,308,14254,49028,0,49028,1.685,2611,12495,966,65100,79354,0,0,10448,0,19247,0,623,30318,2853,33171,0.269
17,2011,4511,641,5152,4638,0,0,366,5004,1648,217,0,544,0,2409,32,12597,7538,7655,0,21325,1316,0,30296,-14403,15893,75857,52498,2457,101745,114342,12071,478,0,0,12549,2933,0,2933,0,0,0,238,15720,41961,0,41961,1.273,2746,11909,3207,59823,75543,1733,0,13656,0,17535,0,2335,35259,3540,38799,0.308
17,2012,5320,103,5423,4121,0,0,312,4433,0,0,0,0,2466,2466,1,12323,6940,0,0,31357,0,0,31357,-15335,16022,75120,51302,2022,100104,112427,13337,499,0,0,13836,5567,0,5567,0,0,0,241,19644,34598,0,34598,1.071,3428,11279,2422,51727,71371,1734,0,17744,469,17557,0,0,37504,3552,41056,0.334
17,2013,7051,6827,13878,2736,0,9,622,3367,1508,267,0,686,0,2461,924,20630,7346,8173,0,23316,1619,0,33108,-16647,16461,76137,51766,2047,101991,122621,8476,2040,2375,870,13761,5387,3,5390,28,0,69,1188,20408,38813,138,38951,1.077,3687,12293,1829,56760,77168,1734,0,21519,327,17574,0,0,41154,4299,45453,0.336
17,2014,9839,123,9962,2935,0,50,1486,4471,1717,326,0,829,0,2872,1385,18690,380,9968,0,26074,2065,0,38107,-17218,20889,99264,69926,2443,122976,141666,9834,2794,2534,888,16050,7849,3,7852,38,0,899,826,25627,41142,132,41274,0.975,2862,14642,1953,60731,86358,1735,0,31004,18,17608,0,0,50365,4943,55308,0.356
17,2015,8357,301,8658,3363,0,52,1102,4517,1723,315,0,850,0,2888,2478,18541,228,9988,0,25809,1688,0,37485,-17222,20263,100681,70758,2837,124009,142550,10913,2478,2604,850,16845,7489,3,7492,53,0,1693,1178,27208,43500,130,43630,1.023,3050,12839,1566,61085,88293,1736,0,35174,-4558,17620,0,0,49972,4285,54257,0.351
17,2016,6923,55,6978,3241,0,57,1375,4673,1539,294,0,926,0,2759,3884,18294,260,9239,0,24157,1933,0,35329,-16377,18952,94738,65061,2391,116341,134635,11616,2279,2096,817,16808,5921,4,5925,49,0,1523,4200,28456,43419,122,43541,1.174,2725,12290,1904,60460,88916,1736,0,35949,-13168,17620,0,0,42137,3582,45719,0.313
