enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
19,1994,160.4,0,160.4,0,0,0,72.2,72.2,0,0,0,0,0,0,544,776.6,0,0,0,0,0,1722.6,1722.6,-701.6,1021,2485.5,0,665.2,4171.7,4948.3,255.5,0,0,0,255.5,264.8,0,264.8,0,0,0,74.3,594.6,4162.9,0,4162.9,-5.086,0,1061.3,0,5224.2,5818.8,0,0,-1717.9,0,0,0,847.4,-870.5,0,-870.5,-0.176
19,1995,335.3,0,335.3,0,0,0,108.2,108.2,0,0,0,0,0,0,165,608.5,0,0,0,0,0,2081.3,2081.3,-823.6,1257.7,4099.7,0,797.1,6154.5,6763,402.9,0,0,0,402.9,182.9,0,182.9,0,0,0,74.8,660.6,4810.5,0,4810.5,-6.87,0,1390.8,0.2,6201.5,6862.1,0,0,-1827.6,0,0,0,1100.8,-726.8,627.7,-99.1,-0.107
19,1996,539.1,0,539.1,0,0,0,390.7,390.7,0,0,0,0,243.4,243.4,480.5,1653.7,0,0,0,0,0,2575.6,2575.6,-932,1643.6,5376.7,0,906.3,7926.6,9580.3,964,0,0,0,964,85.4,0,85.4,0,0,0,72.7,1122.1,6943.8,0,6943.8,-9.064,0,1518,-0.1,8461.7,9583.8,0,0,-1914.3,0,0,0,1138.8,-775.5,772,-3.5,-0.081
19,1997,331.3,0,331.3,0,0,0,439.3,439.3,0,0,0,0,258.4,258.4,376.8,1405.8,0,0,0,0,0,3600.1,3600.1,-1061.3,2538.8,6966.3,0,1177.7,10682.8,12088.6,1044.3,0,0,0,1044.3,229.5,0,229.5,0,0,0,91.1,1364.9,7102.7,0,7102.7,13.293,0,2140.5,69.6,9312.8,10677.7,0,31.9,-2127.1,0,0,0,2646.8,551.6,859.3,1410.9,0.046
19,1998,409.1,0,409.1,0,0,0,439.6,439.6,0,0,0,0,309.9,309.9,319.8,1478.4,0,0,0,0,0,3689.5,3689.5,-1205.9,2483.6,0,0,7364.8,9848.4,11326.8,1095.4,0,0,0,1095.4,132.3,0,132.3,0,0,0,205.8,1433.5,5334.1,0,5334.1,3.32,0,1849.5,31.4,7215,8648.5,0,31.9,-2415.9,0,0,0,4030.5,1646.5,1031.8,2678.3,0.145
19,1999,870.7,0,870.7,0,0,0,549.3,549.3,0,0,0,0,343.8,343.8,3753.6,5517.4,0,0,0,0,0,3886.7,3886.7,-1362.3,2524.4,0,0,6668.7,9193.1,14710.5,1600.3,0,0,0,1600.3,113.5,0,113.5,0,0,0,1271.9,2985.7,5464.2,0,5464.2,1.462,0,1500.1,111.2,7075.5,10061.2,0,572.6,-1488.2,0,0,0,4730.9,3815.3,834,4649.3,0.259
19,2000,922.2,7606,8528.2,673.3,0,0,0,673.3,0,0,0,0,457,457,100.1,9758.6,0,0,0,0,0,5099,5099,-1700.9,3398.1,9980.1,0,5548.8,18927,28685.6,2786.5,0,0,0,2786.5,517.5,0,517.5,0,0,0,2223.1,5527.1,8707.2,0,8707.2,0.892,0,3150.5,0,11857.7,17384.8,752,569.6,-619.8,6112.7,3527,0,-0.2,10341.3,959.5,11300.8,0.361
19,2001,651.5,3059.7,3711.2,891.9,0,0,0,891.9,0,0,0,0,438.5,438.5,102.8,5144.4,0,0,0,0,0,7393,7393,-1873.1,5519.9,22067.5,6945.1,3012.7,30600.1,35744.5,813.2,0,0,1576.5,2389.7,293.9,0,293.9,0,0,0,789.9,3473.5,10517.4,0,10517.4,0.767,0,5786.7,1163.2,17467.3,20940.8,939,59.5,1056.5,432.4,11598.8,0,0.2,14086.4,717.3,14803.7,0.394
19,2002,350,2623,2973,967,0,0,0,967,0,0,0,0,455,455,283,4678,0,0,0,0,0,9737,9737,-2726,7011,24509,0,2063,33583,38261,698,0,0,1696,2394,460,0,460,0,404,404,0,3258,11742,0,11742,0.843,0,6376,1532,19650,22908,945,0,1632,144,11752,0,0,14473,880,15353,0.378
19,2003,505,3258,3763,862,0,0,0,862,0,0,0,0,0,0,2474,7099,0,0,0,0,0,22236,22236,-3855,18381,70213,0,17435,106029,113128,1296,0,0,5236,6532,6953,0,6953,0,1105,1105,816,15406,27957,0,27957,0.911,0,23104,7160,58221,73627,25,0,1340,-139,44620,-7517,0,38329,1172,39501,0.339
19,2004,1550,2493,4043,907,0,0,0,907,0,0,0,0,0,0,453,5403,0,152,23864,1020,0,0,25036,-6563,18473,69750,0,15533,103756,109159,2355,0,0,3459,5814,3161,0,3161,0,679,679,0,9654,23835,0,23835,0.648,0,25900,7816,57551,67205,25,0,4552,-140,44742,-7517,0,41662,292,41954,0.382
19,2005,452,1555,2007,959,0,0,0,959,0,0,0,0,0,0,569,3535,0,152,25604,2371,0,0,28127,-9416,18711,68942,0,13506,101159,104694,2041,0,0,337,2378,3499,0,3499,0,360,360,2398,8635,20093,0,20093,0.57,0,26815,7261,54169,62804,25,0,4891,-119,44142,-7517,0,41422,468,41890,0.396
19,2006,947,148,1095,1008,0,0,0,1008,0,0,0,0,0,0,745,2848,0,148,27016,0,0,2619,29783,-12079,17704,65420,13498,17428,100552,103400,2239,0,0,360,2599,1689,0,1689,0,2,2,2234,6524,21682,0,21682,0.581,0,27370,6948,56000,62524,36,0,4825,-114,42989,-7517,0,40219,657,40876,0.389
19,2007,1239,1735,2974,1450,0,0,0,1450,0,0,0,0,0,0,778,5202,0,163,33236,0,0,3355,36754,-15506,21248,74576,13768,9379,105203,110405,2862,0,0,453,3315,983,0,983,0,314,314,2579,7191,27992,0,27992,0.704,0,27338,6476,61806,68997,35,0,6214,34,42401,-7517,0,41167,241,41408,0.373
19,2008,963,98,1061,1645,0,0,0,1645,0,0,0,0,0,0,961,3667,0,202,1667,30351,0,11212,43432,-19808,23624,77521,14705,8605,109750,113417,3336,0,0,494,3830,1495,0,1495,0,0,0,2627,7952,29828,0,29828,0.758,0,26880,7167,63875,71827,34,0,7191,-56,41688,-7517,0,41340,250,41590,0.364
19,2009,1195,59,1254,1626,0,0,0,1626,0,0,0,0,0,0,836,3716,4783,205,1874,33448,0,12152,47679,-23235,24444,78896,14889,1178,109301,113017,0,0,3393,3268,6661,2278,0,2278,0,0,0,0,8939,30178,0,30178,0.802,0,26982,6342,63502,72441,33,0,7427,-113,40620,-7517,0,40450,126,40576,0.358
19,2010,671,50,721,1711,0,0,0,1711,0,0,0,0,0,0,791,3223,5947,206,1937,49522,0,0,51665,-27810,23855,78490,14933,1218,109510,112733,0,0,3094,2999,6093,1156,0,1156,0,0,0,0,7249,27940,0,27940,0.681,0,27800,6767,62507,69756,32,0,10005,-46,40247,-7517,0,42721,256,42977,0.379
19,2011,5984,81,6065,1855,0,0,0,1855,0,0,0,0,0,0,966,8886,6670,204,1981,53835,0,0,56020,-32505,23515,78002,14958,1461,109648,118534,0,0,3291,3143,6434,1800,0,1800,0,0,0,0,8234,29615,0,29615,0.708,0,28246,7862,65723,73957,32,0,12158,-99,39780,-7517,0,44354,223,44577,0.374
19,2012,1620,54,1674,4652,0,0,0,4652,0,0,0,0,0,0,2247,8573,9854,975,5094,28781,0,29237,64087,-36528,27559,109642,26874,2190,149245,157818,5705,0,0,5379,11084,1367,0,1367,790,0,790,0,13241,37942,0,37942,0.832,0,29932,13034,80908,94149,32,0,13971,-152,40940,-7517,0,47274,16395,63669,0.3
19,2013,10951,1464,12415,5521,0,0,0,5521,0,0,0,0,0,0,2055,19991,6325,989,5468,29528,0,30672,66657,-39425,27232,109243,26985,2180,144980,164971,6206,0,0,7281,13487,2376,0,2376,851,0,851,0,16714,38082,0,38082,0.82,0,30110,13271,81463,98177,31,0,16280,15,40547,-7517,0,49356,17438,66794,0.299
19,2014,1718,3573,5291,6376,0,0,0,6376,0,0,0,0,0,0,2408,14075,3770,1084,8057,30498,0,32775,72414,-42574,29840,108785,27098,2343,144738,158813,5528,0,0,9206,14734,3280,0,3280,898,0,898,0,18912,44567,0,44567,0.944,0,31935,11384,87886,106798,30,0,19235,56,38890,-7517,0,50694,1321,52015,0.319
19,2015,3910,602,4512,6321,0,0,0,6321,0,0,0,0,0,0,2698,13531,3135,1112,8650,31655,0,34946,76363,-45410,30953,109387,27316,2180,145655,159186,5638,0,0,6640,12278,4217,0,4217,915,0,915,0,17410,43864,0,43864,0.912,0,32959,10819,87642,105052,30,0,21539,-146,38805,-7517,0,52711,1423,54134,0.331
19,2016,2295,0,2295,6896,0,0,0,6896,0,0,0,0,0,0,3112,12303,3224,1252,10829,32586,0,37098,81765,-48100,33665,115110,32945,2272,154271,166574,6215,0,0,7034,13249,3627,0,3627,1302,0,1302,0,18178,48994,0,48994,1.007,0,33566,10637,93197,111375,29,0,21413,-174,38518,-7517,0,52269,2930,55199,0.314
19,2017,3301,0,3301,7955,0,0,0,7955,0,0,0,0,0,0,5105,16361,5247,1273,10653,34028,1901,38092,85947,-49694,36253,119870,35980,2769,164139,180500,6915,0,0,8008,14923,5480,0,5480,1132,0,1132,0,21535,55566,0,55566,1.132,0,34854,10925,101345,122880,56,0,23076,98,38230,-7517,0,53943,3677,57620,0.299
19,2018,3428,0,3428,8834,0,0,0,8834,0,0,0,0,0,0,4081,16343,6931,1332,12346,36046,1752,36910,88386,-49916,38470,121364,36780,4354,171119,187462,6908,0,0,8264,15172,5134,0,5134,1687,0,1687,0,21993,59422,0,59422,0.941,0,24259,10972,94653,116646,55,0,38202,379,37497,-7517,0,68616,2200,70816,0.366
19,2019,3814,0,3814,11104,0,0,0,11104,0,0,0,0,0,0,6930,21848,7883,1539,14188,38380,2991,38645,95743,-51306,44437,171714,66154,5802,229836,251684,8494,0,0,12529,21023,4398,0,4398,2182,0,2182,0,27603,107345,0,107345,1.56,0,27589,15329,150263,177866,54,0,41983,-368,37461,-7517,0,71613,2205,73818,0.285
19,2020,5500,0,5500,11292,0,0,0,11292,0,0,0,0,0,0,8600,25392,7683,1483,15104,40639,5245,39090,101561,-53239,48322,173151,68725,8866,238022,263414,10826,0,0,12246,23072,4452,0,4452,2768,0,2768,0,30292,97765,0,97765,1.236,0,28180,21931,147876,178168,54,0,50695,1047,38447,-7517,0,82726,2520,85246,0.314
19,2021,11740,0,11740,11466,0,0,0,11466,0,0,0,0,0,0,3535,26741,8267,1848,15885,40861,7095,40694,106383,-54388,51995,178763,70669,8103,247128,273869,11364,0,0,11323,22687,3146,0,3146,2963,0,2963,0,28796,100614,0,100614,1.149,0,28051,23390,152055,180851,54,0,56438,1884,39464,-7517,0,90323,2695,93018,0.33
19,2022,8711,0,8711,12008,0,0,0,12008,0,0,0,0,0,0,4088,24807,8687,1700,20300,41800,3100,42747,109647,-55600,54047,175960,70189,12404,251098,275905,12455,0,0,11721,24176,2132,0,2132,3040,0,3040,0,29348,92718,0,92718,0.987,0,30041,25789,148548,177896,54,0,61902,1480,40173,-7517,0,96092,1917,98009,0.348
19,2023,4749,0,4749,12671,0,0,0,12671,0,0,0,0,0,0,4406,21826,7740,1700,20100,43000,4900,42685,112385,-56900,55485,159719,58494,12505,235449,257275,12544,0,0,11220,23764,1743,0,1743,2380,0,2380,0,27887,93068,0,93068,1.171,0,28714,25568,147350,175237,51,0,51609,-2611,39412,-7517,-1,80943,1095,82038,0.315
