enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
22,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.047,37.047,37.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.376,66.376,66.376,0,59.852,-37.123,0,0,0,-52.058,-29.329,0,-29.329,-0.792
22,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.713,29.713,29.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.924,19.924,19.924,0,61.137,-65.732,0,0,0,14.384,9.789,0,9.789,0.329
22,2003,8.709,7.3,16.009,9.581,0,0,0,9.581,0,0,0,0,0,0,4.38,29.967,0,0,1.113,8.363,0.363,0,9.839,-4.851,4.988,0,0,4.718,9.706,39.673,0.606,0,0,8.487,9.093,0.531,0,0.531,19.171,0,19.171,0,28.795,0,0.078,0.078,-0.011,0,0,66.265,66.343,95.138,0,0,-75.448,-11.156,30.7,0,0.029,-55.875,0.41,-55.465,-1.408
22,2004,10.463,25.349,35.812,26.536,0,0,0,26.536,0,0,0,0,0,0,11.8,74.146,0,0,1.61,10.477,0,0,12.087,-7.018,5.069,0,0,8.296,13.365,87.511,2.035,0,0,17.682,19.717,0.078,0,0.078,49.677,0,49.677,0.534,70.006,0,0,0,-0.002,0,0,62.967,62.967,132.973,0,0,-71.934,-9.915,35.58,0,0.032,-46.237,0.775,-45.462,-0.528
22,2005,35.731,83.087,118.818,48.874,0,0,0,48.874,0,0,0,0,0,0,11.02,178.715,0,0,2.708,14.458,0,0,17.166,-9.529,7.637,0,0,94.147,101.784,280.499,2.525,0,0,32.467,34.992,0.563,0,0.563,95.9,0,95.9,0.216,131.671,1.596,0.721,2.317,0.02,0,0,0,2.317,133.988,0,0,-64.588,-7.634,217.248,0,0.105,145.131,1.38,146.511,0.517
22,2006,99.842,107.723,207.565,76.128,0,0,0,76.128,0,0,0,0,0,0,19.52,303.217,0,0,12.355,26.86,0,0,39.215,-14.999,24.216,0,0,107.316,131.532,434.749,10.212,0,0,48.782,58.994,0.615,0,0.615,169.175,3.191,172.366,2.65,234.625,0,0.184,0.184,0.004,0,0,1.155,1.339,235.964,0,0,-36.114,-4.636,237.01,0,0.111,196.371,2.414,198.785,0.452
22,2007,86.608,165.816,252.424,128.693,0,0,0,128.693,0,0,0,0,0,0,37.98,419.096,0,0,20.757,33.306,0,0,54.063,-23.908,30.155,18.194,6.71,197.387,245.736,664.832,8.87,0,0,77.327,86.197,0,0,0,280.255,0,280.255,6.739,373.191,0,0,0,0,0,0,5.216,5.216,378.407,0,0,-35.633,-2.187,319.496,0,0.115,281.791,4.634,286.425,0.424
22,2008,279.095,171.748,450.843,220.061,0,0,0,220.061,0,0,0,0,0,0,69.91,740.811,0,0,36.279,42.551,0,0,78.83,-37.45,41.38,33.126,8.56,274.276,348.782,1089.593,7.478,0,0,125.996,133.474,0,0,0,468.821,0,468.821,3.622,605.917,0,0,0,0,0,0,22.674,22.674,628.591,0,0,-17.586,-2.276,471.802,0,0.119,452.059,8.943,461.002,0.415
22,2009,483.834,213.769,697.603,266.555,0,0,0,266.555,0,0,0,0,0,0,104.4,1068.557,184.962,0,0,78.96,0,54.032,132.992,-55.965,77.027,74.861,44.87,74.415,411.265,1479.822,16.379,3.619,0,163.205,183.203,0,0,0,583.763,0,583.763,0,766.966,0,7.616,7.616,0.011,0,10.263,12.49,30.369,797.335,0,0,25.842,-2.905,648.724,0,0.123,671.784,10.703,682.487,0.454
22,2010,1011.306,230.659,1241.965,320.956,0,0,0,320.956,0,0,0,0,0,0,143.24,1706.159,491.371,0,0,104.933,0,71.882,176.815,-87.104,89.711,90.51,48.96,82.45,754.042,2460.201,14.791,36.181,0,166.981,217.953,0,0,0,690.177,0,690.177,0,908.13,450.198,13.485,463.683,0.444,0,14.171,17.551,495.405,1403.535,0,0,106.561,-1.43,938.544,0,0.127,1043.802,12.864,1056.666,0.424
22,2011,424.292,72.678,496.97,426.943,0,0,0,426.943,0,0,0,0,0,0,151.01,1074.924,937.652,248.263,10.115,136.198,0,100.38,494.956,-107.782,387.174,561.602,396.08,129.813,2016.241,3091.165,18.106,49.135,0,147.711,214.952,0,0,0,913.239,0,913.239,148.275,1276.466,472.538,25.487,498.025,0.39,0,21.702,18.481,538.208,1814.674,0,0,171.035,6.719,1098.604,0,0.133,1276.491,0,1276.491,0.413
22,2012,607.284,170.582,777.866,683.745,0,0,0,683.745,0,0,0,0,0,0,210.61,1672.222,723.257,248.263,43.868,257.71,0,137.587,687.428,-159.482,527.946,1034.923,785.38,205.806,2491.932,4164.154,33.258,100.471,0,150.065,283.794,496.149,0,496.149,1291.622,0,1291.622,228.466,2300.031,0,72.091,72.091,0.341,0,88.673,37.258,198.022,2498.053,0,0,159.463,12.683,1415.077,0,78.878,1666.101,0,1666.101,0.4
22,2013,747.245,120.376,867.621,872.634,0,0,0,872.634,0,0,0,0,0,0,275.63,2015.88,942.349,248.263,49.572,366.593,0,193.181,857.609,-252.94,604.669,1799.927,1529.38,166.131,3513.076,5528.956,14.535,120.341,0,151.235,286.111,521.278,0,521.278,1798.64,0,1798.64,311.595,2917.624,0,126.658,126.658,0.273,0,113.429,0,240.087,3157.711,1,0,-110.982,17.137,2410.892,0,53.198,2371.245,0,2371.245,0.429
